schedule_id,episode_with_any_exposure_count,probe_rate,fast_fail_exit_rate,mean_after_cost_return,median_after_cost_return,big_winner_capture_rate,missed_gain_to_exposure_median,turnover_proxy,top1_instrument_year_exposure_share,top5_instrument_exposure_share,all_gates_passed
buy_all_on_launch_hold_to_H,2458.0,0.997564935064935,0.0,-0.0045042611542962,-0.0171283354506334,0.0392156862745098,0.0,50.18522727272728,0.0020341741253051,0.0093572009764035,False
buy_all_on_launch_with_same_fast_fail,2458.0,0.997564935064935,0.4082792207792208,-0.005115530542414,-0.0234472398567968,0.0392156862745098,0.0,50.246590909090905,0.0020341741253051,0.0093572009764035,False
fixed_delay_1d,2226.0,0.9034090909090908,0.3311688311688311,-0.0047666652639694,-0.0133691853008611,0.028125,-0.0021995807120536,45.51136363636364,0.0017969451931716,0.008984725965858,False
fixed_delay_3d,1857.0,0.7536525974025974,0.2731331168831168,-0.0067231312509878,0.0,0.0334728033472803,0.0013830915654629,37.98409090909091,0.0026925148088314,0.011308562197092,False
fixed_delay_5d,1584.0,0.6428571428571429,0.2256493506493506,-0.0063335952901493,0.0,0.0404040404040404,0.004349895469612,32.38977272727273,0.0025252525252525,0.0126262626262626,False
fixed_delay_10d,1143.0,0.4638798701298701,0.1501623376623376,-0.0047766471442619,0.0,0.0145985401459854,0.0065040587370328,23.35909090909091,0.0034995625546806,0.0139982502187226,False
random_probe_within_launch_window,2457.0,0.9971590909090912,0.4475608766233765,-0.0054698170545421,-0.0242891210484591,0.0567787114845938,0.0,50.21151136363636,0.002035002035002,0.0093610093610093,False
staged_buy_all,2447.0,0.9931006493506492,0.4021915584415584,-0.0062140491360276,-0.015762154645427,0.0396600566572237,0.0,44.67477272727272,0.0020433183489987,0.0093992644053943,False
probe_then_naive_add,2447.0,0.9931006493506492,0.411525974025974,-0.0065744535652503,-0.0134300088797028,0.0453257790368272,0.0,45.63715909090909,0.0020433183489987,0.0093992644053943,False
probe_with_simple_stop,2447.0,0.9931006493506492,0.4042207792207792,-0.0014094906312368,-0.0065257076836123,0.0396600566572237,0.0,15.00647727272727,0.0020433183489987,0.0093992644053943,True
