split_bucket,context_stratum,cost_bps,continued_negative_n,continued_negative_continue_return_sum,continued_negative_continue_return_mean,continued_negative_max_drawdown_mean,continued_negative_max_drawdown_worst,continued_negative_residual_loss_abs,defended_negative_avoided_loss_abs,continued_negative_residual_loss_share,continued_negative_leakage_status,continued_negative_leakage_caveat
train,all_steps,0,2585,-265.6890634428454,-0.10278106903011427,-0.15261512647995332,-0.48403908794788275,279.257036461643,277.3218530508824,1.0069781136591696,readout,
train,all_steps,25,2585,-265.6890634428454,-0.10278106903011427,-0.15261512647995332,-0.48403908794788275,279.257036461643,277.3218530508824,1.0069781136591696,readout,
train,all_steps,50,2585,-265.6890634428454,-0.10278106903011427,-0.15261512647995332,-0.48403908794788275,279.257036461643,277.3218530508824,1.0069781136591696,readout,
train,all_steps,100,2585,-265.6890634428454,-0.10278106903011427,-0.15261512647995332,-0.48403908794788275,279.257036461643,277.3218530508824,1.0069781136591696,readout,
train,late_rescue_context,0,1343,-142.5598034705804,-0.10615026319477319,-0.1539746336970004,-0.48403908794788275,148.02907368311415,145.13833053513386,1.0199171585984346,readout,
train,late_rescue_context,25,1343,-142.5598034705804,-0.10615026319477319,-0.1539746336970004,-0.48403908794788275,148.02907368311415,145.13833053513386,1.0199171585984346,readout,
train,late_rescue_context,50,1343,-142.5598034705804,-0.10615026319477319,-0.1539746336970004,-0.48403908794788275,148.02907368311415,145.13833053513386,1.0199171585984346,readout,
train,late_rescue_context,100,1343,-142.5598034705804,-0.10615026319477319,-0.1539746336970004,-0.48403908794788275,148.02907368311415,145.13833053513386,1.0199171585984346,readout,
train,non_late_rescue_context,0,1242,-123.12925997226499,-0.09913789047686392,-0.1511450635230336,-0.4661492022423458,131.22796277852882,132.18352251574854,0.9927709617731978,readout,
train,non_late_rescue_context,25,1242,-123.12925997226499,-0.09913789047686392,-0.1511450635230336,-0.4661492022423458,131.22796277852882,132.18352251574854,0.9927709617731978,readout,
train,non_late_rescue_context,50,1242,-123.12925997226499,-0.09913789047686392,-0.1511450635230336,-0.4661492022423458,131.22796277852882,132.18352251574854,0.9927709617731978,readout,
train,non_late_rescue_context,100,1242,-123.12925997226499,-0.09913789047686392,-0.1511450635230336,-0.4661492022423458,131.22796277852882,132.18352251574854,0.9927709617731978,readout,
train,known_failed_context_any,0,1999,-207.89566282291628,-0.1039998313271217,-0.15251440710202027,-0.48403908794788275,217.46601544829824,217.0032151446605,1.0021326886946318,readout,
train,known_failed_context_any,25,1999,-207.89566282291628,-0.1039998313271217,-0.15251440710202027,-0.48403908794788275,217.46601544829824,217.0032151446605,1.0021326886946318,readout,
train,known_failed_context_any,50,1999,-207.89566282291628,-0.1039998313271217,-0.15251440710202027,-0.48403908794788275,217.46601544829824,217.0032151446605,1.0021326886946318,readout,
train,known_failed_context_any,100,1999,-207.89566282291628,-0.1039998313271217,-0.15251440710202027,-0.48403908794788275,217.46601544829824,217.0032151446605,1.0021326886946318,readout,
train,non_known_failed_context,0,586,-57.79340061992909,-0.09862355054595408,-0.15295870674699802,-0.45506419400855924,61.79102101334472,60.31863790622191,1.0244100854765974,readout,
