split_bucket,cost_bps,delay_stress_id,labelable_step_n,defended_labelable_step_n,delay_stress_denominator_type,delay_stress_labelable_denominator,delay_stress_continued_zero_incremental_n,primary_close_to_close_mean_incremental_return,delay_stress_mean_incremental_return,primary_minus_delay_delta,cost_delay_stress_status
train,0,one_session_delay_close_to_close_v1,20245,5584,full_labelable_denominator,20245,14661,-0.0009371474671780181,-0.0011644043938057506,0.00022725692662773245,fail
robustness,0,one_session_delay_close_to_close_v1,2496,486,full_labelable_denominator,2496,2010,-0.004555579085606177,-0.004112635325157211,-0.0004429437604489663,fail
validation,0,one_session_delay_close_to_close_v1,664,183,full_labelable_denominator,664,481,-0.00443368905332979,-0.004899886181335544,0.0004661971280057542,fail
train,25,one_session_delay_close_to_close_v1,20245,5584,full_labelable_denominator,20245,14661,-0.0016267004432214858,-0.0018539573698492184,0.00022725692662773256,fail
robustness,25,one_session_delay_close_to_close_v1,2496,486,full_labelable_denominator,2496,2010,-0.005042357931760022,-0.004599414171311057,-0.0004429437604489654,fail
validation,25,one_session_delay_close_to_close_v1,664,183,full_labelable_denominator,664,481,-0.005122695077426174,-0.00558889220543193,0.00046619712800575596,fail
train,50,one_session_delay_close_to_close_v1,20245,5584,full_labelable_denominator,20245,14661,-0.0023162534192649542,-0.0025435103458926866,0.00022725692662773234,fail
robustness,50,one_session_delay_close_to_close_v1,2496,486,full_labelable_denominator,2496,2010,-0.005529136777913869,-0.005086193017464904,-0.0004429437604489654,fail
validation,50,one_session_delay_close_to_close_v1,664,183,full_labelable_denominator,664,481,-0.00581170110152256,-0.006277898229528317,0.00046619712800575683,fail
train,100,one_session_delay_close_to_close_v1,20245,5584,full_labelable_denominator,20245,14661,-0.0036953593713518903,-0.003922616297979622,0.0002272569266277319,fail
robustness,100,one_session_delay_close_to_close_v1,2496,486,full_labelable_denominator,2496,2010,-0.006502694470221562,-0.006059750709772597,-0.0004429437604489654,fail
validation,100,one_session_delay_close_to_close_v1,664,183,full_labelable_denominator,664,481,-0.007189713149715333,-0.007655910277721087,0.00046619712800575336,fail
