split_bucket,cost_bps,neutral_step_n,neutral_defended_n,neutral_continued_n,neutral_continue_return_mean,neutral_policy_net_return_mean,neutral_incremental_return_sum,neutral_incremental_return_mean,neutral_drawdown_avoided_abs_mean,neutral_utility_gate,neutral_utility_caveat
train,0,5283,1095,4188,-0.040021506000262295,-0.03100715120695739,47.622836373029806,0.009014354793304903,0.013825895625047296,pass,
robustness,0,624,89,535,-0.03970446087083986,-0.0341744463800818,3.450729042233034,0.005530014490758067,0.00939854547625568,pass,
validation,0,159,25,134,-0.04459689926925654,-0.03730576393049918,1.1592905188624205,0.007291135338757361,0.010029943339066266,pass,
train,25,5283,1095,4188,-0.040021506000262295,-0.03152532270042701,44.8853363730298,0.008496183299835283,0.013825895625047296,pass,
robustness,25,624,89,535,-0.03970446087083986,-0.034531016892902305,3.2282290422330338,0.0051734439779375545,0.00939854547625568,pass,
validation,25,159,25,134,-0.04459689926925654,-0.03769884569150547,1.0967905188624207,0.006898053577751074,0.010029943339066266,pass,
train,50,5283,1095,4188,-0.040021506000262295,-0.03204349419389663,42.147836373029804,0.007978011806365664,0.013825895625047296,pass,
robustness,50,624,89,535,-0.03970446087083986,-0.03488758740572283,3.0057290422330336,0.004816873465117041,0.00939854547625568,pass,
validation,50,159,25,134,-0.04459689926925654,-0.03809192745251176,1.0342905188624205,0.006504971816744783,0.010029943339066266,pass,
train,100,5283,1095,4188,-0.040021506000262295,-0.03307983718083587,36.67283637302981,0.006941668819426427,0.013825895625047296,pass,
robustness,100,624,89,535,-0.03970446087083986,-0.03560072843136385,2.5607290422330338,0.004103732439476016,0.00939854547625568,pass,
validation,100,159,25,134,-0.04459689926925654,-0.03887809097452433,0.9092905188624206,0.005718808294732205,0.010029943339066266,pass,
