split_bucket,labelable_step_n,price_path_valid_step_n,missing_qfq_instrument_n,bad_step_bounds_n,nonfinite_close_n,nonpositive_close_n,step_start_close_mismatch_n,step_end_close_mismatch_n,max_drawdown_replay_abs_diff_max,delay_row_missing_n,utility_price_path_gate,blocking_reason
train,20245,20245,0,0,0,0,0,0,0.0,0,pass,
robustness,2496,2496,0,0,0,0,0,0,0.0,0,pass,
validation,664,664,0,0,0,0,0,0,0.0,0,pass,
