denominator_type,candidate_id,candidate_family,stage2_budget_X,split,recomputed_selected_n,upstream_selected_n,recomputed_selected_positive_n,upstream_selected_positive_n,recomputed_selected_budget_rank_evaluable,upstream_selected_budget_rank_evaluable,candidate_reconciliation_status
ground_truth_no_fast_fail_survivor,complex_stage2_score,complex_stage2_score,0.3,all,2623,2623,557,557,0.280714897260274,0.280714897260274,pass
ground_truth_no_fast_fail_survivor,complex_stage2_score,complex_stage2_score,0.3,train,1496,1496,351,351,0.31782451667728917,0.3178245166772891,pass
ground_truth_no_fast_fail_survivor,complex_stage2_score,complex_stage2_score,0.3,validation,287,287,44,44,0.20297029702970298,0.2029702970297029,pass
ground_truth_no_fast_fail_survivor,complex_stage2_score,complex_stage2_score,0.3,robustness,840,840,162,162,0.2606267452683835,0.2606267452683835,pass
stage1_anchor_chained_survivor,complex_stage2_score,complex_stage2_score,0.3,all,904,904,145,145,0.25902578796561604,0.259025787965616,pass
stage1_anchor_chained_survivor,complex_stage2_score,complex_stage2_score,0.3,train,434,434,84,84,0.29503738953093134,0.2950373895309313,pass
stage1_anchor_chained_survivor,complex_stage2_score,complex_stage2_score,0.3,validation,191,191,25,25,0.2523117569352708,0.2523117569352708,pass
stage1_anchor_chained_survivor,complex_stage2_score,complex_stage2_score,0.3,robustness,279,279,36,36,0.22107765451664024,0.2210776545166402,pass
