baseline_id,baseline_family_id,denominator_type,candidate_id,candidate_family,stage2_budget_X,split,cell_grain,null_strength_rank,board_dimension_preserved_flag,calendar_dimension_preserved_flag,allowed_interpretation,stage1_anchor_rule_id,stage1_anchor_X,candidate_selected_n,candidate_selected_positive_n,candidate_continuation_rate,candidate_base_continuation_rate,full_candidate_selected_n,full_candidate_positive_n,full_candidate_continuation_rate,candidate_supported_cell_selected_n,candidate_supported_cell_positive_n,candidate_supported_cell_continuation_rate,requested_selected_n,requested_cell_n,supported_cell_n,unsupported_cell_n,available_random_n,sampled_random_n,shortfall_n,shortfall_rate,supported_requested_n,unsupported_requested_n,supported_weight_share,valid_seed_n,effective_seed_n,random_p05,random_p50,random_p95,delta_vs_random_p50,delta_vs_random_p50_ci95_low,delta_vs_random_p50_ci95_high,bootstrap_replicate_valid_n,replacement_draw_n,duplicate_rate,effective_n,median_seed_effective_n,cell_zero_support_n,baseline_construction_status,readout_status,diagnostic_only_flag
strict_exact_cell_replay,strict_exact_cell_replay,stage1_anchor_chained_survivor,complex_stage2_score,complex_stage2_score,0.3,all,month,1,True,True,original_fail_closed_benchmark,simple_0066e3511eb63515,,904,145,0.16039823008849557,0.10315265486725664,904,145,0.16039823008849557,904,145,,90400,9100,8731,369,304270,0,982,0.01086283185840708,89418,982,0.9891371681415929,0,0,,,,,,,0,0,0.0,,,169,insufficient,random_replay_insufficient,False
strict_exact_cell_replay,strict_exact_cell_replay,stage1_anchor_chained_survivor,complex_stage2_score,complex_stage2_score,0.3,train,month,1,True,True,original_fail_closed_benchmark,simple_0066e3511eb63515,,434,84,0.1935483870967742,0.12199747155499367,434,84,0.1935483870967742,434,84,,43400,4800,4518,282,130741,0,800,0.018433179723502304,42600,800,0.9815668202764977,0,0,,,,,,,0,0,0.0,,,146,insufficient,random_replay_insufficient,False
strict_exact_cell_replay,strict_exact_cell_replay,stage1_anchor_chained_survivor,complex_stage2_score,complex_stage2_score,0.3,validation,month,1,True,True,original_fail_closed_benchmark,simple_0066e3511eb63515,,191,25,0.13089005235602094,0.08062418725617686,191,25,0.13089005235602094,191,25,,19100,1800,1732,68,61810,6303,133,0.006963350785340314,18967,133,0.9930366492146597,33,33,0.04502617801047121,0.07329842931937172,0.10680628272251308,0.05759162303664922,0.010471204188481673,0.10994764397905758,2000,0,0.0,191.0,191.0,14,insufficient,random_replay_insufficient,False
strict_exact_cell_replay,strict_exact_cell_replay,stage1_anchor_chained_survivor,complex_stage2_score,complex_stage2_score,0.3,robustness,month,1,True,True,original_fail_closed_benchmark,simple_0066e3511eb63515,,279,36,0.12903225806451613,0.0932806324110672,279,36,0.12903225806451613,279,36,,27900,2500,2481,19,111719,22599,49,0.0017562724014336918,27851,49,0.9982437275985663,81,81,0.07526881720430108,0.1039426523297491,0.13261648745519714,0.025089605734767026,-0.010752688172043015,0.06810035842293907,2000,0,0.0,279.0,279.0,9,insufficient,random_replay_insufficient,False
hierarchical_month_quarter_replay,hierarchical_cell_replay,stage1_anchor_chained_survivor,complex_stage2_score,complex_stage2_score,0.3,all,mixed,2,True,True,sensitivity_with_baseline_caveat,simple_0066e3511eb63515,,904,145,0.16039823008849557,0.10315265486725664,904,145,0.16039823008849557,904,145,,90400,9100,8930,170,307823,9944,265,0.0029314159292035398,90135,265,0.9970685840707965,11,11,0.1045353982300885,0.12831858407079647,0.13938053097345132,0.03207964601769911,0.006637168141592903,0.058628318584070804,2000,0,0.0,904.0,904.0,105,insufficient,random_replay_insufficient,False
hierarchical_month_quarter_replay,hierarchical_cell_replay,stage1_anchor_chained_survivor,complex_stage2_score,complex_stage2_score,0.3,train,mixed,2,True,True,sensitivity_with_baseline_caveat,simple_0066e3511eb63515,,434,84,0.1935483870967742,0.12199747155499367,434,84,0.1935483870967742,434,84,,43400,4800,4705,95,134011,11284,112,0.0025806451612903226,43288,112,0.9974193548387097,26,26,0.1480414746543779,0.16705069124423963,0.1935483870967742,0.02649769585253456,-0.010397465437788028,0.06569700460829479,2000,0,0.0,434.0,434.0,89,insufficient,random_replay_insufficient,False
hierarchical_month_quarter_replay,hierarchical_cell_replay,stage1_anchor_chained_survivor,complex_stage2_score,complex_stage2_score,0.3,validation,mixed,2,True,True,sensitivity_with_baseline_caveat,simple_0066e3511eb63515,,191,25,0.13089005235602094,0.08062418725617686,191,25,0.13089005235602094,191,25,,19100,1800,1733,67,61813,6494,131,0.006858638743455497,18969,131,0.9931413612565445,34,34,0.041884816753926704,0.0706806282722513,0.10654450261780103,0.06020942408376964,0.013089005235602094,0.1099476439790576,2000,0,0.0,191.0,191.0,14,insufficient,random_replay_insufficient,False
hierarchical_month_quarter_replay,hierarchical_cell_replay,stage1_anchor_chained_survivor,complex_stage2_score,complex_stage2_score,0.3,robustness,mixed,2,True,True,sensitivity_with_baseline_caveat,simple_0066e3511eb63515,,279,36,0.12903225806451613,0.0932806324110672,279,36,0.12903225806451613,279,36,,27900,2500,2492,8,111999,25668,22,0.0007885304659498208,27878,22,0.9992114695340502,92,92,0.07724014336917562,0.1039426523297491,0.13261648745519714,0.025089605734767026,-0.01433691756272401,0.06810035842293907,2000,0,0.0,279.0,279.0,2,insufficient,random_replay_insufficient,False
hierarchical_split_board_fallback_replay,hierarchical_cell_replay,stage1_anchor_chained_survivor,complex_stage2_score,complex_stage2_score,0.3,all,mixed,3,True,False,diagnostic_only,simple_0066e3511eb63515,,904,145,0.16039823008849557,0.10315265486725664,904,145,0.16039823008849557,904,145,,90400,9100,9100,0,376017,90400,0,0.0,90400,0,1.0,100,100,0.10951327433628319,0.12665929203539822,0.1426991150442478,0.033738938053097356,0.009955752212389368,0.058628318584070804,2000,0,0.0,904.0,904.0,0,pass,ok,True
hierarchical_split_board_fallback_replay,hierarchical_cell_replay,stage1_anchor_chained_survivor,complex_stage2_score,complex_stage2_score,0.3,train,mixed,3,True,False,diagnostic_only,simple_0066e3511eb63515,,434,84,0.1935483870967742,0.12199747155499367,434,84,0.1935483870967742,434,84,,43400,4800,4800,0,158648,43400,0,0.0,43400,0,1.0,100,100,0.14481566820276498,0.16705069124423963,0.1935483870967742,0.02649769585253456,-0.011520737327188946,0.06682027649769584,2000,0,0.0,434.0,434.0,0,pass,ok,True
