baseline_id,denominator_type,candidate_id,stage2_budget_X,split,delta_vs_random_p50_ci95_low,delta_vs_random_p50_ci95_high,bootstrap_replicate_valid_n
strict_exact_cell_replay,stage1_anchor_chained_survivor,complex_stage2_score,0.3,all,,,0
strict_exact_cell_replay,stage1_anchor_chained_survivor,complex_stage2_score,0.3,train,,,0
strict_exact_cell_replay,stage1_anchor_chained_survivor,complex_stage2_score,0.3,validation,0.010471204188481673,0.10994764397905758,2000
strict_exact_cell_replay,stage1_anchor_chained_survivor,complex_stage2_score,0.3,robustness,-0.010752688172043015,0.06810035842293907,2000
hierarchical_month_quarter_replay,stage1_anchor_chained_survivor,complex_stage2_score,0.3,all,0.006637168141592903,0.058628318584070804,2000
hierarchical_month_quarter_replay,stage1_anchor_chained_survivor,complex_stage2_score,0.3,train,-0.010397465437788028,0.06569700460829479,2000
hierarchical_month_quarter_replay,stage1_anchor_chained_survivor,complex_stage2_score,0.3,validation,0.013089005235602094,0.1099476439790576,2000
hierarchical_month_quarter_replay,stage1_anchor_chained_survivor,complex_stage2_score,0.3,robustness,-0.01433691756272401,0.06810035842293907,2000
hierarchical_split_board_fallback_replay,stage1_anchor_chained_survivor,complex_stage2_score,0.3,all,0.009955752212389368,0.058628318584070804,2000
hierarchical_split_board_fallback_replay,stage1_anchor_chained_survivor,complex_stage2_score,0.3,train,-0.011520737327188946,0.06682027649769584,2000
hierarchical_split_board_fallback_replay,stage1_anchor_chained_survivor,complex_stage2_score,0.3,validation,0.01564136125654451,0.10994764397905758,2000
hierarchical_split_board_fallback_replay,stage1_anchor_chained_survivor,complex_stage2_score,0.3,robustness,-0.012589605734767017,0.06460573476702461,2000
pooled_cell_weighted_replay,stage1_anchor_chained_survivor,complex_stage2_score,0.3,all,0.030203868853096314,0.03483000739098302,2000
pooled_cell_weighted_replay,stage1_anchor_chained_survivor,complex_stage2_score,0.3,train,0.019458344025318625,0.028486121803096398,2000
pooled_cell_weighted_replay,stage1_anchor_chained_survivor,complex_stage2_score,0.3,validation,0.057203800659298046,0.06806282722513089,2000
pooled_cell_weighted_replay,stage1_anchor_chained_survivor,complex_stage2_score,0.3,robustness,0.021505376344086016,0.02867383512544802,2000
with_replacement_replay,stage1_anchor_chained_survivor,complex_stage2_score,0.3,all,0.007743362831858391,0.05420353982300885,2000
with_replacement_replay,stage1_anchor_chained_survivor,complex_stage2_score,0.3,train,-0.013824884792626724,0.06451612903225806,2000
with_replacement_replay,stage1_anchor_chained_survivor,complex_stage2_score,0.3,validation,0.015706806282722516,0.10994764397905758,2000
with_replacement_replay,stage1_anchor_chained_survivor,complex_stage2_score,0.3,robustness,-0.010752688172043001,0.06810035842293907,2000
