,,risk
excess_return_without_cost,mean,0.0013692410004546595
excess_return_without_cost,std,0.0060530616950727825
excess_return_without_cost,annualized_return,0.32587935810820895
excess_return_without_cost,information_ratio,3.489741621607416
excess_return_without_cost,max_drawdown,-0.06442739654379148
excess_return_with_cost,mean,0.0012682278879439016
excess_return_with_cost,std,0.00605266991156233
excess_return_with_cost,annualized_return,0.3018382373306486
excess_return_with_cost,information_ratio,3.232501891015001
excess_return_with_cost,max_drawdown,-0.06562858585281678
benchmark,mean,0.0006773731551573942
benchmark,std,0.009719353201924266
benchmark,annualized_return,0.16121481092745982
benchmark,information_ratio,1.0751748451146768
benchmark,max_drawdown,-0.10799944400787354
strategy_return_without_cost,mean,0.0020466141556120536
strategy_return_without_cost,std,0.012450539734197536
strategy_return_without_cost,annualized_return,0.48709416903566877
strategy_return_without_cost,information_ratio,2.5359242316398882
strategy_return_without_cost,max_drawdown,-0.12650071836656673
strategy_return_with_cost,mean,0.0019456010431012955
strategy_return_with_cost,std,0.012449410062799602
strategy_return_with_cost,annualized_return,0.46305304825810834
strategy_return_with_cost,information_ratio,2.410979384316208
strategy_return_with_cost,max_drawdown,-0.1279971324930429
