policy_id,split,max_gain50_count,policy_retained_max_gain50_count,max_gain50_retention_vs_volume_money_hold120,winner_retention_status
hold_20d__break_even_after_gain__activation_gain_pct0p08__fixed_size,train,482,19,0.03941908713692946,failed_winner_retention_gate
hold_20d__break_even_after_gain__activation_gain_pct0p15__fixed_size,train,482,20,0.04149377593360996,failed_winner_retention_gate
hold_20d__break_even_after_gain__activation_gain_pct0p1__fixed_size,train,482,20,0.04149377593360996,failed_winner_retention_gate
hold_40d__break_even_after_gain__activation_gain_pct0p08__fixed_size,train,482,94,0.1950207468879668,failed_winner_retention_gate
hold_40d__break_even_after_gain__activation_gain_pct0p15__fixed_size,train,482,100,0.2074688796680498,failed_winner_retention_gate
hold_40d__break_even_after_gain__activation_gain_pct0p1__fixed_size,train,482,96,0.1991701244813278,failed_winner_retention_gate
hold_60d__break_even_after_gain__activation_gain_pct0p08__fixed_size,train,482,203,0.4211618257261411,failed_winner_retention_gate
hold_60d__break_even_after_gain__activation_gain_pct0p15__fixed_size,train,482,219,0.45435684647302904,failed_winner_retention_gate
hold_60d__break_even_after_gain__activation_gain_pct0p1__fixed_size,train,482,210,0.43568464730290457,failed_winner_retention_gate
hold_120d__break_even_after_gain__activation_gain_pct0p08__fixed_size,train,482,356,0.7385892116182573,passed
hold_120d__break_even_after_gain__activation_gain_pct0p15__fixed_size,train,482,409,0.8485477178423236,passed
hold_120d__break_even_after_gain__activation_gain_pct0p1__fixed_size,train,482,376,0.7800829875518672,passed
hold_20d__break_even_after_gain__activation_gain_pct0p08__volatility_scaled,train,482,19,0.03941908713692946,failed_winner_retention_gate
hold_20d__break_even_after_gain__activation_gain_pct0p15__volatility_scaled,train,482,20,0.04149377593360996,failed_winner_retention_gate
hold_20d__break_even_after_gain__activation_gain_pct0p1__volatility_scaled,train,482,20,0.04149377593360996,failed_winner_retention_gate
hold_40d__break_even_after_gain__activation_gain_pct0p08__volatility_scaled,train,482,94,0.1950207468879668,failed_winner_retention_gate
hold_40d__break_even_after_gain__activation_gain_pct0p15__volatility_scaled,train,482,100,0.2074688796680498,failed_winner_retention_gate
hold_40d__break_even_after_gain__activation_gain_pct0p1__volatility_scaled,train,482,96,0.1991701244813278,failed_winner_retention_gate
hold_60d__break_even_after_gain__activation_gain_pct0p08__volatility_scaled,train,482,203,0.4211618257261411,failed_winner_retention_gate
hold_60d__break_even_after_gain__activation_gain_pct0p15__volatility_scaled,train,482,219,0.45435684647302904,failed_winner_retention_gate
hold_60d__break_even_after_gain__activation_gain_pct0p1__volatility_scaled,train,482,210,0.43568464730290457,failed_winner_retention_gate
hold_120d__break_even_after_gain__activation_gain_pct0p08__volatility_scaled,train,482,356,0.7385892116182573,passed
hold_120d__break_even_after_gain__activation_gain_pct0p15__volatility_scaled,train,482,409,0.8485477178423236,passed
hold_120d__break_even_after_gain__activation_gain_pct0p1__volatility_scaled,train,482,376,0.7800829875518672,passed
hold_20d__fixed_stop__stop_loss_pctm0p05__fixed_size,train,482,18,0.03734439834024896,failed_winner_retention_gate
hold_20d__fixed_stop__stop_loss_pctm0p08__fixed_size,train,482,19,0.03941908713692946,failed_winner_retention_gate
hold_20d__fixed_stop__stop_loss_pctm0p1__fixed_size,train,482,19,0.03941908713692946,failed_winner_retention_gate
hold_40d__fixed_stop__stop_loss_pctm0p05__fixed_size,train,482,84,0.17427385892116182,failed_winner_retention_gate
hold_40d__fixed_stop__stop_loss_pctm0p08__fixed_size,train,482,94,0.1950207468879668,failed_winner_retention_gate
hold_40d__fixed_stop__stop_loss_pctm0p1__fixed_size,train,482,96,0.1991701244813278,failed_winner_retention_gate
hold_60d__fixed_stop__stop_loss_pctm0p05__fixed_size,train,482,172,0.35684647302904565,failed_winner_retention_gate
hold_60d__fixed_stop__stop_loss_pctm0p08__fixed_size,train,482,197,0.4087136929460581,failed_winner_retention_gate
hold_60d__fixed_stop__stop_loss_pctm0p1__fixed_size,train,482,207,0.42946058091286304,failed_winner_retention_gate
hold_120d__fixed_stop__stop_loss_pctm0p05__fixed_size,train,482,258,0.5352697095435685,passed
hold_120d__fixed_stop__stop_loss_pctm0p08__fixed_size,train,482,318,0.6597510373443983,passed
hold_120d__fixed_stop__stop_loss_pctm0p1__fixed_size,train,482,346,0.7178423236514523,passed
hold_20d__fixed_stop__stop_loss_pctm0p05__volatility_scaled,train,482,18,0.03734439834024896,failed_winner_retention_gate
hold_20d__fixed_stop__stop_loss_pctm0p08__volatility_scaled,train,482,19,0.03941908713692946,failed_winner_retention_gate
hold_20d__fixed_stop__stop_loss_pctm0p1__volatility_scaled,train,482,19,0.03941908713692946,failed_winner_retention_gate
hold_40d__fixed_stop__stop_loss_pctm0p05__volatility_scaled,train,482,84,0.17427385892116182,failed_winner_retention_gate
hold_40d__fixed_stop__stop_loss_pctm0p08__volatility_scaled,train,482,94,0.1950207468879668,failed_winner_retention_gate
hold_40d__fixed_stop__stop_loss_pctm0p1__volatility_scaled,train,482,96,0.1991701244813278,failed_winner_retention_gate
hold_60d__fixed_stop__stop_loss_pctm0p05__volatility_scaled,train,482,172,0.35684647302904565,failed_winner_retention_gate
hold_60d__fixed_stop__stop_loss_pctm0p08__volatility_scaled,train,482,197,0.4087136929460581,failed_winner_retention_gate
hold_60d__fixed_stop__stop_loss_pctm0p1__volatility_scaled,train,482,207,0.42946058091286304,failed_winner_retention_gate
hold_120d__fixed_stop__stop_loss_pctm0p05__volatility_scaled,train,482,258,0.5352697095435685,passed
hold_120d__fixed_stop__stop_loss_pctm0p08__volatility_scaled,train,482,318,0.6597510373443983,passed
hold_120d__fixed_stop__stop_loss_pctm0p1__volatility_scaled,train,482,346,0.7178423236514523,passed
hold_20d__no_exit__none__fixed_size,train,482,20,0.04149377593360996,failed_winner_retention_gate
hold_40d__no_exit__none__fixed_size,train,482,100,0.2074688796680498,failed_winner_retention_gate
hold_60d__no_exit__none__fixed_size,train,482,221,0.45850622406639,failed_winner_retention_gate
volume_money_hold120_no_exit_fixed_size,train,482,430,0.8921161825726142,passed
hold_20d__no_exit__none__volatility_scaled,train,482,20,0.04149377593360996,failed_winner_retention_gate
hold_40d__no_exit__none__volatility_scaled,train,482,100,0.2074688796680498,failed_winner_retention_gate
hold_60d__no_exit__none__volatility_scaled,train,482,221,0.45850622406639,failed_winner_retention_gate
hold_120d__no_exit__none__volatility_scaled,train,482,430,0.8921161825726142,passed
hold_20d__time_stop__time_stop_days10__fixed_size,train,482,6,0.012448132780082987,failed_winner_retention_gate
hold_20d__time_stop__time_stop_days10__volatility_scaled,train,482,6,0.012448132780082987,failed_winner_retention_gate
hold_20d__break_even_after_gain__activation_gain_pct0p08__fixed_size,validation,113,7,0.061946902654867256,failed_winner_retention_gate
hold_20d__break_even_after_gain__activation_gain_pct0p15__fixed_size,validation,113,7,0.061946902654867256,failed_winner_retention_gate
hold_20d__break_even_after_gain__activation_gain_pct0p1__fixed_size,validation,113,7,0.061946902654867256,failed_winner_retention_gate
hold_40d__break_even_after_gain__activation_gain_pct0p08__fixed_size,validation,113,29,0.25663716814159293,failed_winner_retention_gate
hold_40d__break_even_after_gain__activation_gain_pct0p15__fixed_size,validation,113,30,0.26548672566371684,failed_winner_retention_gate
hold_40d__break_even_after_gain__activation_gain_pct0p1__fixed_size,validation,113,30,0.26548672566371684,failed_winner_retention_gate
hold_60d__break_even_after_gain__activation_gain_pct0p08__fixed_size,validation,113,38,0.336283185840708,failed_winner_retention_gate
hold_60d__break_even_after_gain__activation_gain_pct0p15__fixed_size,validation,113,39,0.34513274336283184,failed_winner_retention_gate
hold_60d__break_even_after_gain__activation_gain_pct0p1__fixed_size,validation,113,38,0.336283185840708,failed_winner_retention_gate
hold_120d__break_even_after_gain__activation_gain_pct0p08__fixed_size,validation,113,78,0.6902654867256637,passed
hold_120d__break_even_after_gain__activation_gain_pct0p15__fixed_size,validation,113,89,0.7876106194690266,passed
hold_120d__break_even_after_gain__activation_gain_pct0p1__fixed_size,validation,113,82,0.7256637168141593,passed
hold_20d__break_even_after_gain__activation_gain_pct0p08__volatility_scaled,validation,113,7,0.061946902654867256,failed_winner_retention_gate
hold_20d__break_even_after_gain__activation_gain_pct0p15__volatility_scaled,validation,113,7,0.061946902654867256,failed_winner_retention_gate
hold_20d__break_even_after_gain__activation_gain_pct0p1__volatility_scaled,validation,113,7,0.061946902654867256,failed_winner_retention_gate
hold_40d__break_even_after_gain__activation_gain_pct0p08__volatility_scaled,validation,113,29,0.25663716814159293,failed_winner_retention_gate
hold_40d__break_even_after_gain__activation_gain_pct0p15__volatility_scaled,validation,113,30,0.26548672566371684,failed_winner_retention_gate
hold_40d__break_even_after_gain__activation_gain_pct0p1__volatility_scaled,validation,113,30,0.26548672566371684,failed_winner_retention_gate
hold_60d__break_even_after_gain__activation_gain_pct0p08__volatility_scaled,validation,113,38,0.336283185840708,failed_winner_retention_gate
hold_60d__break_even_after_gain__activation_gain_pct0p15__volatility_scaled,validation,113,39,0.34513274336283184,failed_winner_retention_gate
hold_60d__break_even_after_gain__activation_gain_pct0p1__volatility_scaled,validation,113,38,0.336283185840708,failed_winner_retention_gate
hold_120d__break_even_after_gain__activation_gain_pct0p08__volatility_scaled,validation,113,78,0.6902654867256637,passed
hold_120d__break_even_after_gain__activation_gain_pct0p15__volatility_scaled,validation,113,89,0.7876106194690266,passed
hold_120d__break_even_after_gain__activation_gain_pct0p1__volatility_scaled,validation,113,82,0.7256637168141593,passed
hold_20d__fixed_stop__stop_loss_pctm0p05__fixed_size,validation,113,7,0.061946902654867256,failed_winner_retention_gate
hold_20d__fixed_stop__stop_loss_pctm0p08__fixed_size,validation,113,7,0.061946902654867256,failed_winner_retention_gate
hold_20d__fixed_stop__stop_loss_pctm0p1__fixed_size,validation,113,7,0.061946902654867256,failed_winner_retention_gate
hold_40d__fixed_stop__stop_loss_pctm0p05__fixed_size,validation,113,27,0.23893805309734514,failed_winner_retention_gate
hold_40d__fixed_stop__stop_loss_pctm0p08__fixed_size,validation,113,29,0.25663716814159293,failed_winner_retention_gate
hold_40d__fixed_stop__stop_loss_pctm0p1__fixed_size,validation,113,29,0.25663716814159293,failed_winner_retention_gate
hold_60d__fixed_stop__stop_loss_pctm0p05__fixed_size,validation,113,31,0.2743362831858407,failed_winner_retention_gate
hold_60d__fixed_stop__stop_loss_pctm0p08__fixed_size,validation,113,36,0.3185840707964602,failed_winner_retention_gate
hold_60d__fixed_stop__stop_loss_pctm0p1__fixed_size,validation,113,36,0.3185840707964602,failed_winner_retention_gate
hold_120d__fixed_stop__stop_loss_pctm0p05__fixed_size,validation,113,58,0.5132743362831859,passed
hold_120d__fixed_stop__stop_loss_pctm0p08__fixed_size,validation,113,74,0.6548672566371682,passed
hold_120d__fixed_stop__stop_loss_pctm0p1__fixed_size,validation,113,78,0.6902654867256637,passed
hold_20d__fixed_stop__stop_loss_pctm0p05__volatility_scaled,validation,113,7,0.061946902654867256,failed_winner_retention_gate
hold_20d__fixed_stop__stop_loss_pctm0p08__volatility_scaled,validation,113,7,0.061946902654867256,failed_winner_retention_gate
hold_20d__fixed_stop__stop_loss_pctm0p1__volatility_scaled,validation,113,7,0.061946902654867256,failed_winner_retention_gate
hold_40d__fixed_stop__stop_loss_pctm0p05__volatility_scaled,validation,113,27,0.23893805309734514,failed_winner_retention_gate
hold_40d__fixed_stop__stop_loss_pctm0p08__volatility_scaled,validation,113,29,0.25663716814159293,failed_winner_retention_gate
hold_40d__fixed_stop__stop_loss_pctm0p1__volatility_scaled,validation,113,29,0.25663716814159293,failed_winner_retention_gate
hold_60d__fixed_stop__stop_loss_pctm0p05__volatility_scaled,validation,113,31,0.2743362831858407,failed_winner_retention_gate
hold_60d__fixed_stop__stop_loss_pctm0p08__volatility_scaled,validation,113,36,0.3185840707964602,failed_winner_retention_gate
hold_60d__fixed_stop__stop_loss_pctm0p1__volatility_scaled,validation,113,36,0.3185840707964602,failed_winner_retention_gate
hold_120d__fixed_stop__stop_loss_pctm0p05__volatility_scaled,validation,113,58,0.5132743362831859,passed
hold_120d__fixed_stop__stop_loss_pctm0p08__volatility_scaled,validation,113,74,0.6548672566371682,passed
hold_120d__fixed_stop__stop_loss_pctm0p1__volatility_scaled,validation,113,78,0.6902654867256637,passed
hold_20d__no_exit__none__fixed_size,validation,113,7,0.061946902654867256,failed_winner_retention_gate
hold_40d__no_exit__none__fixed_size,validation,113,30,0.26548672566371684,failed_winner_retention_gate
hold_60d__no_exit__none__fixed_size,validation,113,40,0.35398230088495575,failed_winner_retention_gate
volume_money_hold120_no_exit_fixed_size,validation,113,94,0.831858407079646,passed
hold_20d__no_exit__none__volatility_scaled,validation,113,7,0.061946902654867256,failed_winner_retention_gate
hold_40d__no_exit__none__volatility_scaled,validation,113,30,0.26548672566371684,failed_winner_retention_gate
hold_60d__no_exit__none__volatility_scaled,validation,113,40,0.35398230088495575,failed_winner_retention_gate
hold_120d__no_exit__none__volatility_scaled,validation,113,94,0.831858407079646,passed
hold_20d__time_stop__time_stop_days10__fixed_size,validation,113,1,0.008849557522123894,failed_winner_retention_gate
hold_20d__time_stop__time_stop_days10__volatility_scaled,validation,113,1,0.008849557522123894,failed_winner_retention_gate
hold_20d__break_even_after_gain__activation_gain_pct0p08__fixed_size,robustness,290,17,0.05862068965517241,failed_winner_retention_gate
hold_20d__break_even_after_gain__activation_gain_pct0p15__fixed_size,robustness,290,17,0.05862068965517241,failed_winner_retention_gate
hold_20d__break_even_after_gain__activation_gain_pct0p1__fixed_size,robustness,290,17,0.05862068965517241,failed_winner_retention_gate
hold_40d__break_even_after_gain__activation_gain_pct0p08__fixed_size,robustness,290,50,0.1724137931034483,failed_winner_retention_gate
hold_40d__break_even_after_gain__activation_gain_pct0p15__fixed_size,robustness,290,53,0.18275862068965518,failed_winner_retention_gate
hold_40d__break_even_after_gain__activation_gain_pct0p1__fixed_size,robustness,290,52,0.1793103448275862,failed_winner_retention_gate
hold_60d__break_even_after_gain__activation_gain_pct0p08__fixed_size,robustness,290,88,0.30344827586206896,failed_winner_retention_gate
hold_60d__break_even_after_gain__activation_gain_pct0p15__fixed_size,robustness,290,92,0.31724137931034485,failed_winner_retention_gate
hold_60d__break_even_after_gain__activation_gain_pct0p1__fixed_size,robustness,290,91,0.3137931034482759,failed_winner_retention_gate
hold_120d__break_even_after_gain__activation_gain_pct0p08__fixed_size,robustness,290,135,0.46551724137931033,failed_winner_retention_gate
hold_120d__break_even_after_gain__activation_gain_pct0p15__fixed_size,robustness,290,151,0.5206896551724138,passed
hold_120d__break_even_after_gain__activation_gain_pct0p1__fixed_size,robustness,290,145,0.5,passed
hold_20d__break_even_after_gain__activation_gain_pct0p08__volatility_scaled,robustness,290,17,0.05862068965517241,failed_winner_retention_gate
hold_20d__break_even_after_gain__activation_gain_pct0p15__volatility_scaled,robustness,290,17,0.05862068965517241,failed_winner_retention_gate
hold_20d__break_even_after_gain__activation_gain_pct0p1__volatility_scaled,robustness,290,17,0.05862068965517241,failed_winner_retention_gate
hold_40d__break_even_after_gain__activation_gain_pct0p08__volatility_scaled,robustness,290,50,0.1724137931034483,failed_winner_retention_gate
hold_40d__break_even_after_gain__activation_gain_pct0p15__volatility_scaled,robustness,290,53,0.18275862068965518,failed_winner_retention_gate
hold_40d__break_even_after_gain__activation_gain_pct0p1__volatility_scaled,robustness,290,52,0.1793103448275862,failed_winner_retention_gate
hold_60d__break_even_after_gain__activation_gain_pct0p08__volatility_scaled,robustness,290,88,0.30344827586206896,failed_winner_retention_gate
hold_60d__break_even_after_gain__activation_gain_pct0p15__volatility_scaled,robustness,290,92,0.31724137931034485,failed_winner_retention_gate
hold_60d__break_even_after_gain__activation_gain_pct0p1__volatility_scaled,robustness,290,91,0.3137931034482759,failed_winner_retention_gate
hold_120d__break_even_after_gain__activation_gain_pct0p08__volatility_scaled,robustness,290,135,0.46551724137931033,failed_winner_retention_gate
hold_120d__break_even_after_gain__activation_gain_pct0p15__volatility_scaled,robustness,290,151,0.5206896551724138,passed
hold_120d__break_even_after_gain__activation_gain_pct0p1__volatility_scaled,robustness,290,145,0.5,passed
hold_20d__fixed_stop__stop_loss_pctm0p05__fixed_size,robustness,290,16,0.05517241379310345,failed_winner_retention_gate
hold_20d__fixed_stop__stop_loss_pctm0p08__fixed_size,robustness,290,17,0.05862068965517241,failed_winner_retention_gate
hold_20d__fixed_stop__stop_loss_pctm0p1__fixed_size,robustness,290,17,0.05862068965517241,failed_winner_retention_gate
hold_40d__fixed_stop__stop_loss_pctm0p05__fixed_size,robustness,290,52,0.1793103448275862,failed_winner_retention_gate
hold_40d__fixed_stop__stop_loss_pctm0p08__fixed_size,robustness,290,54,0.18620689655172415,failed_winner_retention_gate
hold_40d__fixed_stop__stop_loss_pctm0p1__fixed_size,robustness,290,54,0.18620689655172415,failed_winner_retention_gate
hold_60d__fixed_stop__stop_loss_pctm0p05__fixed_size,robustness,290,80,0.27586206896551724,failed_winner_retention_gate
hold_60d__fixed_stop__stop_loss_pctm0p08__fixed_size,robustness,290,87,0.3,failed_winner_retention_gate
hold_60d__fixed_stop__stop_loss_pctm0p1__fixed_size,robustness,290,91,0.3137931034482759,failed_winner_retention_gate
hold_120d__fixed_stop__stop_loss_pctm0p05__fixed_size,robustness,290,111,0.38275862068965516,failed_winner_retention_gate
hold_120d__fixed_stop__stop_loss_pctm0p08__fixed_size,robustness,290,127,0.4379310344827586,failed_winner_retention_gate
hold_120d__fixed_stop__stop_loss_pctm0p1__fixed_size,robustness,290,138,0.47586206896551725,failed_winner_retention_gate
hold_20d__fixed_stop__stop_loss_pctm0p05__volatility_scaled,robustness,290,16,0.05517241379310345,failed_winner_retention_gate
hold_20d__fixed_stop__stop_loss_pctm0p08__volatility_scaled,robustness,290,17,0.05862068965517241,failed_winner_retention_gate
hold_20d__fixed_stop__stop_loss_pctm0p1__volatility_scaled,robustness,290,17,0.05862068965517241,failed_winner_retention_gate
hold_40d__fixed_stop__stop_loss_pctm0p05__volatility_scaled,robustness,290,52,0.1793103448275862,failed_winner_retention_gate
hold_40d__fixed_stop__stop_loss_pctm0p08__volatility_scaled,robustness,290,54,0.18620689655172415,failed_winner_retention_gate
hold_40d__fixed_stop__stop_loss_pctm0p1__volatility_scaled,robustness,290,54,0.18620689655172415,failed_winner_retention_gate
hold_60d__fixed_stop__stop_loss_pctm0p05__volatility_scaled,robustness,290,80,0.27586206896551724,failed_winner_retention_gate
hold_60d__fixed_stop__stop_loss_pctm0p08__volatility_scaled,robustness,290,87,0.3,failed_winner_retention_gate
hold_60d__fixed_stop__stop_loss_pctm0p1__volatility_scaled,robustness,290,91,0.3137931034482759,failed_winner_retention_gate
hold_120d__fixed_stop__stop_loss_pctm0p05__volatility_scaled,robustness,290,111,0.38275862068965516,failed_winner_retention_gate
hold_120d__fixed_stop__stop_loss_pctm0p08__volatility_scaled,robustness,290,127,0.4379310344827586,failed_winner_retention_gate
hold_120d__fixed_stop__stop_loss_pctm0p1__volatility_scaled,robustness,290,138,0.47586206896551725,failed_winner_retention_gate
hold_20d__no_exit__none__fixed_size,robustness,290,17,0.05862068965517241,failed_winner_retention_gate
hold_40d__no_exit__none__fixed_size,robustness,290,54,0.18620689655172415,failed_winner_retention_gate
hold_60d__no_exit__none__fixed_size,robustness,290,94,0.32413793103448274,failed_winner_retention_gate
volume_money_hold120_no_exit_fixed_size,robustness,290,158,0.5448275862068965,passed
hold_20d__no_exit__none__volatility_scaled,robustness,290,17,0.05862068965517241,failed_winner_retention_gate
hold_40d__no_exit__none__volatility_scaled,robustness,290,54,0.18620689655172415,failed_winner_retention_gate
hold_60d__no_exit__none__volatility_scaled,robustness,290,94,0.32413793103448274,failed_winner_retention_gate
hold_120d__no_exit__none__volatility_scaled,robustness,290,158,0.5448275862068965,passed
hold_20d__time_stop__time_stop_days10__fixed_size,robustness,290,5,0.017241379310344827,failed_winner_retention_gate
hold_20d__time_stop__time_stop_days10__volatility_scaled,robustness,290,5,0.017241379310344827,failed_winner_retention_gate
