policy_id,duplicate_policy_group_id,canonical_policy_id,invalid_policy_reason,is_train_selectable,is_validation_selectable
hold_20d__break_even_after_gain__activation_gain_pct0p08__fixed_size,,hold_20d__break_even_after_gain__activation_gain_pct0p08__fixed_size,,True,True
hold_20d__break_even_after_gain__activation_gain_pct0p15__fixed_size,,hold_20d__break_even_after_gain__activation_gain_pct0p15__fixed_size,,True,True
hold_20d__break_even_after_gain__activation_gain_pct0p1__fixed_size,,hold_20d__break_even_after_gain__activation_gain_pct0p1__fixed_size,,True,True
hold_40d__break_even_after_gain__activation_gain_pct0p08__fixed_size,,hold_40d__break_even_after_gain__activation_gain_pct0p08__fixed_size,,True,True
hold_40d__break_even_after_gain__activation_gain_pct0p15__fixed_size,,hold_40d__break_even_after_gain__activation_gain_pct0p15__fixed_size,,True,True
hold_40d__break_even_after_gain__activation_gain_pct0p1__fixed_size,,hold_40d__break_even_after_gain__activation_gain_pct0p1__fixed_size,,True,True
hold_60d__break_even_after_gain__activation_gain_pct0p08__fixed_size,,hold_60d__break_even_after_gain__activation_gain_pct0p08__fixed_size,,True,True
hold_60d__break_even_after_gain__activation_gain_pct0p15__fixed_size,,hold_60d__break_even_after_gain__activation_gain_pct0p15__fixed_size,,True,True
hold_60d__break_even_after_gain__activation_gain_pct0p1__fixed_size,,hold_60d__break_even_after_gain__activation_gain_pct0p1__fixed_size,,True,True
hold_120d__break_even_after_gain__activation_gain_pct0p08__fixed_size,,hold_120d__break_even_after_gain__activation_gain_pct0p08__fixed_size,,True,True
hold_120d__break_even_after_gain__activation_gain_pct0p15__fixed_size,,hold_120d__break_even_after_gain__activation_gain_pct0p15__fixed_size,,True,True
hold_120d__break_even_after_gain__activation_gain_pct0p1__fixed_size,,hold_120d__break_even_after_gain__activation_gain_pct0p1__fixed_size,,True,True
hold_20d__break_even_after_gain__activation_gain_pct0p08__volatility_scaled,,hold_20d__break_even_after_gain__activation_gain_pct0p08__volatility_scaled,,True,True
hold_20d__break_even_after_gain__activation_gain_pct0p15__volatility_scaled,,hold_20d__break_even_after_gain__activation_gain_pct0p15__volatility_scaled,,True,True
hold_20d__break_even_after_gain__activation_gain_pct0p1__volatility_scaled,,hold_20d__break_even_after_gain__activation_gain_pct0p1__volatility_scaled,,True,True
hold_40d__break_even_after_gain__activation_gain_pct0p08__volatility_scaled,,hold_40d__break_even_after_gain__activation_gain_pct0p08__volatility_scaled,,True,True
hold_40d__break_even_after_gain__activation_gain_pct0p15__volatility_scaled,,hold_40d__break_even_after_gain__activation_gain_pct0p15__volatility_scaled,,True,True
hold_40d__break_even_after_gain__activation_gain_pct0p1__volatility_scaled,,hold_40d__break_even_after_gain__activation_gain_pct0p1__volatility_scaled,,True,True
hold_60d__break_even_after_gain__activation_gain_pct0p08__volatility_scaled,,hold_60d__break_even_after_gain__activation_gain_pct0p08__volatility_scaled,,True,True
hold_60d__break_even_after_gain__activation_gain_pct0p15__volatility_scaled,,hold_60d__break_even_after_gain__activation_gain_pct0p15__volatility_scaled,,True,True
hold_60d__break_even_after_gain__activation_gain_pct0p1__volatility_scaled,,hold_60d__break_even_after_gain__activation_gain_pct0p1__volatility_scaled,,True,True
hold_120d__break_even_after_gain__activation_gain_pct0p08__volatility_scaled,,hold_120d__break_even_after_gain__activation_gain_pct0p08__volatility_scaled,,True,True
hold_120d__break_even_after_gain__activation_gain_pct0p15__volatility_scaled,,hold_120d__break_even_after_gain__activation_gain_pct0p15__volatility_scaled,,True,True
hold_120d__break_even_after_gain__activation_gain_pct0p1__volatility_scaled,,hold_120d__break_even_after_gain__activation_gain_pct0p1__volatility_scaled,,True,True
hold_20d__fixed_stop__stop_loss_pctm0p05__fixed_size,,hold_20d__fixed_stop__stop_loss_pctm0p05__fixed_size,,True,True
hold_20d__fixed_stop__stop_loss_pctm0p08__fixed_size,,hold_20d__fixed_stop__stop_loss_pctm0p08__fixed_size,,True,True
hold_20d__fixed_stop__stop_loss_pctm0p1__fixed_size,,hold_20d__fixed_stop__stop_loss_pctm0p1__fixed_size,,True,True
hold_40d__fixed_stop__stop_loss_pctm0p05__fixed_size,,hold_40d__fixed_stop__stop_loss_pctm0p05__fixed_size,,True,True
hold_40d__fixed_stop__stop_loss_pctm0p08__fixed_size,,hold_40d__fixed_stop__stop_loss_pctm0p08__fixed_size,,True,True
hold_40d__fixed_stop__stop_loss_pctm0p1__fixed_size,,hold_40d__fixed_stop__stop_loss_pctm0p1__fixed_size,,True,True
hold_60d__fixed_stop__stop_loss_pctm0p05__fixed_size,,hold_60d__fixed_stop__stop_loss_pctm0p05__fixed_size,,True,True
hold_60d__fixed_stop__stop_loss_pctm0p08__fixed_size,,hold_60d__fixed_stop__stop_loss_pctm0p08__fixed_size,,True,True
hold_60d__fixed_stop__stop_loss_pctm0p1__fixed_size,,hold_60d__fixed_stop__stop_loss_pctm0p1__fixed_size,,True,True
hold_120d__fixed_stop__stop_loss_pctm0p05__fixed_size,,hold_120d__fixed_stop__stop_loss_pctm0p05__fixed_size,,True,True
hold_120d__fixed_stop__stop_loss_pctm0p08__fixed_size,,hold_120d__fixed_stop__stop_loss_pctm0p08__fixed_size,,True,True
hold_120d__fixed_stop__stop_loss_pctm0p1__fixed_size,,hold_120d__fixed_stop__stop_loss_pctm0p1__fixed_size,,True,True
hold_20d__fixed_stop__stop_loss_pctm0p05__volatility_scaled,,hold_20d__fixed_stop__stop_loss_pctm0p05__volatility_scaled,,True,True
hold_20d__fixed_stop__stop_loss_pctm0p08__volatility_scaled,,hold_20d__fixed_stop__stop_loss_pctm0p08__volatility_scaled,,True,True
hold_20d__fixed_stop__stop_loss_pctm0p1__volatility_scaled,,hold_20d__fixed_stop__stop_loss_pctm0p1__volatility_scaled,,True,True
hold_40d__fixed_stop__stop_loss_pctm0p05__volatility_scaled,,hold_40d__fixed_stop__stop_loss_pctm0p05__volatility_scaled,,True,True
hold_40d__fixed_stop__stop_loss_pctm0p08__volatility_scaled,,hold_40d__fixed_stop__stop_loss_pctm0p08__volatility_scaled,,True,True
hold_40d__fixed_stop__stop_loss_pctm0p1__volatility_scaled,,hold_40d__fixed_stop__stop_loss_pctm0p1__volatility_scaled,,True,True
hold_60d__fixed_stop__stop_loss_pctm0p05__volatility_scaled,,hold_60d__fixed_stop__stop_loss_pctm0p05__volatility_scaled,,True,True
hold_60d__fixed_stop__stop_loss_pctm0p08__volatility_scaled,,hold_60d__fixed_stop__stop_loss_pctm0p08__volatility_scaled,,True,True
hold_60d__fixed_stop__stop_loss_pctm0p1__volatility_scaled,,hold_60d__fixed_stop__stop_loss_pctm0p1__volatility_scaled,,True,True
hold_120d__fixed_stop__stop_loss_pctm0p05__volatility_scaled,,hold_120d__fixed_stop__stop_loss_pctm0p05__volatility_scaled,,True,True
hold_120d__fixed_stop__stop_loss_pctm0p08__volatility_scaled,,hold_120d__fixed_stop__stop_loss_pctm0p08__volatility_scaled,,True,True
hold_120d__fixed_stop__stop_loss_pctm0p1__volatility_scaled,,hold_120d__fixed_stop__stop_loss_pctm0p1__volatility_scaled,,True,True
hold_20d__no_exit__none__fixed_size,static_exit_offset_20__fixed_size,hold_20d__no_exit__none__fixed_size,,True,True
hold_40d__no_exit__none__fixed_size,static_exit_offset_40__fixed_size,hold_40d__no_exit__none__fixed_size,,True,True
hold_60d__no_exit__none__fixed_size,static_exit_offset_60__fixed_size,hold_60d__no_exit__none__fixed_size,,True,True
volume_money_hold120_no_exit_fixed_size,,volume_money_hold120_no_exit_fixed_size,,True,True
hold_20d__no_exit__none__volatility_scaled,static_exit_offset_20__volatility_scaled,hold_20d__no_exit__none__volatility_scaled,,True,True
hold_40d__no_exit__none__volatility_scaled,static_exit_offset_40__volatility_scaled,hold_40d__no_exit__none__volatility_scaled,,True,True
hold_60d__no_exit__none__volatility_scaled,static_exit_offset_60__volatility_scaled,hold_60d__no_exit__none__volatility_scaled,,True,True
