replay_universe,policy_id,split,replay_status,event_count,status_share
matched_baseline_A,hold_120d__break_even_after_gain__activation_gain_pct0p08__fixed_size,robustness,replay_complete,2760,1.0
matched_baseline_A,hold_120d__break_even_after_gain__activation_gain_pct0p08__fixed_size,train,replay_complete,6372,1.0
matched_baseline_A,hold_120d__break_even_after_gain__activation_gain_pct0p08__fixed_size,validation,replay_complete,3401,1.0
matched_baseline_A,hold_120d__break_even_after_gain__activation_gain_pct0p08__volatility_scaled,robustness,replay_complete,2760,1.0
matched_baseline_A,hold_120d__break_even_after_gain__activation_gain_pct0p08__volatility_scaled,train,replay_complete,6372,1.0
matched_baseline_A,hold_120d__break_even_after_gain__activation_gain_pct0p08__volatility_scaled,validation,replay_complete,3401,1.0
matched_baseline_A,hold_120d__break_even_after_gain__activation_gain_pct0p15__fixed_size,robustness,replay_complete,2760,1.0
matched_baseline_A,hold_120d__break_even_after_gain__activation_gain_pct0p15__fixed_size,train,replay_complete,6372,1.0
matched_baseline_A,hold_120d__break_even_after_gain__activation_gain_pct0p15__fixed_size,validation,replay_complete,3401,1.0
matched_baseline_A,hold_120d__break_even_after_gain__activation_gain_pct0p15__volatility_scaled,robustness,replay_complete,2760,1.0
matched_baseline_A,hold_120d__break_even_after_gain__activation_gain_pct0p15__volatility_scaled,train,replay_complete,6372,1.0
matched_baseline_A,hold_120d__break_even_after_gain__activation_gain_pct0p15__volatility_scaled,validation,replay_complete,3401,1.0
matched_baseline_A,hold_120d__break_even_after_gain__activation_gain_pct0p1__fixed_size,robustness,replay_complete,2760,1.0
matched_baseline_A,hold_120d__break_even_after_gain__activation_gain_pct0p1__fixed_size,train,replay_complete,6372,1.0
matched_baseline_A,hold_120d__break_even_after_gain__activation_gain_pct0p1__fixed_size,validation,replay_complete,3401,1.0
matched_baseline_A,hold_120d__break_even_after_gain__activation_gain_pct0p1__volatility_scaled,robustness,replay_complete,2760,1.0
matched_baseline_A,hold_120d__break_even_after_gain__activation_gain_pct0p1__volatility_scaled,train,replay_complete,6372,1.0
matched_baseline_A,hold_120d__break_even_after_gain__activation_gain_pct0p1__volatility_scaled,validation,replay_complete,3401,1.0
matched_baseline_A,hold_120d__fixed_stop__stop_loss_pctm0p05__fixed_size,robustness,replay_complete,2760,1.0
matched_baseline_A,hold_120d__fixed_stop__stop_loss_pctm0p05__fixed_size,train,replay_complete,6372,1.0
matched_baseline_A,hold_120d__fixed_stop__stop_loss_pctm0p05__fixed_size,validation,replay_complete,3401,1.0
matched_baseline_A,hold_120d__fixed_stop__stop_loss_pctm0p05__volatility_scaled,robustness,replay_complete,2760,1.0
matched_baseline_A,hold_120d__fixed_stop__stop_loss_pctm0p05__volatility_scaled,train,replay_complete,6372,1.0
matched_baseline_A,hold_120d__fixed_stop__stop_loss_pctm0p05__volatility_scaled,validation,replay_complete,3401,1.0
matched_baseline_A,hold_120d__fixed_stop__stop_loss_pctm0p08__fixed_size,robustness,replay_complete,2760,1.0
matched_baseline_A,hold_120d__fixed_stop__stop_loss_pctm0p08__fixed_size,train,replay_complete,6372,1.0
matched_baseline_A,hold_120d__fixed_stop__stop_loss_pctm0p08__fixed_size,validation,replay_complete,3401,1.0
matched_baseline_A,hold_120d__fixed_stop__stop_loss_pctm0p08__volatility_scaled,robustness,replay_complete,2760,1.0
