selection_stage,split_used,policy_family_id,candidate_policy_id,parameter_set_id,parameter_values_json,selection_metric_name,selection_metric_value,selection_rank,z_reference_set_id,z_reference_set_size,selected_flag,rejection_reason
train_parameter_selection,train,break_even_after_gain__fixed_size,hold_20d__break_even_after_gain__activation_gain_pct0p08__fixed_size,dde4279792dd,"{""exit"":{""activation_gain_pct"":0.08},""sizing"":{""position_weight"":1.0}}",train_policy_score,1.576202819836416,1,break_even_after_gain__fixed_size,12,True,
train_parameter_selection,train,break_even_after_gain__fixed_size,hold_20d__break_even_after_gain__activation_gain_pct0p1__fixed_size,36c5c0691926,"{""exit"":{""activation_gain_pct"":0.1},""sizing"":{""position_weight"":1.0}}",train_policy_score,1.4358177766052511,2,break_even_after_gain__fixed_size,12,False,lower_train_score
train_parameter_selection,train,break_even_after_gain__fixed_size,hold_20d__break_even_after_gain__activation_gain_pct0p15__fixed_size,f02c6f7248ec,"{""exit"":{""activation_gain_pct"":0.15},""sizing"":{""position_weight"":1.0}}",train_policy_score,1.170640291277226,3,break_even_after_gain__fixed_size,12,False,lower_train_score
train_parameter_selection,train,break_even_after_gain__fixed_size,hold_40d__break_even_after_gain__activation_gain_pct0p08__fixed_size,dde4279792dd,"{""exit"":{""activation_gain_pct"":0.08},""sizing"":{""position_weight"":1.0}}",train_policy_score,0.07871720487872091,4,break_even_after_gain__fixed_size,12,False,lower_train_score
train_parameter_selection,train,break_even_after_gain__fixed_size,hold_60d__break_even_after_gain__activation_gain_pct0p08__fixed_size,dde4279792dd,"{""exit"":{""activation_gain_pct"":0.08},""sizing"":{""position_weight"":1.0}}",train_policy_score,0.025207217485408648,5,break_even_after_gain__fixed_size,12,False,lower_train_score
train_parameter_selection,train,break_even_after_gain__fixed_size,hold_40d__break_even_after_gain__activation_gain_pct0p1__fixed_size,36c5c0691926,"{""exit"":{""activation_gain_pct"":0.1},""sizing"":{""position_weight"":1.0}}",train_policy_score,-0.3115828275813575,6,break_even_after_gain__fixed_size,12,False,lower_train_score
train_parameter_selection,train,break_even_after_gain__fixed_size,hold_120d__break_even_after_gain__activation_gain_pct0p08__fixed_size,dde4279792dd,"{""exit"":{""activation_gain_pct"":0.08},""sizing"":{""position_weight"":1.0}}",train_policy_score,-0.4002113177127993,7,break_even_after_gain__fixed_size,12,False,lower_train_score
train_parameter_selection,train,break_even_after_gain__fixed_size,hold_60d__break_even_after_gain__activation_gain_pct0p1__fixed_size,36c5c0691926,"{""exit"":{""activation_gain_pct"":0.1},""sizing"":{""position_weight"":1.0}}",train_policy_score,-0.4754770688015599,8,break_even_after_gain__fixed_size,12,False,lower_train_score
train_parameter_selection,train,break_even_after_gain__fixed_size,hold_120d__break_even_after_gain__activation_gain_pct0p1__fixed_size,36c5c0691926,"{""exit"":{""activation_gain_pct"":0.1},""sizing"":{""position_weight"":1.0}}",train_policy_score,-0.9469222230077272,9,break_even_after_gain__fixed_size,12,False,lower_train_score
train_parameter_selection,train,break_even_after_gain__fixed_size,hold_40d__break_even_after_gain__activation_gain_pct0p15__fixed_size,f02c6f7248ec,"{""exit"":{""activation_gain_pct"":0.15},""sizing"":{""position_weight"":1.0}}",train_policy_score,-1.1705391381192594,10,break_even_after_gain__fixed_size,12,False,lower_train_score
train_parameter_selection,train,break_even_after_gain__fixed_size,hold_60d__break_even_after_gain__activation_gain_pct0p15__fixed_size,f02c6f7248ec,"{""exit"":{""activation_gain_pct"":0.15},""sizing"":{""position_weight"":1.0}}",train_policy_score,-1.341610108143753,11,break_even_after_gain__fixed_size,12,False,lower_train_score
train_parameter_selection,train,break_even_after_gain__fixed_size,hold_120d__break_even_after_gain__activation_gain_pct0p15__fixed_size,f02c6f7248ec,"{""exit"":{""activation_gain_pct"":0.15},""sizing"":{""position_weight"":1.0}}",train_policy_score,-2.104972917173002,12,break_even_after_gain__fixed_size,12,False,lower_train_score
train_parameter_selection,train,break_even_after_gain__volatility_scaled,hold_20d__break_even_after_gain__activation_gain_pct0p08__volatility_scaled,3933291d856e,"{""exit"":{""activation_gain_pct"":0.08},""sizing"":{""max_weight"":1.0,""min_weight"":0.25,""target_vol"":0.02}}",train_policy_score,1.4369318414726102,1,break_even_after_gain__volatility_scaled,12,True,
