policy_id,policy_family_id,hold_rule_id,exit_rule_family_id,sizing_rule_id,parameter_set_id,parameter_values_json,split,event_count,replay_complete_count,censored_count,censored_share,net_return_mean,net_return_median,net_return_p10,net_return_p25,net_return_p75,net_return_p90,unweighted_net_return_mean,unweighted_net_return_p10,weighted_net_return_mean,weighted_net_return_p10,loss_le_minus5_rate,loss_le_minus10_rate,max_drawdown_p50,max_drawdown_p90,max_gain50_count,max_gain50_rate,max_gain50_retention_vs_volume_money_hold120,max_gain50_retention_wilson_lower,max_gain50_retention_wilson_upper,policy_retained_max_gain50_count,avg_holding_days,position_weight_mean,position_weight_p10,turnover_proxy,cost_bps_mean,net_return_metric_basis,volume_money_hold120_net_return_mean,volume_money_hold120_net_return_p10,volume_money_hold120_loss_le_minus5_rate,volume_money_hold120_max_gain50_rate,net_return_mean_delta_vs_volume_money_hold120,p10_delta_vs_volume_money_hold120,loss_le_minus5_delta_vs_volume_money_hold120,max_gain50_rate_delta_vs_volume_money_hold120,baseline_A_r04c_hold120_net_return_mean,baseline_A_r04c_hold120_net_return_p10,baseline_A_r04c_hold120_loss_le_minus5_rate,net_return_mean_delta_vs_baseline_A,denominator_status,winner_retention_status,matched_baseline_replay_complete_count,matched_comparator_effective_sample_size,matched_baseline_net_return_mean,matched_baseline_net_return_p10,matched_baseline_loss_le_minus5_rate,matched_comparator_status,volume_money_replay_complete_count,volume_money_net_return_mean,volume_money_net_return_p10,volume_money_loss_le_minus5_rate,net_return_mean_delta_vs_matched_baseline_A,p10_delta_vs_matched_baseline_A,loss_le_minus5_delta_vs_matched_baseline_A
hold_20d__break_even_after_gain__activation_gain_pct0p08__fixed_size,break_even_after_gain__fixed_size,hold_20d,break_even_after_gain,fixed_size,dde4279792dd,"{""exit"":{""activation_gain_pct"":0.08},""sizing"":{""position_weight"":1.0}}",train,3669,3531,138,0.03761242845461979,0.004448064004810523,-0.00887965444177442,-0.12638924731857548,-0.061222348593898426,0.05859138313477917,0.14960275249496546,0.004448064004810523,-0.12638924731857548,0.004448064004810523,-0.12638924731857548,0.2925516850750496,0.14415179835740582,-0.042708754539489746,0.0011175870895385742,482,0.13137094576178796,0.03941908713692946,0.025378747768611983,0.060742883189474364,19,20.36986689323138,1.0,1.0,12.371214859716932,21.0,weighted_net_return,0.04218221804690735,-0.2542526837644029,0.42101717750084205,0.13137094576178796,-0.037734154042096825,0.12786343644582743,-0.12846549242579247,0.0,0.0764181003456748,-0.2675522891050917,0.4169920349836014,-0.07197003634086427,sufficient,failed_winner_retention_gate,6372,5095.044024883503,0.008418336224006973,-0.1382441771414301,0.31269322170485975,sufficient,3531,0.004448064004810523,-0.12638924731857548,0.2925516850750496,-0.00397027221919645,0.011854929822854632,-0.020141536629810164
hold_20d__break_even_after_gain__activation_gain_pct0p15__fixed_size,break_even_after_gain__fixed_size,hold_20d,break_even_after_gain,fixed_size,f02c6f7248ec,"{""exit"":{""activation_gain_pct"":0.15},""sizing"":{""position_weight"":1.0}}",train,3669,3529,140,0.03815753611338239,0.005310049358267635,-0.0073219272388812635,-0.1287746225203346,-0.06492550364821426,0.06317781659438393,0.1534823822632611,0.005310049358267635,-0.1287746225203346,0.005310049358267635,-0.1287746225203346,0.3037687730235194,0.1518843865117597,-0.04580146074295044,0.0011379718780517856,482,0.13137094576178796,0.04149377593360996,0.027019012224649894,0.06321918796335499,20,20.889203740436383,1.0,1.0,12.063647955723162,21.0,weighted_net_return,0.04218221804690735,-0.2542526837644029,0.42101717750084205,0.13137094576178796,-0.03687216868863971,0.12547806124406832,-0.11724840447732265,0.0,0.0764181003456748,-0.2675522891050917,0.4169920349836014,-0.07110805098740716,sufficient,failed_winner_retention_gate,6372,5095.044024883503,0.008389672727355161,-0.14252556328670518,0.3325406857134611,sufficient,3529,0.005310049358267635,-0.1287746225203346,0.3037687730235194,-0.0030796233690875262,0.013750940766370595,-0.028771912689941725
hold_20d__break_even_after_gain__activation_gain_pct0p1__fixed_size,break_even_after_gain__fixed_size,hold_20d,break_even_after_gain,fixed_size,36c5c0691926,"{""exit"":{""activation_gain_pct"":0.1},""sizing"":{""position_weight"":1.0}}",train,3669,3529,140,0.03815753611338239,0.005048657080677847,-0.008111970811066637,-0.12724968579383752,-0.06270600334652988,0.060278106761327596,0.15157685085865538,0.005048657080677847,-0.12724968579383752,0.005048657080677847,-0.12724968579383752,0.29725134599036557,0.14678379144233494,-0.044169604778289795,0.0011379718780517856,482,0.13137094576178796,0.04149377593360996,0.027019012224649894,0.06321918796335499,20,20.659960328705015,1.0,1.0,12.197506480681398,21.0,weighted_net_return,0.04218221804690735,-0.2542526837644029,0.42101717750084205,0.13137094576178796,-0.0371335609662295,0.12700299797056538,-0.12376583151047649,0.0,0.0764181003456748,-0.2675522891050917,0.4169920349836014,-0.07136944326499695,sufficient,failed_winner_retention_gate,6372,5095.044024883503,0.008508301561641587,-0.13978111497658274,0.3216106867803777,sufficient,3529,0.005048657080677847,-0.12724968579383752,0.29725134599036557,-0.0034596444809637398,0.012531429182745218,-0.02435934079001212
hold_40d__break_even_after_gain__activation_gain_pct0p08__fixed_size,break_even_after_gain__fixed_size,hold_40d,break_even_after_gain,fixed_size,dde4279792dd,"{""exit"":{""activation_gain_pct"":0.08},""sizing"":{""position_weight"":1.0}}",train,3669,3426,243,0.06623058053965658,0.009907032081124645,-0.013869689900347381,-0.1522419024743849,-0.07352859170226028,0.06496421598267388,0.20254597876172398,0.009907032081124645,-0.1522419024743849,0.009907032081124645,-0.1522419024743849,0.3260361938120257,0.18447168709865733,-0.056609511375427246,-0.0029192566871643066,482,0.13137094576178796,0.1950207468879668,0.16211803751152268,0.23274628569045344,94,37.53415061295972,1.0,1.0,6.7138857782754755,21.0,weighted_net_return,0.04218221804690735,-0.2542526837644029,0.42101717750084205,0.13137094576178796,-0.0322751859657827,0.102010781290018,-0.09498098368881636,0.0,0.0764181003456748,-0.2675522891050917,0.4169920349836014,-0.06651106826455015,sufficient,failed_winner_retention_gate,6372,5095.044024883503,0.02007918866827254,-0.16757792958264983,0.3353017113406502,sufficient,3426,0.009907032081124645,-0.1522419024743849,0.3260361938120257,-0.010172156587147894,0.015336027108264927,-0.009265517528624478
hold_40d__break_even_after_gain__activation_gain_pct0p15__fixed_size,break_even_after_gain__fixed_size,hold_40d,break_even_after_gain,fixed_size,f02c6f7248ec,"{""exit"":{""activation_gain_pct"":0.15},""sizing"":{""position_weight"":1.0}}",train,3669,3413,256,0.06977378032161352,0.011269948750060795,-0.012940097895054691,-0.16143295932944035,-0.0839505941967732,0.07900682795445069,0.2109935403351363,0.011269948750060795,-0.16143295932944035,0.011269948750060795,-0.16143295932944035,0.3554058013477879,0.20627014356870788,-0.06775957345962524,-0.0042440891265869115,482,0.13137094576178796,0.2074688796680498,0.1736511016160809,0.2459126369654064,100,40.1506006445942,1.0,1.0,6.276369368185997,21.0,weighted_net_return,0.04218221804690735,-0.2542526837644029,0.42101717750084205,0.13137094576178796,-0.030912269296846553,0.09281972443496256,-0.06561137615305418,0.0,0.0764181003456748,-0.2675522891050917,0.4169920349836014,-0.065148151595614,sufficient,failed_winner_retention_gate,6372,5095.044024883503,0.02347272288715272,-0.1774407110936317,0.37810585168316674,sufficient,3413,0.011269948750060795,-0.16143295932944035,0.3554058013477879,-0.012202774137091926,0.016007751764191336,-0.022700050335378863
hold_40d__break_even_after_gain__activation_gain_pct0p1__fixed_size,break_even_after_gain__fixed_size,hold_40d,break_even_after_gain,fixed_size,36c5c0691926,"{""exit"":{""activation_gain_pct"":0.1},""sizing"":{""position_weight"":1.0}}",train,3669,3423,246,0.06704824202780049,0.010942935954381339,-0.013328538470206885,-0.15497139108872823,-0.0777800320044103,0.07167865609767987,0.20572615178748904,0.010942935954381339,-0.15497139108872823,0.010942935954381339,-0.15497139108872823,0.3368390300905638,0.1925211802512416,-0.061810195446014404,-0.0035617709159850874,482,0.13137094576178796,0.1991701244813278,0.16595651519991333,0.23714094646189982,96,38.79842243645925,1.0,1.0,6.495109444532291,21.0,weighted_net_return,0.04218221804690735,-0.2542526837644029,0.42101717750084205,0.13137094576178796,-0.031239282092526008,0.09928129267567468,-0.08417814741027824,0.0,0.0764181003456748,-0.2675522891050917,0.4169920349836014,-0.06547516439129346,sufficient,failed_winner_retention_gate,6372,5095.044024883503,0.021648926148863396,-0.1710847208509746,0.3503256308195861,sufficient,3423,0.010942935954381339,-0.15497139108872823,0.3368390300905638,-0.010705990194482057,0.01611332976224636,-0.013486600729022302
hold_60d__break_even_after_gain__activation_gain_pct0p08__fixed_size,break_even_after_gain__fixed_size,hold_60d,break_even_after_gain,fixed_size,dde4279792dd,"{""exit"":{""activation_gain_pct"":0.08},""sizing"":{""position_weight"":1.0}}",train,3669,3322,347,0.09457617879531208,0.01803110563524131,-0.015679798622100793,-0.17287548846666423,-0.08426902338141218,0.06638951302854079,0.2571547670173917,0.01803110563524131,-0.17287548846666423,0.01803110563524131,-0.17287548846666423,0.33564118001204096,0.2185430463576159,-0.0632961094379425,-0.0043844461441040015,482,0.13137094576178796,0.4211618257261411,0.37787678001792196,0.46569358924517396,203,52.80102347983143,1.0,1.0,4.772634759556455,21.0,weighted_net_return,0.04218221804690735,-0.2542526837644029,0.42101717750084205,0.13137094576178796,-0.024151112411666037,0.08137719529773868,-0.08537599748880109,0.0,0.0764181003456748,-0.2675522891050917,0.4169920349836014,-0.05838699471043349,sufficient,failed_winner_retention_gate,6372,5095.044024883503,0.02897405663019387,-0.1892737701299244,0.33483157108225015,sufficient,3322,0.01803110563524131,-0.17287548846666423,0.33564118001204096,-0.010942950994952561,0.016398281663260184,0.0008096089297908171
hold_60d__break_even_after_gain__activation_gain_pct0p15__fixed_size,break_even_after_gain__fixed_size,hold_60d,break_even_after_gain,fixed_size,f02c6f7248ec,"{""exit"":{""activation_gain_pct"":0.15},""sizing"":{""position_weight"":1.0}}",train,3669,3295,374,0.10193513218860725,0.022132024104039714,-0.01667721305714077,-0.18181851167606478,-0.10145302240372911,0.09207205448978628,0.2766610865960742,0.022132024104039714,-0.18181851167606478,0.022132024104039714,-0.18181851167606478,0.375113808801214,0.25371775417298936,-0.08153241872787476,-0.0059180736541748075,482,0.13137094576178796,0.45435684647302904,0.4104417642684307,0.4989937126733617,219,58.56327769347496,1.0,1.0,4.3030378408631575,21.0,weighted_net_return,0.04218221804690735,-0.2542526837644029,0.42101717750084205,0.13137094576178796,-0.020050193942867632,0.07243417208833813,-0.04590336869962808,0.0,0.0764181003456748,-0.2675522891050917,0.4169920349836014,-0.05428607624163508,sufficient,failed_winner_retention_gate,6372,5095.044024883503,0.03521941407346526,-0.2012388495402705,0.3886882404690278,sufficient,3295,0.022132024104039714,-0.18181851167606478,0.375113808801214,-0.013087389969425545,0.019420337864205717,-0.013574431667813802
hold_60d__break_even_after_gain__activation_gain_pct0p1__fixed_size,break_even_after_gain__fixed_size,hold_60d,break_even_after_gain,fixed_size,36c5c0691926,"{""exit"":{""activation_gain_pct"":0.1},""sizing"":{""position_weight"":1.0}}",train,3669,3318,351,0.09566639411283728,0.020224353043960853,-0.015781490931265307,-0.1764289321276883,-0.09050760077884873,0.07825554721439831,0.26554398606971696,0.020224353043960853,-0.1764289321276883,0.020224353043960853,-0.1764289321276883,0.35171790235081374,0.23116335141651598,-0.07169449329376221,-0.005082178115844725,482,0.13137094576178796,0.43568464730290457,0.39209945587452644,0.4802868979979992,210,55.385171790235084,1.0,1.0,4.549954290191981,21.0,weighted_net_return,0.04218221804690735,-0.2542526837644029,0.42101717750084205,0.13137094576178796,-0.021957865002946494,0.07782375163671462,-0.06929927515002832,0.0,0.0764181003456748,-0.2675522891050917,0.4169920349836014,-0.05619374730171395,sufficient,failed_winner_retention_gate,6372,5095.044024883503,0.03131809672206514,-0.19489906081352082,0.35763258105213397,sufficient,3318,0.020224353043960853,-0.1764289321276883,0.35171790235081374,-0.011093743678104288,0.018470128685832532,-0.005914678701320231
hold_120d__break_even_after_gain__activation_gain_pct0p08__fixed_size,break_even_after_gain__fixed_size,hold_120d,break_even_after_gain,fixed_size,dde4279792dd,"{""exit"":{""activation_gain_pct"":0.08},""sizing"":{""position_weight"":1.0}}",train,3669,3122,547,0.14908694467157263,0.022732486520473806,-0.014617332539302651,-0.22503456108050238,-0.07942953770355263,0.043223948896320294,0.3082125970995243,0.022732486520473806,-0.22503456108050238,0.022732486520473806,-0.22503456108050238,0.31037796284433056,0.22357463164638053,-0.06787979602813721,-0.005935925245285032,482,0.13137094576178796,0.7385892116182573,0.6975853596760591,0.7758201017645721,356,90.31966688020499,1.0,1.0,2.7900900070218246,21.0,weighted_net_return,0.04218221804690735,-0.2542526837644029,0.42101717750084205,0.13137094576178796,-0.01944973152643354,0.029218122683900533,-0.1106392146565115,0.0,0.0764181003456748,-0.2675522891050917,0.4169920349836014,-0.05368561382520099,sufficient,passed,6372,5095.044024883503,0.04442989026806281,-0.22969606454028046,0.2923831054655653,sufficient,3122,0.022732486520473806,-0.22503456108050238,0.31037796284433056,-0.021697403747589,0.004661503459778088,0.017994857378765272
