upstream_id,validation_status,final_decision,required_status_pass,required_final_decision_pass,final_decision_csv
r04c,passed,r04c_no_candidate_pool_passed_validation,True,True,r04c_no_candidate_pool_passed_validation
r04b,passed,r04b_policy_not_robust_hold_exit_diagnostic_complete,True,True,
