policy_id,split,volume_money_replay_complete_count,matched_baseline_replay_complete_count,matched_comparator_effective_sample_size,volume_money_net_return_mean,matched_baseline_net_return_mean,net_return_mean_delta_vs_matched_baseline_A,volume_money_net_return_p10,matched_baseline_net_return_p10,p10_delta_vs_matched_baseline_A,volume_money_loss_le_minus5_rate,matched_baseline_loss_le_minus5_rate,loss_le_minus5_delta_vs_matched_baseline_A,matched_comparator_status
hold_20d__break_even_after_gain__activation_gain_pct0p08__fixed_size,train,3531,6372,5095.044024883503,0.004448064004810523,0.008418336224006973,-0.00397027221919645,-0.12638924731857548,-0.1382441771414301,0.011854929822854632,0.2925516850750496,0.31269322170485975,-0.020141536629810164,sufficient
hold_20d__break_even_after_gain__activation_gain_pct0p15__fixed_size,train,3529,6372,5095.044024883503,0.005310049358267635,0.008389672727355161,-0.0030796233690875262,-0.1287746225203346,-0.14252556328670518,0.013750940766370595,0.3037687730235194,0.3325406857134611,-0.028771912689941725,sufficient
hold_20d__break_even_after_gain__activation_gain_pct0p1__fixed_size,train,3529,6372,5095.044024883503,0.005048657080677847,0.008508301561641587,-0.0034596444809637398,-0.12724968579383752,-0.13978111497658274,0.012531429182745218,0.29725134599036557,0.3216106867803777,-0.02435934079001212,sufficient
hold_40d__break_even_after_gain__activation_gain_pct0p08__fixed_size,train,3426,6372,5095.044024883503,0.009907032081124645,0.02007918866827254,-0.010172156587147894,-0.1522419024743849,-0.16757792958264983,0.015336027108264927,0.3260361938120257,0.3353017113406502,-0.009265517528624478,sufficient
hold_40d__break_even_after_gain__activation_gain_pct0p15__fixed_size,train,3413,6372,5095.044024883503,0.011269948750060795,0.02347272288715272,-0.012202774137091926,-0.16143295932944035,-0.1774407110936317,0.016007751764191336,0.3554058013477879,0.37810585168316674,-0.022700050335378863,sufficient
hold_40d__break_even_after_gain__activation_gain_pct0p1__fixed_size,train,3423,6372,5095.044024883503,0.010942935954381339,0.021648926148863396,-0.010705990194482057,-0.15497139108872823,-0.1710847208509746,0.01611332976224636,0.3368390300905638,0.3503256308195861,-0.013486600729022302,sufficient
hold_60d__break_even_after_gain__activation_gain_pct0p08__fixed_size,train,3322,6372,5095.044024883503,0.01803110563524131,0.02897405663019387,-0.010942950994952561,-0.17287548846666423,-0.1892737701299244,0.016398281663260184,0.33564118001204096,0.33483157108225015,0.0008096089297908171,sufficient
hold_60d__break_even_after_gain__activation_gain_pct0p15__fixed_size,train,3295,6372,5095.044024883503,0.022132024104039714,0.03521941407346526,-0.013087389969425545,-0.18181851167606478,-0.2012388495402705,0.019420337864205717,0.375113808801214,0.3886882404690278,-0.013574431667813802,sufficient
hold_60d__break_even_after_gain__activation_gain_pct0p1__fixed_size,train,3318,6372,5095.044024883503,0.020224353043960853,0.03131809672206514,-0.011093743678104288,-0.1764289321276883,-0.19489906081352082,0.018470128685832532,0.35171790235081374,0.35763258105213397,-0.005914678701320231,sufficient
hold_120d__break_even_after_gain__activation_gain_pct0p08__fixed_size,train,3122,6372,5095.044024883503,0.022732486520473806,0.04442989026806281,-0.021697403747589,-0.22503456108050238,-0.22969606454028046,0.004661503459778088,0.31037796284433056,0.2923831054655653,0.017994857378765272,sufficient
hold_120d__break_even_after_gain__activation_gain_pct0p15__fixed_size,train,3045,6372,5095.044024883503,0.03366331968892841,0.05468027840083265,-0.02101695871190424,-0.24046647486104725,-0.2594701795826236,0.019003704721576337,0.3671592775041051,0.3611232663537325,0.006036011150372611,sufficient
hold_120d__break_even_after_gain__activation_gain_pct0p1__fixed_size,train,3103,6372,5095.044024883503,0.0282024800489807,0.04818893793403178,-0.019986457885051077,-0.23327492175780976,-0.23873523315199774,0.005460311394187983,0.33129229777634545,0.31428936609607605,0.017002931680269395,sufficient
hold_20d__break_even_after_gain__activation_gain_pct0p08__volatility_scaled,train,3531,6372,5095.044024883503,0.005108221651540946,0.007679391673536314,-0.0025711700219953684,-0.09851817007344484,-0.10110989725056652,0.0025917271771216804,0.25346927216086096,0.2625841533433425,-0.009114881182481549,sufficient
hold_20d__break_even_after_gain__activation_gain_pct0p15__volatility_scaled,train,3529,6372,5095.044024883503,0.005699182503286197,0.007733604371513526,-0.0020344218682273292,-0.09993275864496849,-0.10341252683826574,0.0034797681932972474,0.2646642108245962,0.28078948736530956,-0.016125276540713385,sufficient
