policy_id,policy_family_id,hold_rule_id,hold_rule_max_days,exit_rule_family_id,exit_rule_id,sizing_rule_id,parameter_set_id,parameter_values_json,is_train_selectable,is_validation_selectable,invalid_policy_reason,duplicate_policy_group_id,canonical_policy_id,formula_text,formula_hash
hold_20d__break_even_after_gain__activation_gain_pct0p08__fixed_size,break_even_after_gain__fixed_size,hold_20d,20,break_even_after_gain,break_even_after_gain__5a5e43a6,fixed_size,dde4279792dd,"{""exit"":{""activation_gain_pct"":0.08},""sizing"":{""position_weight"":1.0}}",True,True,,,hold_20d__break_even_after_gain__activation_gain_pct0p08__fixed_size,"hold=20;exit=break_even_after_gain;params={""activation_gain_pct"":0.08};sizing=fixed_size",44d778fa636d82e28fc26f36cb54850f27ec0d44fea9e9dff391bf70184bb458
hold_20d__break_even_after_gain__activation_gain_pct0p15__fixed_size,break_even_after_gain__fixed_size,hold_20d,20,break_even_after_gain,break_even_after_gain__f83b16bb,fixed_size,f02c6f7248ec,"{""exit"":{""activation_gain_pct"":0.15},""sizing"":{""position_weight"":1.0}}",True,True,,,hold_20d__break_even_after_gain__activation_gain_pct0p15__fixed_size,"hold=20;exit=break_even_after_gain;params={""activation_gain_pct"":0.15};sizing=fixed_size",d5232e5bdaedfb8a831910987b832a16bc53e7d6deff0dbfebb84dd61882e94d
hold_20d__break_even_after_gain__activation_gain_pct0p1__fixed_size,break_even_after_gain__fixed_size,hold_20d,20,break_even_after_gain,break_even_after_gain__cadd57b9,fixed_size,36c5c0691926,"{""exit"":{""activation_gain_pct"":0.1},""sizing"":{""position_weight"":1.0}}",True,True,,,hold_20d__break_even_after_gain__activation_gain_pct0p1__fixed_size,"hold=20;exit=break_even_after_gain;params={""activation_gain_pct"":0.1};sizing=fixed_size",a900de6a1cc0cd81008fcefc0c59b52166b65100dca1281afd7e759498e5f441
hold_40d__break_even_after_gain__activation_gain_pct0p08__fixed_size,break_even_after_gain__fixed_size,hold_40d,40,break_even_after_gain,break_even_after_gain__5a5e43a6,fixed_size,dde4279792dd,"{""exit"":{""activation_gain_pct"":0.08},""sizing"":{""position_weight"":1.0}}",True,True,,,hold_40d__break_even_after_gain__activation_gain_pct0p08__fixed_size,"hold=40;exit=break_even_after_gain;params={""activation_gain_pct"":0.08};sizing=fixed_size",c8e35aec1ad55e8c19e879f5246668078c3d4203df8f2f1cff88c4144efdb25b
hold_40d__break_even_after_gain__activation_gain_pct0p15__fixed_size,break_even_after_gain__fixed_size,hold_40d,40,break_even_after_gain,break_even_after_gain__f83b16bb,fixed_size,f02c6f7248ec,"{""exit"":{""activation_gain_pct"":0.15},""sizing"":{""position_weight"":1.0}}",True,True,,,hold_40d__break_even_after_gain__activation_gain_pct0p15__fixed_size,"hold=40;exit=break_even_after_gain;params={""activation_gain_pct"":0.15};sizing=fixed_size",0227033f1eda0dd369559bb3eea4fbd2ed85481a5828d38c54081b9c36cefe20
hold_40d__break_even_after_gain__activation_gain_pct0p1__fixed_size,break_even_after_gain__fixed_size,hold_40d,40,break_even_after_gain,break_even_after_gain__cadd57b9,fixed_size,36c5c0691926,"{""exit"":{""activation_gain_pct"":0.1},""sizing"":{""position_weight"":1.0}}",True,True,,,hold_40d__break_even_after_gain__activation_gain_pct0p1__fixed_size,"hold=40;exit=break_even_after_gain;params={""activation_gain_pct"":0.1};sizing=fixed_size",e4f20a885a81f0e20a08809d03adbc74580c1a74038bb10858e705a6925e3473
hold_60d__break_even_after_gain__activation_gain_pct0p08__fixed_size,break_even_after_gain__fixed_size,hold_60d,60,break_even_after_gain,break_even_after_gain__5a5e43a6,fixed_size,dde4279792dd,"{""exit"":{""activation_gain_pct"":0.08},""sizing"":{""position_weight"":1.0}}",True,True,,,hold_60d__break_even_after_gain__activation_gain_pct0p08__fixed_size,"hold=60;exit=break_even_after_gain;params={""activation_gain_pct"":0.08};sizing=fixed_size",1402a2a3e959be8b71ce138717b0f9a56cb28e07a5afb1c1b4388e6524135487
hold_60d__break_even_after_gain__activation_gain_pct0p15__fixed_size,break_even_after_gain__fixed_size,hold_60d,60,break_even_after_gain,break_even_after_gain__f83b16bb,fixed_size,f02c6f7248ec,"{""exit"":{""activation_gain_pct"":0.15},""sizing"":{""position_weight"":1.0}}",True,True,,,hold_60d__break_even_after_gain__activation_gain_pct0p15__fixed_size,"hold=60;exit=break_even_after_gain;params={""activation_gain_pct"":0.15};sizing=fixed_size",d3d4dc4efde3eb9c1a03bcadb1a74975d5e4c551a4a4c481834dbc57e7453087
hold_60d__break_even_after_gain__activation_gain_pct0p1__fixed_size,break_even_after_gain__fixed_size,hold_60d,60,break_even_after_gain,break_even_after_gain__cadd57b9,fixed_size,36c5c0691926,"{""exit"":{""activation_gain_pct"":0.1},""sizing"":{""position_weight"":1.0}}",True,True,,,hold_60d__break_even_after_gain__activation_gain_pct0p1__fixed_size,"hold=60;exit=break_even_after_gain;params={""activation_gain_pct"":0.1};sizing=fixed_size",0193818047090e2fea344f994d61795ca216dfbf576246d0b318b58b2e5980eb
hold_120d__break_even_after_gain__activation_gain_pct0p08__fixed_size,break_even_after_gain__fixed_size,hold_120d,120,break_even_after_gain,break_even_after_gain__5a5e43a6,fixed_size,dde4279792dd,"{""exit"":{""activation_gain_pct"":0.08},""sizing"":{""position_weight"":1.0}}",True,True,,,hold_120d__break_even_after_gain__activation_gain_pct0p08__fixed_size,"hold=120;exit=break_even_after_gain;params={""activation_gain_pct"":0.08};sizing=fixed_size",983ac7a7a568535c382d21caf1e057b743d0e9e946fcaeb291cd9672664260a4
