family,horizon_primary,horizon_grid_audited,included_factor_count_in_family,family_score_definition_hash_from_R06
close_location,H20,H1;H3;H5;H10,18,7054c2d1adef4fb21fa571af28ba2232170dddc0b0efaa196ba1a7444b8a5f3e
composite_price_volume,H20,H1;H3;H5;H10,62,7054c2d1adef4fb21fa571af28ba2232170dddc0b0efaa196ba1a7444b8a5f3e
other_gtja191,H20,H1;H3;H5;H10,17,7054c2d1adef4fb21fa571af28ba2232170dddc0b0efaa196ba1a7444b8a5f3e
range_volatility,H1,H1;H3;H5;H10,3,7054c2d1adef4fb21fa571af28ba2232170dddc0b0efaa196ba1a7444b8a5f3e
rank_ts_rank_structure,H3,H1;H3;H5;H10,1,7054c2d1adef4fb21fa571af28ba2232170dddc0b0efaa196ba1a7444b8a5f3e
volume_price_correlation,H3,H1;H3;H5;H10,3,7054c2d1adef4fb21fa571af28ba2232170dddc0b0efaa196ba1a7444b8a5f3e
volume_surge_money_flow,H3,H1;H3;H5;H10,15,7054c2d1adef4fb21fa571af28ba2232170dddc0b0efaa196ba1a7444b8a5f3e
vwap_deviation,H3,H1;H3;H5;H10,6,7054c2d1adef4fb21fa571af28ba2232170dddc0b0efaa196ba1a7444b8a5f3e
