axis_name,definition_text,bin_count,bin_edges_train,frozen_at_timestamp,frozen_before_validation_read
axis_market_regime,CSI300 close-to-close 20-day return observed at signal date,3,"[-0.016355494658152267, 0.025384704271952285]",2026-05-23T01:29:54.284051+00:00,True
axis_stock_short_momentum,stock close-to-close 10-day return observed at signal date,3,"[-0.021958351135253917, 0.02976942062377924]",2026-05-23T01:29:54.284051+00:00,True
