axis_name,S1_pass_flag,S2_pass_flag,S3_pass_flag,S4_pass_flag,S5_pass_flag,S6_pass_flag,S7_pass_flag
axis_market_regime,True,True,True,True,True,True,True
axis_stock_short_momentum,True,True,True,True,True,True,True
