pin_order,pin_id,path,expected_sha256,observed_sha256,expected_size_bytes,observed_size_bytes,file_set_status,hash_status,overall_status,reason
0,paper_pdf,experiments/pending/21_residual_enhanced_koopman_auto_encoder_v0/paper/Residual-Enhanced_Adaptive_Koopman_Autoencoder_A_Deep_Latent_Dynamics_Model_for_Stock_Prediction.pdf,1041d8693c5ef80fcafc613d77f09bf3ec2a2df673f468785255da27d7d9a472,1041d8693c5ef80fcafc613d77f09bf3ec2a2df673f468785255da27d7d9a472,1451763,1451763,pass,pass,pass,
1,21b_v5_manifest,experiments/pending/21_residual_enhanced_koopman_auto_encoder_v0/outputs/21B_alpha158_sequence_baseline_benchmark_v5/manifest_21b_alpha158_sequence_baseline_benchmark.json,d5ca5c5997c4cce5019e73c0dd0e0fa06c4747a43d323f483c4de29131478d85,d5ca5c5997c4cce5019e73c0dd0e0fa06c4747a43d323f483c4de29131478d85,7669,7669,pass,pass,pass,
2,21b_v5_output_hashes,experiments/pending/21_residual_enhanced_koopman_auto_encoder_v0/outputs/21B_alpha158_sequence_baseline_benchmark_v5/output_hashes_21b_alpha158_sequence_baseline_benchmark.json,e20f2ac9e5e49f51494373feaacb93c4e0ea609bb3b563e44fd98a4523db7552,e20f2ac9e5e49f51494373feaacb93c4e0ea609bb3b563e44fd98a4523db7552,6240,6240,pass,pass,pass,
3,21c_manifest,experiments/pending/21_residual_enhanced_koopman_auto_encoder_v0/outputs/21C_full_reaka_pit_proxy_replication_v4/manifest_21c_full_reaka_pit_proxy_replication.json,b4537b99086c1c89c0f10d494a99aa8fb89434ea12b3557710cba29cfdda1529,b4537b99086c1c89c0f10d494a99aa8fb89434ea12b3557710cba29cfdda1529,8276,8276,pass,pass,pass,
4,21c_output_hashes,experiments/pending/21_residual_enhanced_koopman_auto_encoder_v0/outputs/21C_full_reaka_pit_proxy_replication_v4/output_hashes_21c_full_reaka_pit_proxy_replication.json,bb56098ce915e64870a0f1b231c77c1190d4557ddd20c380b66ae23567cb2cc9,bb56098ce915e64870a0f1b231c77c1190d4557ddd20c380b66ae23567cb2cc9,6503,6503,pass,pass,pass,
5,21c_runner,experiments/pending/21_residual_enhanced_koopman_auto_encoder_v0/src/run_21c_full_reaka_pit_proxy_replication.py,fc57a05cb9ed9ef16149000137bef965fd1a768a253b5bd790cf51808d3f36a7,fc57a05cb9ed9ef16149000137bef965fd1a768a253b5bd790cf51808d3f36a7,202814,202814,pass,pass,pass,
6,21c_config,experiments/pending/21_residual_enhanced_koopman_auto_encoder_v0/configs/config_21c_full_reaka_pit_proxy_replication.yaml,55347efd5aaa4e1132b075fb07e65b46df1e47689dafbb66a724b1ff1d591f7b,55347efd5aaa4e1132b075fb07e65b46df1e47689dafbb66a724b1ff1d591f7b,6142,6142,pass,pass,pass,
7,21c_test,experiments/pending/21_residual_enhanced_koopman_auto_encoder_v0/tests/test_21c_full_reaka_pit_proxy_replication.py,13a9dafbc0eb70b52115f9761556b86eb34787289c51f8388c025f7428f48699,13a9dafbc0eb70b52115f9761556b86eb34787289c51f8388c025f7428f48699,23694,23694,pass,pass,pass,
8,21d_manifest,experiments/pending/21_residual_enhanced_koopman_auto_encoder_v0/outputs/21D_reaka_replication_gap_causal_diagnostic_v2/manifest_21d_reaka_replication_gap_causal_diagnostic.json,8fb9398aebd8586eaccb85fb9c9e72de571bf063b2ad94d12b6e7fcb1b8781e6,8fb9398aebd8586eaccb85fb9c9e72de571bf063b2ad94d12b6e7fcb1b8781e6,25607,25607,pass,pass,pass,
9,21d_output_hashes,experiments/pending/21_residual_enhanced_koopman_auto_encoder_v0/outputs/21D_reaka_replication_gap_causal_diagnostic_v2/output_hashes_21d_reaka_replication_gap_causal_diagnostic.json,4edd2b6689ed1274f605eba220219ee7ee5ffd231c8c3305838f0ddb1edbc9d4,4edd2b6689ed1274f605eba220219ee7ee5ffd231c8c3305838f0ddb1edbc9d4,13801,13801,pass,pass,pass,
10,21d_decision,experiments/pending/21_residual_enhanced_koopman_auto_encoder_v0/outputs/21D_reaka_replication_gap_causal_diagnostic_v2/21D_reaka_replication_gap_causal_diagnostic_decision.csv,410c4742afacce6a688781e4c616ccad61847df72fca683d440fd1ce375b6347,410c4742afacce6a688781e4c616ccad61847df72fca683d440fd1ce375b6347,868,868,pass,pass,pass,
11,21d_runner,experiments/pending/21_residual_enhanced_koopman_auto_encoder_v0/src/run_21d_reaka_replication_gap_causal_diagnostic.py,b3896773a551e83bfd874a62de0a3b5d3cfc054964d072465f31cc59b1dec167,b3896773a551e83bfd874a62de0a3b5d3cfc054964d072465f31cc59b1dec167,230308,230308,pass,pass,pass,
12,21d_config,experiments/pending/21_residual_enhanced_koopman_auto_encoder_v0/configs/config_21d_reaka_replication_gap_causal_diagnostic.yaml,5b7967ab36763a793f4f95712de589ca95ad83f06bd1f2f9263eb03d20c02056,5b7967ab36763a793f4f95712de589ca95ad83f06bd1f2f9263eb03d20c02056,12798,12798,pass,pass,pass,
13,21d_test,experiments/pending/21_residual_enhanced_koopman_auto_encoder_v0/tests/test_21d_reaka_replication_gap_causal_diagnostic.py,5859c31608c4279e207621763ea40b217c147008b77a4592db41b7d208edf104,5859c31608c4279e207621763ea40b217c147008b77a4592db41b7d208edf104,16084,16084,pass,pass,pass,
