variant,seed,feature,gain,split_count
plus_momentum,20260723,STD5,43.545089887455106,12
plus_momentum,20260723,RSQR20,37.479797810316086,13
plus_momentum,20260723,CORD60,46.47331666946411,13
plus_momentum,20260723,CORD10,17.891018971800804,11
plus_momentum,20260723,CORR20,47.24001324176788,10
plus_momentum,20260723,KLOW,21.834829807281494,3
plus_momentum,20260723,close_momentum_20d,49.92896866798401,16
plus_momentum,20260724,RESI5,66.52213734388351,16
plus_momentum,20260724,WVMA5,41.92638519406319,16
plus_momentum,20260724,RSQR5,29.811698853969574,10
plus_momentum,20260724,KLEN,64.21651357412338,17
plus_momentum,20260724,RSQR10,34.946575194597244,10
plus_momentum,20260724,CORR5,44.92391902208328,16
plus_momentum,20260724,CORD5,15.583191007375717,10
plus_momentum,20260724,CORR10,33.07375953346491,20
plus_momentum,20260724,ROC60,61.082218408584595,21
plus_momentum,20260724,RESI10,40.98482087254524,18
plus_momentum,20260724,VSTD5,10.736319780349731,3
plus_momentum,20260724,RSQR60,19.466393411159515,11
plus_momentum,20260724,CORR60,15.583940386772156,6
plus_momentum,20260724,WVMA60,54.80246230959892,16
plus_momentum,20260724,STD5,35.97685574507341,13
plus_momentum,20260724,RSQR20,20.424179911613464,4
plus_momentum,20260724,CORD60,41.02700799703598,11
plus_momentum,20260724,CORD10,19.378732934594154,13
plus_momentum,20260724,CORR20,34.002768471837044,9
plus_momentum,20260724,KLOW,26.302102357149124,8
plus_momentum,20260724,close_momentum_20d,49.62643986940384,16
plus_momentum,20260725,RESI5,62.88549400866032,17
plus_momentum,20260725,WVMA5,23.724045604467392,10
plus_momentum,20260725,RSQR5,18.80761283636093,8
plus_momentum,20260725,KLEN,53.432157224975526,18
plus_momentum,20260725,RSQR10,11.233949899673462,4
plus_momentum,20260725,CORR5,27.139739993494004,11
plus_momentum,20260725,CORD5,19.117575854063034,9
plus_momentum,20260725,CORR10,29.57870377600193,17
plus_momentum,20260725,ROC60,34.445369601249695,12
plus_momentum,20260725,RESI10,35.14992852509022,10
plus_momentum,20260725,VSTD5,2.48757004737854,1
plus_momentum,20260725,RSQR60,15.161584008252248,8
plus_momentum,20260725,CORR60,10.324383735656738,3
plus_momentum,20260725,WVMA60,35.57476997375488,11
plus_momentum,20260725,STD5,49.17731064558029,12
