variant,feature,train_median,train_scale
alpha20,RESI5,-0.00015613158757332712,0.009359119459986687
alpha20,WVMA5,0.9227757453918457,0.327141672372818
alpha20,RSQR5,0.5326156616210938,0.41470226645469666
alpha20,KLEN,0.028435993939638138,0.01735590025782585
alpha20,RSQR10,0.4510950744152069,0.40957868099212646
alpha20,CORR5,0.36320799589157104,0.6088860630989075
alpha20,CORD5,0.33866506814956665,0.6867460608482361
alpha20,CORR10,0.36457201838493347,0.46007704734802246
alpha20,ROC60,0.9835680723190308,0.1568996012210846
alpha20,RESI10,-0.00028059669421054423,0.017958151176571846
alpha20,VSTD5,0.2707083523273468,0.1335715502500534
alpha20,RSQR60,0.4371313452720642,0.39400437474250793
alpha20,CORR60,0.4021231532096863,0.37368327379226685
alpha20,WVMA60,1.3881752490997314,0.3392011225223541
alpha20,STD5,0.016378128901124,0.011445192620158195
alpha20,RSQR20,0.44264641404151917,0.39504730701446533
alpha20,CORD60,0.27030104398727417,0.23041482269763947
alpha20,CORD10,0.31023040413856506,0.4989331364631653
alpha20,CORR20,0.3741902709007263,0.40253564715385437
alpha20,KLOW,0.005991414654999971,0.005617261864244938
plus_momentum,RESI5,-0.00015613158757332712,0.009359119273876422
plus_momentum,WVMA5,0.9227757453918457,0.3271416805565357
plus_momentum,RSQR5,0.5326156616210938,0.4147022800326347
plus_momentum,KLEN,0.028435993939638138,0.01735590133778751
plus_momentum,RSQR10,0.4510950744152069,0.40957870680391784
plus_momentum,CORR5,0.36320799589157104,0.6088860920190811
plus_momentum,CORD5,0.33866506814956665,0.6867460628293455
plus_momentum,CORR10,0.36457201838493347,0.46007707557007665
plus_momentum,ROC60,0.9835680723190308,0.15689960174560547
plus_momentum,RESI10,-0.00028059669421054423,0.01795815206701518
plus_momentum,VSTD5,0.2707083523273468,0.1335715529680252
plus_momentum,RSQR60,0.4371313452720642,0.39400438299179075
plus_momentum,CORR60,0.4021231532096863,0.3736832949757576
plus_momentum,WVMA60,1.3881752490997314,0.33920111582279205
plus_momentum,STD5,0.016378128901124,0.011445193033665419
plus_momentum,RSQR20,0.44264641404151917,0.39504734601080416
plus_momentum,CORD60,0.27030104398727417,0.23041483039855956
plus_momentum,CORD10,0.31023040413856506,0.49893312993329014
plus_momentum,CORR20,0.3741902709007263,0.4025356631889939
plus_momentum,KLOW,0.005991414654999971,0.005617261731158942
plus_momentum,close_momentum_20d,-0.0004476093822660676,0.0851556619066174
plus_volume,RESI5,-0.00015613158757332712,0.009359119273876422
plus_volume,WVMA5,0.9227757453918457,0.3271416805565357
plus_volume,RSQR5,0.5326156616210938,0.4147022800326347
plus_volume,KLEN,0.028435993939638138,0.01735590133778751
plus_volume,RSQR10,0.4510950744152069,0.40957870680391784
plus_volume,CORR5,0.36320799589157104,0.6088860920190811
plus_volume,CORD5,0.33866506814956665,0.6867460628293455
