variant,seed,feature_count,best_iteration,validation_paper_proxy_ic,validation_paper_proxy_icir,validation_paper_proxy_rank_ic,validation_paper_proxy_rank_icir,validation_paper_proxy_metric_days,validation_executable_bridge_ic,validation_executable_bridge_icir,validation_executable_bridge_rank_ic,validation_executable_bridge_rank_icir,validation_executable_bridge_metric_days,historical_test_paper_proxy_ic,historical_test_paper_proxy_icir,historical_test_paper_proxy_rank_ic,historical_test_paper_proxy_rank_icir,historical_test_paper_proxy_metric_days,historical_test_paper_proxy_gross_arr,historical_test_paper_proxy_net_arr,historical_test_paper_proxy_universe_equal_weight_arr,historical_test_paper_proxy_net_arr_minus_universe_arr,historical_test_paper_proxy_ir,historical_test_paper_proxy_active_ir_vs_universe_equal_weight,historical_test_paper_proxy_mdd,historical_test_paper_proxy_calmar,historical_test_paper_proxy_mean_one_way_turnover,historical_test_paper_proxy_total_cost,historical_test_paper_proxy_portfolio_days,historical_test_executable_bridge_ic,historical_test_executable_bridge_icir,historical_test_executable_bridge_rank_ic,historical_test_executable_bridge_rank_icir,historical_test_executable_bridge_metric_days,historical_test_executable_bridge_gross_arr,historical_test_executable_bridge_net_arr,historical_test_executable_bridge_universe_equal_weight_arr,historical_test_executable_bridge_net_arr_minus_universe_arr,historical_test_executable_bridge_ir,historical_test_executable_bridge_active_ir_vs_universe_equal_weight,historical_test_executable_bridge_mdd,historical_test_executable_bridge_calmar,historical_test_executable_bridge_mean_one_way_turnover,historical_test_executable_bridge_total_cost,historical_test_executable_bridge_portfolio_days
alpha20,20260723,20,6,0.012371666066312773,0.10835143921704843,0.008676347162215504,0.0735728964829029,482,0.010386235879640436,0.09524038224042089,0.009542012472793128,0.08365573640940828,482,0.008618222568461457,0.0727123045035322,0.010504330500685779,0.08424118513362677,578,0.19367038025468553,0.13130849236161457,0.20696561241382994,-0.07565712005221537,0.766913889293692,-0.7681013858218311,-0.19168537160570243,0.685020934365908,0.10695501730103806,0.12314000000000003,578,0.010332226758448625,0.08572637184840795,0.00984947929793468,0.07858368839818893,578,0.21169329446405794,0.14839362411462176,0.2220866599905158,-0.07369303587589404,0.7550759624325726,-0.7218958912915031,-0.20781720462914677,0.7140584167679122,0.10695501730103806,0.12314000000000003,578
alpha20,20260724,20,1,0.007870587065844875,0.08401851611152142,0.008595575090633611,0.0850195135469297,482,0.005280134168005525,0.0584860001724242,0.009339137845226733,0.09683604987510765,482,0.007264347247805922,0.07741405386818359,0.0072210782928471984,0.0682393493929724,578,0.22885132691203625,0.16500484219078304,0.20696561241382994,-0.041960770223046895,0.9366172776006038,-0.442813307324555,-0.14907266530236707,1.1068752400455202,0.10636678200692042,0.12246000000000001,578,0.008477044121185785,0.09139573472127638,0.007278569273903265,0.06928601975591751,578,0.24621998871271367,0.18147667543975277,0.2220866599905158,-0.040609984550763034,0.8844526595715271,-0.4069829843693693,-0.17857099802807386,1.016271832737487,0.10636678200692042,0.12246000000000001,578
alpha20,20260725,20,6,0.011737649986227403,0.10540054408307706,0.008900737209165005,0.07717437008341232,482,0.009592521455430568,0.09007226612369051,0.010355079471480939,0.09309486462849435,482,0.009113793438377073,0.07646166421531071,0.00966791845178922,0.07676811787059593,578,0.20187452899051062,0.1390435742980929,0.20696561241382994,-0.06792203811573705,0.8311470204326088,-0.6738549327392779,-0.1671023567170905,0.8320862555726727,0.1070242214532872,0.12322000000000002,578,0.009155036942847498,0.07641843279770058,0.008558883109183978,0.06831055043881573,578,0.22624354522408274,0.1621410789694695,0.2220866599905158,-0.0599455810210463,0.8438716863535213,-0.5963281674387073,-0.21126240119463657,0.7674866803207852,0.1070242214532872,0.12322000000000002,578
alpha20,20260726,20,2,0.009969150452427245,0.09512620208774987,0.0044898716567385415,0.041845862809072314,482,0.003699899491406243,0.037068902546076185,0.002164396193443541,0.02113028538764713,482,0.007648172032072413,0.07372285600867413,0.00842408326405213,0.07694635453867196,578,0.1620080191537363,0.10148221403673752,0.20696561241382994,-0.10548339837709242,0.6502968257065938,-1.0296418987917508,-0.17291270590320817,0.5868985364993623,0.10660899653979239,0.12274000000000002,578,0.006464753351981278,0.06268867021693615,0.006340455114430384,0.059001469863623826,578,0.15583886235664024,0.09563159744861371,0.2220866599905158,-0.12645506254190209,0.5502803888419647,-1.175629573968774,-0.2021218497262367,0.4731383449050245,0.10660899653979239,0.12274000000000002,578
alpha20,20260727,20,1,0.008354035833140202,0.08931908707526111,0.004614130084052642,0.04670029245225795,482,-0.000786979995192796,-0.008991057434525941,0.0011053226203500519,0.011541415843420175,482,0.007892156227554875,0.08992467178591185,0.005537313339951777,0.05387642024558333,578,0.12360366729296124,0.0650199951332544,0.20696561241382994,-0.14194561728057553,0.47269982402529087,-1.2190775036365504,-0.14041019995848236,0.46307173661514656,0.1067128027681661,0.12286000000000002,578,0.008474537639992237,0.09627132243234053,0.004848139279735139,0.048033655616507825,578,0.13260181992770925,0.07354977974370192,0.2220866599905158,-0.14853688024681388,0.4655855239714965,-1.265654240376523,-0.1988688983926049,0.36984053483567203,0.1067128027681661,0.12286000000000002,578
plus_momentum,20260723,21,6,0.013307325744861225,0.12332833770659693,0.009751495197562708,0.08528238085811306,482,0.013725523957861313,0.13241624241056363,0.012190940872553952,0.1104254317811848,482,0.010385614024576075,0.09175575146453165,0.009718645819440312,0.08157042883461836,578,0.19642935226263392,0.13430112973440855,0.20696561241382994,-0.07266448267942138,0.7887849379381632,-0.7398349007279996,-0.18769324217318883,0.7155352434611676,0.10629757785467128,0.12238000000000002,578,0.014693801035507539,0.12712020863301332,0.013919612553327874,0.11645949381436171,578,0.22637425702117064,0.16269427200515807,0.2220866599905158,-0.05939238798535773,0.8163792779381073,-0.5901982280304892,-0.22587521915269215,0.7202838479380794,0.10629757785467128,0.12238000000000002,578
plus_momentum,20260724,21,6,0.014020147210328203,0.1292733653728481,0.011984541842550057,0.10727641817253945,482,0.009842087557094677,0.09333760592692228,0.01075038746801313,0.09878545996485444,482,0.009725727960435054,0.08303966552690045,0.012612314206589134,0.10190585094503095,578,0.25324570574350624,0.18801234030308445,0.20696561241382994,-0.01895327211074549,1.0397004367885998,-0.23477843197192272,-0.16951795418913396,1.1090998661611737,0.10657439446366782,0.12270000000000002,578,0.01352282791860118,0.11900654961285857,0.01543612581468449,0.1291664873936841,578,0.28524174921336765,0.21834622988825414,0.2220866599905158,-0.0037404301022616604,1.04059661697237,-0.09883270012889205,-0.20355012363157277,1.0726902346837304,0.10657439446366782,0.12270000000000002,578
plus_momentum,20260725,21,5,0.011920145430103508,0.1148947618463101,0.007869807287399319,0.07274242698405403,482,0.01285359023205962,0.12575339184331394,0.012055467387659224,0.1146865474147428,482,0.008673750158408464,0.07512121722526617,0.009976612388254104,0.08460586264494761,578,0.17383401755428118,0.11269338654295913,0.20696561241382994,-0.09427222587087081,0.6999442851932446,-0.9233184827744936,-0.17485289150638483,0.6445039917389304,0.10660899653979239,0.12274000000000002,578,0.015523014613174657,0.13431067447930867,0.017021751147848516,0.14513007369126812,578,0.20973414692766745,0.14673464622465304,0.2220866599905158,-0.07535201376586276,0.7707893578446817,-0.7321591242679042,-0.22584105986004588,0.6497252816453517,0.10660899653979239,0.12274000000000002,578
plus_momentum,20260726,21,3,0.010169880466483629,0.09777460599521172,0.0037187111397107816,0.03351459166043561,482,0.007879679735597651,0.07912597092828763,0.005725721399142127,0.0533474273938319,482,0.009457703246708183,0.09038639267774629,0.008090529895198924,0.07371719872126517,578,0.24601605082418243,0.18148397034989738,0.20696561241382994,-0.025481642063932552,1.0257823638118508,-0.301542686186979,-0.15728534375123515,1.1538517577132625,0.10602076124567474,0.12206000000000003,578,0.012315125838873795,0.11964091660636741,0.014075300075202048,0.1343265447156484,578,0.2594187537070385,0.1941965709893423,0.2220866599905158,-0.027890089001173513,0.9725014996924198,-0.32919670980063637,-0.20909139482462002,0.9287640514915925,0.10602076124567474,0.12206000000000003,578
plus_momentum,20260727,21,9,0.015992197541317355,0.14835102526517552,0.01000239550939061,0.08884119862939598,482,0.015880166824880186,0.14924207485057422,0.012065385044427886,0.10876329562677539,482,0.013523572910890359,0.12172000339669013,0.012329292671697334,0.10632998813529905,578,0.25263843014392484,0.1874727258916753,0.20696561241382994,-0.01949288652215464,1.0244541165259453,-0.2451988605490736,-0.18858918513835865,0.9940799402369533,0.10650519031141868,0.12262,578,0.01679940752886233,0.1492701386944386,0.017123754051497273,0.14711080725824846,578,0.2851351076860513,0.21828849656360383,0.2220866599905158,-0.0037981634269119713,1.022510986100739,-0.09419426400911103,-0.24789411444041864,0.8805715176270128,0.10650519031141868,0.12262,578
