split,raw_signal_row_count,episode_count,episode_compression_ratio,raw_repeated_trigger_count,raw_path_overlap_proxy,raw_primary_metric,episode_primary_metric,raw_vs_episode_metric_delta
train,22272,8245,2.701273499090358,14027,0.6298042385057471,0.37293580566984164,0.3805801893882459,-0.007644383718404257
validation,10919,4130,2.643825665859564,6789,0.6217602344537045,0.3099707063035695,0.3156675354763973,-0.005696829172827822
robustness,10929,4207,2.5978131685286425,6722,0.6150608472870345,0.3504101309540941,0.35766678309465594,-0.0072566521405618145
all,44120,16582,2.6607164395127247,27538,0.6241613780598368,0.3512046949187531,0.3582388773228468,-0.007034182404093703
