criteria_id,status,details
mask_C_hard_constraints_validation,failed,"{""lift_vs_parent"": -0.09839287074415418, ""bad_path_rate_increase"": 0.107168442391818, ""max_gain50_proxy_retention_vs_parent"": 0.0, ""denominator_shrink_vs_parent"": 0.8625180897250362, ""race_ambiguous_rate"": 0.41358024691358025, ""lift_vs_matching_background"": NaN}"
mask_C_hard_constraints_robustness,failed,"{""lift_vs_parent"": 0.035085769596156946, ""bad_path_rate_increase"": -0.10416985605041584, ""max_gain50_proxy_retention_vs_parent"": 0.80357833655706, ""denominator_shrink_vs_parent"": 0.802021903959562, ""race_ambiguous_rate"": 0.1896551724137931, ""lift_vs_matching_background"": NaN}"
denominator_or_matching_background_sufficiency,failed,insufficient denominator or comparator
