split,r04_inclusion_status,row_count,share
train,excluded_incomplete_120d_path,1578,0.19138872043662825
train,excluded_missing_required_field,11,0.0013341419041843542
train,included,6656,0.8072771376591874
validation,excluded_incomplete_120d_path,669,0.16198547215496367
validation,excluded_missing_required_field,8,0.001937046004842615
validation,included,3453,0.8360774818401937
robustness,excluded_incomplete_120d_path,1322,0.31423817447111957
robustness,excluded_missing_required_field,21,0.004991680532445923
robustness,included,2864,0.6807701449964345
all,excluded_incomplete_120d_path,3569,0.21523338559884211
all,excluded_missing_required_field,40,0.0024122542515981186
all,included,12973,0.7823543601495597
all,excluded_duplicate_episode,0,
