ablation_id,split,path_complete_denominator,metric_denominator,race_ambiguous_count,race_ambiguous_rate
mask_A_all_rps,train,7288,6653,635,0.08712952799121844
mask_A_all_rps,validation,3865,3453,412,0.10659767141009055
mask_A_all_rps,robustness,3441,2863,578,0.16797442603894217
mask_A_all_rps,all,14594,12969,1625,0.11134712895710566
mask_B_market_non_missing,train,5864,5230,634,0.10811732605729878
mask_B_market_non_missing,validation,1454,1042,412,0.2833562585969739
mask_B_market_non_missing,robustness,1586,1387,199,0.12547288776796975
mask_B_market_non_missing,all,8904,7659,1245,0.13982479784366578
mask_B_market_constructive_no_default_rebound_penalty,train,5682,5048,634,0.11158042942625836
mask_B_market_constructive_no_default_rebound_penalty,validation,1027,691,336,0.32716650438169426
mask_B_market_constructive_no_default_rebound_penalty,robustness,1385,1187,198,0.14296028880866427
mask_B_market_constructive_no_default_rebound_penalty,all,8094,6926,1168,0.1443044230294045
mask_C_industry_leadership,train,994,822,172,0.17303822937625754
mask_C_industry_leadership,validation,162,95,67,0.41358024691358025
mask_C_industry_leadership,robustness,290,235,55,0.1896551724137931
mask_C_industry_leadership,all,1446,1152,294,0.2033195020746888
background_all,train,531617,148212,383405,0.7212053038183505
background_all,validation,246581,80791,165790,0.6723551287406573
background_all,robustness,243813,76873,166940,0.6847050813533323
background_all,all,1062656,305876,756780,0.712158967718622
background_market_non_missing,train,377520,112933,264587,0.7008555838101292
background_market_non_missing,validation,113160,24329,88831,0.7850035348179569
background_market_non_missing,robustness,117182,36720,80462,0.6866412930313529
background_market_non_missing,all,607862,173982,433880,0.7137804304266429
background_market_constructive_no_default_rebound_penalty,train,354071,107341,246730,0.69683763990838
background_market_constructive_no_default_rebound_penalty,validation,77467,16117,61350,0.7919501206965547
background_market_constructive_no_default_rebound_penalty,robustness,101834,31110,70724,0.6945028183121551
background_market_constructive_no_default_rebound_penalty,all,533372,154568,378804,0.7102060100642703
background_industry_leadership,train,21483,12158,9325,0.4340641437415631
background_industry_leadership,validation,6099,1816,4283,0.7022462698803082
background_industry_leadership,robustness,8681,4817,3864,0.44511001036746917
background_industry_leadership,all,36263,18791,17472,0.48181341863607535
