feature_asof_rule,minimum_train_denominator,minimum_validation_denominator,minimum_robustness_denominator,minimum_background_denominator,primary_metric,secondary_metrics,race_ambiguous_policy,matching_background_comparator,feature_name,feature_group,feature_formula,lookback_window,required_input_fields,bucket_name,bucket_formula,bucket_cutpoints,bucket_priority_order,bucket_count_cap,missing_value_policy,kill_criteria_id,formula_hash
feature_asof_date <= anchor_signal_date,200,100,100,500,plus10_before_minus5_rate,good_path_rate|bad_path_rate|early_failure_rate|max_gain50_proxy_rate|max_gain_120d_p50_p75_p90|max_drawdown_120d_p50_p75_p90|close_return_t20_t60_t120_p50,same_offset_and_censored_incomplete_excluded_from_metric_denominator_and_reported,same_split_same_active_regime_cell_weighted_by_rps_cell_weight,market_regime_bucket,market,"market_ret_Nd, market_drawdown_252d, market_realized_vol_60d, market_breadth_ma60 from eligible stock-day equal-weight proxy",20|60|120|252,close|source_price_hash|source_calendar_hash|is_r01_pit_executable_eligible|suspended_or_dirty_bar,post_drawdown_rebound_hypothesis,market_ret_60d <= -0.10 AND market_ret_20d >= 0.05 AND market_realized_vol_60d >= 0.22449450694760834,"{""train_q67_market_realized_vol_60d"": 0.22449450694760834}",1,6,missing_market_regime,r04_mask_C_hard_constraints,bfc84c6b26d9366eb48f5b4edac779ffb5f9db85280a644ab2e92b7357ad7fc8
feature_asof_date <= anchor_signal_date,200,100,100,500,plus10_before_minus5_rate,good_path_rate|bad_path_rate|early_failure_rate|max_gain50_proxy_rate|max_gain_120d_p50_p75_p90|max_drawdown_120d_p50_p75_p90|close_return_t20_t60_t120_p50,same_offset_and_censored_incomplete_excluded_from_metric_denominator_and_reported,same_split_same_active_regime_cell_weighted_by_rps_cell_weight,market_regime_bucket,market,"market_ret_Nd, market_drawdown_252d, market_realized_vol_60d, market_breadth_ma60 from eligible stock-day equal-weight proxy",20|60|120|252,close|source_price_hash|source_calendar_hash|is_r01_pit_executable_eligible|suspended_or_dirty_bar,panic_high_vol,market_drawdown_252d >= 0.25 AND market_realized_vol_60d >= 0.22449450694760834 AND NOT post_drawdown_rebound_hypothesis,"{""train_q67_market_realized_vol_60d"": 0.22449450694760834}",2,6,missing_market_regime,r04_mask_C_hard_constraints,e4f318471d38e9e8dc3de204350b3a01db8bb02057fc7edd348910654969a100
feature_asof_date <= anchor_signal_date,200,100,100,500,plus10_before_minus5_rate,good_path_rate|bad_path_rate|early_failure_rate|max_gain50_proxy_rate|max_gain_120d_p50_p75_p90|max_drawdown_120d_p50_p75_p90|close_return_t20_t60_t120_p50,same_offset_and_censored_incomplete_excluded_from_metric_denominator_and_reported,same_split_same_active_regime_cell_weighted_by_rps_cell_weight,market_regime_bucket,market,"market_ret_Nd, market_drawdown_252d, market_realized_vol_60d, market_breadth_ma60 from eligible stock-day equal-weight proxy",20|60|120|252,close|source_price_hash|source_calendar_hash|is_r01_pit_executable_eligible|suspended_or_dirty_bar,normal_uptrend,market_ret_120d >= 0 AND market_drawdown_252d < 0.10,"{""train_q67_market_realized_vol_60d"": 0.22449450694760834}",3,6,missing_market_regime,r04_mask_C_hard_constraints,b3744976d72a6f44e3e822d12238b178b1534eacf5ca39813fc89e5847d46f47
feature_asof_date <= anchor_signal_date,200,100,100,500,plus10_before_minus5_rate,good_path_rate|bad_path_rate|early_failure_rate|max_gain50_proxy_rate|max_gain_120d_p50_p75_p90|max_drawdown_120d_p50_p75_p90|close_return_t20_t60_t120_p50,same_offset_and_censored_incomplete_excluded_from_metric_denominator_and_reported,same_split_same_active_regime_cell_weighted_by_rps_cell_weight,market_regime_bucket,market,"market_ret_Nd, market_drawdown_252d, market_realized_vol_60d, market_breadth_ma60 from eligible stock-day equal-weight proxy",20|60|120|252,close|source_price_hash|source_calendar_hash|is_r01_pit_executable_eligible|suspended_or_dirty_bar,normal_range,market_ret_120d >= -0.05 AND market_drawdown_252d < 0.25,"{""train_q67_market_realized_vol_60d"": 0.22449450694760834}",4,6,missing_market_regime,r04_mask_C_hard_constraints,a02f3d9b1de43442ed226ba7f2b544551222e99e7ca48bfe613872fc9194e2c5
feature_asof_date <= anchor_signal_date,200,100,100,500,plus10_before_minus5_rate,good_path_rate|bad_path_rate|early_failure_rate|max_gain50_proxy_rate|max_gain_120d_p50_p75_p90|max_drawdown_120d_p50_p75_p90|close_return_t20_t60_t120_p50,same_offset_and_censored_incomplete_excluded_from_metric_denominator_and_reported,same_split_same_active_regime_cell_weighted_by_rps_cell_weight,market_regime_bucket,market,"market_ret_Nd, market_drawdown_252d, market_realized_vol_60d, market_breadth_ma60 from eligible stock-day equal-weight proxy",20|60|120|252,close|source_price_hash|source_calendar_hash|is_r01_pit_executable_eligible|suspended_or_dirty_bar,downtrend_low_breadth,all remaining complete market rows,"{""train_q67_market_realized_vol_60d"": 0.22449450694760834}",5,6,missing_market_regime,r04_mask_C_hard_constraints,2e926a418ddc783596fce6208e8128e0e92581c56917cfb2b78046ef654c2adb
feature_asof_date <= anchor_signal_date,200,100,100,500,plus10_before_minus5_rate,good_path_rate|bad_path_rate|early_failure_rate|max_gain50_proxy_rate|max_gain_120d_p50_p75_p90|max_drawdown_120d_p50_p75_p90|close_return_t20_t60_t120_p50,same_offset_and_censored_incomplete_excluded_from_metric_denominator_and_reported,same_split_same_active_regime_cell_weighted_by_rps_cell_weight,market_regime_bucket,market,"market_ret_Nd, market_drawdown_252d, market_realized_vol_60d, market_breadth_ma60 from eligible stock-day equal-weight proxy",20|60|120|252,close|source_price_hash|source_calendar_hash|is_r01_pit_executable_eligible|suspended_or_dirty_bar,missing_market_regime,incomplete market feature rows,"{""train_q67_market_realized_vol_60d"": 0.22449450694760834}",6,6,missing_market_regime,r04_mask_C_hard_constraints,e6fb6b23a177dd7cd90d8b4cf6e171ad1134c2b1098c6116378d6adc0b78ace0
feature_asof_date <= anchor_signal_date,200,100,100,500,plus10_before_minus5_rate,good_path_rate|bad_path_rate|early_failure_rate|max_gain50_proxy_rate|max_gain_120d_p50_p75_p90|max_drawdown_120d_p50_p75_p90|close_return_t20_t60_t120_p50,same_offset_and_censored_incomplete_excluded_from_metric_denominator_and_reported,same_split_same_active_regime_cell_weighted_by_rps_cell_weight,industry_regime_bucket,industry,"industry equal-weight proxy, industry_rps_60d, industry_breadth_ma60, stock_rps_minus_industry_rps_60d",20|60,pit_industry_membership|close|is_r01_pit_executable_eligible|suspended_or_dirty_bar,missing_industry,missing membership or incomplete industry feature,"{""breadth_high"": 0.6, ""breadth_low"": 0.4, ""industry_lagging_rps"": 0.3, ""industry_leading_rps"": 0.7}",1,6,missing_industry,r04_mask_C_hard_constraints,0875dc90a7d3ce612fb7f1beba93cd4d6c60b73a01e7b3d2a784588cb30dd004
feature_asof_date <= anchor_signal_date,200,100,100,500,plus10_before_minus5_rate,good_path_rate|bad_path_rate|early_failure_rate|max_gain50_proxy_rate|max_gain_120d_p50_p75_p90|max_drawdown_120d_p50_p75_p90|close_return_t20_t60_t120_p50,same_offset_and_censored_incomplete_excluded_from_metric_denominator_and_reported,same_split_same_active_regime_cell_weighted_by_rps_cell_weight,industry_regime_bucket,industry,"industry equal-weight proxy, industry_rps_60d, industry_breadth_ma60, stock_rps_minus_industry_rps_60d",20|60,pit_industry_membership|close|is_r01_pit_executable_eligible|suspended_or_dirty_bar,thin_industry,industry_member_count < min_member_count,"{""breadth_high"": 0.6, ""breadth_low"": 0.4, ""industry_lagging_rps"": 0.3, ""industry_leading_rps"": 0.7}",2,6,missing_industry,r04_mask_C_hard_constraints,e181d9b6aad632af91e6a0356575684f913a2a88e190aaeee68bb28b124b7420
feature_asof_date <= anchor_signal_date,200,100,100,500,plus10_before_minus5_rate,good_path_rate|bad_path_rate|early_failure_rate|max_gain50_proxy_rate|max_gain_120d_p50_p75_p90|max_drawdown_120d_p50_p75_p90|close_return_t20_t60_t120_p50,same_offset_and_censored_incomplete_excluded_from_metric_denominator_and_reported,same_split_same_active_regime_cell_weighted_by_rps_cell_weight,industry_regime_bucket,industry,"industry equal-weight proxy, industry_rps_60d, industry_breadth_ma60, stock_rps_minus_industry_rps_60d",20|60,pit_industry_membership|close|is_r01_pit_executable_eligible|suspended_or_dirty_bar,industry_rebound_from_drawdown,industry_ret_60d < 0 AND industry_ret_20d >= 0.05,"{""breadth_high"": 0.6, ""breadth_low"": 0.4, ""industry_lagging_rps"": 0.3, ""industry_leading_rps"": 0.7}",3,6,missing_industry,r04_mask_C_hard_constraints,fe4781a231acdbc15642d099f321b2d42ea1c1906750226375cb9487ed8452e4
feature_asof_date <= anchor_signal_date,200,100,100,500,plus10_before_minus5_rate,good_path_rate|bad_path_rate|early_failure_rate|max_gain50_proxy_rate|max_gain_120d_p50_p75_p90|max_drawdown_120d_p50_p75_p90|close_return_t20_t60_t120_p50,same_offset_and_censored_incomplete_excluded_from_metric_denominator_and_reported,same_split_same_active_regime_cell_weighted_by_rps_cell_weight,industry_regime_bucket,industry,"industry equal-weight proxy, industry_rps_60d, industry_breadth_ma60, stock_rps_minus_industry_rps_60d",20|60,pit_industry_membership|close|is_r01_pit_executable_eligible|suspended_or_dirty_bar,industry_leading,industry_rps_60d >= 0.70 AND industry_breadth_ma60 >= 0.60,"{""breadth_high"": 0.6, ""breadth_low"": 0.4, ""industry_lagging_rps"": 0.3, ""industry_leading_rps"": 0.7}",4,6,missing_industry,r04_mask_C_hard_constraints,6f8d57338de2bfb5b29cb1073f968d2582d706ffb03cbec0e27cd49e47694fa8
