ablation_id,split,metric_denominator,matching_background_denominator,denominator_sufficiency_status
mask_A_all_rps,train,6653,148212.0,sufficient
mask_A_all_rps,validation,3453,80791.0,sufficient
mask_A_all_rps,robustness,2863,76873.0,sufficient
mask_A_all_rps,all,12969,305876.0,sufficient
mask_B_market_non_missing,train,5230,112933.0,sufficient
mask_B_market_non_missing,validation,1042,24329.0,sufficient
mask_B_market_non_missing,robustness,1387,36720.0,sufficient
mask_B_market_non_missing,all,7659,173982.0,sufficient
mask_B_market_constructive_no_default_rebound_penalty,train,5048,107341.0,sufficient
mask_B_market_constructive_no_default_rebound_penalty,validation,691,16117.0,sufficient
mask_B_market_constructive_no_default_rebound_penalty,robustness,1187,31110.0,sufficient
mask_B_market_constructive_no_default_rebound_penalty,all,6926,154568.0,sufficient
mask_C_industry_leadership,train,822,12158.0,sufficient
mask_C_industry_leadership,validation,95,1816.0,insufficient_rps_denominator
mask_C_industry_leadership,robustness,235,4817.0,sufficient
mask_C_industry_leadership,all,1152,18791.0,sufficient
background_all,train,148212,,sufficient
background_all,validation,80791,,sufficient
background_all,robustness,76873,,sufficient
background_all,all,305876,,sufficient
background_market_non_missing,train,112933,,sufficient
background_market_non_missing,validation,24329,,sufficient
background_market_non_missing,robustness,36720,,sufficient
background_market_non_missing,all,173982,,sufficient
background_market_constructive_no_default_rebound_penalty,train,107341,,sufficient
background_market_constructive_no_default_rebound_penalty,validation,16117,,sufficient
background_market_constructive_no_default_rebound_penalty,robustness,31110,,sufficient
background_market_constructive_no_default_rebound_penalty,all,154568,,sufficient
background_industry_leadership,train,12158,,sufficient
background_industry_leadership,validation,1816,,sufficient
background_industry_leadership,robustness,4817,,sufficient
background_industry_leadership,all,18791,,sufficient
