split,group_id,metric_denominator,top1_year_share,top1_industry_share,top1_instrument_share,top5_instrument_share,concentration_warning,share_of_scope_denominator,market_regime_bucket,industry_regime_bucket
train,baseline_A_rps_only,6653,0.33248158725387045,0.10762062227566511,0.010521569216894634,0.04719675334435593,False,1.0,,
train,baseline_B_market_bucket,182,0.6593406593406593,0.18681318681318682,0.03296703296703297,0.13186813186813187,True,0.02735607996392605,downtrend_low_breadth,
train,baseline_B_market_bucket,1423,0.7146872803935348,0.09768095572733661,0.015460295151089248,0.07308503162333099,True,0.21388847136630093,missing_market_regime,
train,baseline_B_market_bucket,285,0.6421052631578947,0.09824561403508772,0.031578947368421054,0.11929824561403508,True,0.042837817525928155,normal_range,
train,baseline_B_market_bucket,4763,0.4465672895234096,0.12492126810833508,0.00986773042200294,0.04639932815452446,False,0.7159176311438449,normal_uptrend,
train,baseline_C_market_industry_bucket,8,1.0,0.625,0.25,0.75,True,0.0012024650533593868,downtrend_low_breadth,industry_lagging
train,baseline_C_market_industry_bucket,27,0.7037037037037037,1.0,0.18518518518518517,0.6666666666666666,True,0.00405831955508793,downtrend_low_breadth,industry_leading
train,baseline_C_market_industry_bucket,4,1.0,1.0,0.25,1.0,True,0.0006012325266796934,downtrend_low_breadth,industry_neutral
train,baseline_C_market_industry_bucket,4,0.75,1.0,0.25,1.0,True,0.0006012325266796934,downtrend_low_breadth,missing_industry
train,baseline_C_market_industry_bucket,139,0.7050359712230215,0.1366906474820144,0.04316546762589928,0.16546762589928057,True,0.020892830302119345,downtrend_low_breadth,thin_industry
train,baseline_C_market_industry_bucket,102,1.0,0.8529411764705882,0.12745098039215685,0.4411764705882353,True,0.01533142943033218,missing_market_regime,industry_lagging
train,baseline_C_market_industry_bucket,46,1.0,0.8695652173913043,0.10869565217391304,0.45652173913043476,True,0.006914174056816474,missing_market_regime,industry_leading
train,baseline_C_market_industry_bucket,10,1.0,0.9,0.2,0.7,True,0.0015030813166992333,missing_market_regime,industry_neutral
train,baseline_C_market_industry_bucket,7,1.0,0.8571428571428571,0.2857142857142857,1.0,True,0.0010521569216894633,missing_market_regime,industry_rebound_from_drawdown
train,baseline_C_market_industry_bucket,190,0.6578947368421053,0.37894736842105264,0.07368421052631578,0.2736842105263158,True,0.028558545017285435,missing_market_regime,missing_industry
train,baseline_C_market_industry_bucket,1068,0.6807116104868914,0.12734082397003746,0.020599250936329586,0.09550561797752809,True,0.16052908462347812,missing_market_regime,thin_industry
train,baseline_C_market_industry_bucket,43,0.5813953488372093,0.32558139534883723,0.046511627906976744,0.23255813953488372,True,0.006463249661806704,normal_range,industry_lagging
train,baseline_C_market_industry_bucket,13,0.8461538461538461,0.6923076923076923,0.15384615384615385,0.46153846153846156,True,0.0019540057117090033,normal_range,industry_leading
train,baseline_C_market_industry_bucket,3,1.0,1.0,0.3333333333333333,1.0,True,0.00045092439500977,normal_range,industry_neutral
train,baseline_C_market_industry_bucket,6,1.0,0.6666666666666666,0.16666666666666666,0.8333333333333334,True,0.00090184879001954,normal_range,industry_rebound_from_drawdown
train,baseline_C_market_industry_bucket,23,0.5217391304347826,0.5217391304347826,0.13043478260869565,0.5217391304347826,True,0.003457087028408237,normal_range,missing_industry
train,baseline_C_market_industry_bucket,197,0.7157360406091371,0.116751269035533,0.04568527918781726,0.17258883248730963,True,0.029610701938974898,normal_range,thin_industry
