ablation_id,split,parent_metric_denominator,metric_denominator,denominator_shrink_vs_parent
mask_A_all_rps,train,,6653,
mask_A_all_rps,validation,,3453,
mask_A_all_rps,robustness,,2863,
mask_A_all_rps,all,,12969,
mask_B_market_non_missing,train,6653.0,5230,0.21388847136630096
mask_B_market_non_missing,validation,3453.0,1042,0.6982334202143063
mask_B_market_non_missing,robustness,2863.0,1387,0.5155431365700314
mask_B_market_non_missing,all,12969.0,7659,0.40943789035392086
mask_B_market_constructive_no_default_rebound_penalty,train,6653.0,5048,0.24124455133022693
mask_B_market_constructive_no_default_rebound_penalty,validation,3453.0,691,0.7998841587025775
mask_B_market_constructive_no_default_rebound_penalty,robustness,2863.0,1187,0.5853999301432065
mask_B_market_constructive_no_default_rebound_penalty,all,12969.0,6926,0.46595728275117587
mask_C_industry_leadership,train,5048.0,822,0.8371632329635499
mask_C_industry_leadership,validation,691.0,95,0.8625180897250362
mask_C_industry_leadership,robustness,1187.0,235,0.802021903959562
mask_C_industry_leadership,all,6926.0,1152,0.8336702281259024
background_all,train,,148212,
background_all,validation,,80791,
background_all,robustness,,76873,
background_all,all,,305876,
background_market_non_missing,train,148212.0,112933,0.23803065878606322
background_market_non_missing,validation,80791.0,24329,0.6988649725835798
background_market_non_missing,robustness,76873.0,36720,0.5223290362025679
background_market_non_missing,all,305876.0,173982,0.4312008787874825
background_market_constructive_no_default_rebound_penalty,train,148212.0,107341,0.2757603972687771
background_market_constructive_no_default_rebound_penalty,validation,80791.0,16117,0.8005099577923284
background_market_constructive_no_default_rebound_penalty,robustness,76873.0,31110,0.5953065445605089
background_market_constructive_no_default_rebound_penalty,all,305876.0,154568,0.4946710431678196
background_industry_leadership,train,107341.0,12158,0.8867347984460737
background_industry_leadership,validation,16117.0,1816,0.8873239436619719
background_industry_leadership,robustness,31110.0,4817,0.8451623272259723
background_industry_leadership,all,154568.0,18791,0.8784289115470214
