split,background_inclusion_status,row_count,share
train,excluded_cross_split,29326,0.05347780815023241
train,excluded_invalid_next_open,1582,0.0028848766450817595
train,excluded_missing_required_field,8548,0.015587816410972743
train,excluded_not_pit_executable,360694,0.6577482279526676
train,included,148227,0.2703012708410455
validation,excluded_cross_split,26183,0.10223501206531671
validation,excluded_invalid_next_open,871,0.0034009355501237767
validation,excluded_missing_required_field,294,0.0011479621719131922
validation,excluded_not_pit_executable,147967,0.5777568662975486
validation,included,80791,0.3154592239150977
robustness,excluded_cross_split,19245,0.07497282746315638
robustness,excluded_incomplete_120d_path,11495,0.04478111985913134
robustness,excluded_invalid_next_open,782,0.003046440689851301
robustness,excluded_missing_required_field,457,0.0017803368225857348
robustness,excluded_not_pit_executable,147830,0.5759019529165189
robustness,included,76884,0.2995173222487563
all,excluded_cross_split,74754,0.0678458660708046
all,excluded_incomplete_120d_path,11495,0.01043272909120447
all,excluded_invalid_next_open,3235,0.0029360485959153077
all,excluded_missing_required_field,9382,0.008514994722373236
all,excluded_not_pit_executable,656491,0.5958236410451425
all,excluded_out_of_scope_split,40562,0.03681360220943329
all,included,305902,0.27763311826512654
