family_id,signal_id,split,year,row_count,label_denominator_count,good_count,bad_count,neutral_count,censored_or_invalid_count,censored_or_invalid_rate,P_good,P_bad,P_neutral,P_good_plus_P_bad_plus_P_neutral,EV_R_diagnostic,sample_sufficiency_status
momentum_rps,single_momentum_rps,robustness,2024,4796,4788,1454,3258,76,8,0.0016680567139282735,0.30367585630743527,0.6804511278195489,0.015873015873015872,1.0,,sufficient
momentum_rps,single_momentum_rps,robustness,2025,6133,2161,826,1288,47,3972,0.6476438936898744,0.3822304488662656,0.5960203609440075,0.02174919018972698,1.0,,sufficient
momentum_rps,single_momentum_rps,train,2017,1052,1051,436,602,13,1,0.0009505703422053232,0.4148430066603235,0.5727878211227403,0.012369172216936251,1.0,,sufficient
momentum_rps,single_momentum_rps,train,2018,2829,2826,634,2153,39,3,0.0010604453870625664,0.224345364472753,0.7618542108987969,0.013800424628450107,1.0,,sufficient
momentum_rps,single_momentum_rps,train,2019,3745,3744,1473,2236,35,1,0.000267022696929239,0.39342948717948717,0.5972222222222222,0.009348290598290598,1.0,,sufficient
momentum_rps,single_momentum_rps,train,2020,6172,6160,2367,3747,46,12,0.0019442644199611147,0.38425324675324674,0.6082792207792208,0.007467532467532467,1.0,,sufficient
momentum_rps,single_momentum_rps,train,2021,8474,3962,1135,2811,16,4512,0.532452206750059,0.28647147905098436,0.709490156486623,0.004038364462392731,1.0,,sufficient
momentum_rps,single_momentum_rps,validation,2022,6103,6093,1724,4323,46,10,0.0016385384237260364,0.28294764483833906,0.7095027080256031,0.007549647136057771,1.0,,sufficient
momentum_rps,single_momentum_rps,validation,2023,4816,3124,933,2138,53,1692,0.35132890365448505,0.2986555697823303,0.6843790012804097,0.016965428937259924,1.0,,sufficient
oscillator,single_oscillator,robustness,2024,3433,3428,1315,2031,82,5,0.0014564520827264782,0.3836056009334889,0.5924737456242707,0.023920653442240373,1.0,,sufficient
oscillator,single_oscillator,robustness,2025,3609,1498,642,790,66,2111,0.5849265724577445,0.42857142857142855,0.527369826435247,0.044058744993324434,1.0,,sufficient
oscillator,single_oscillator,train,2017,521,521,237,272,12,0,0.0,0.45489443378119004,0.5220729366602687,0.023032629558541268,1.0,,sufficient
oscillator,single_oscillator,train,2018,1410,1409,296,1082,31,1,0.0007092198581560284,0.2100780695528744,0.7679205110007097,0.0220014194464159,1.0,,sufficient
oscillator,single_oscillator,train,2019,2378,2377,932,1383,62,1,0.00042052144659377626,0.3920908708456037,0.5818258308792595,0.026083298275136727,1.0,,sufficient
oscillator,single_oscillator,train,2020,3031,3025,1160,1800,65,6,0.001979544704717915,0.3834710743801653,0.5950413223140496,0.021487603305785124,1.0,,sufficient
oscillator,single_oscillator,train,2021,3341,1674,460,1163,51,1667,0.49895240945824604,0.2747909199522103,0.6947431302270012,0.03046594982078853,1.0,,sufficient
oscillator,single_oscillator,validation,2022,2625,2619,771,1756,92,6,0.002285714285714286,0.2943871706758305,0.6704849179075983,0.03512791141657121,1.0,,sufficient
