same_day_bundle_key,same_day_family_count,context_bucket_id,split,year,checkpoint,survival_definition_version,pre_checkpoint_row_count,survivor_count,non_survivor_count,survivor_rate,survivor_label_denominator_count,survivor_P_good,survivor_P_bad,survivor_P_neutral,survivor_EV_R_diagnostic,non_survivor_label_denominator_count,non_survivor_P_good,non_survivor_P_bad,non_survivor_P_neutral,non_survivor_EV_R_diagnostic,survival_lift_good_vs_pre_checkpoint,survival_lift_bad_vs_pre_checkpoint,sample_sufficiency_status
momentum_rps|oscillator|price_trend|pullback_drawdown|range_breakout,5,bundle=momentum_rps|oscillator|price_trend|pullback_drawdown|range_breakout|split=robustness|year=2024|family_count=5|risk=na,robustness,2024,T+3,entry_valid_and_no_minus5_before_or_at_checkpoint_v1,73,58,15,0.7945205479452054,58,0.3620689655172414,0.6206896551724138,0.017241379310344827,,14,0.0,1.0,0.0,,0.0704022988505747,-0.07375478927203061,thin_bucket_report_only
momentum_rps|oscillator|price_trend|pullback_drawdown|range_breakout,5,bundle=momentum_rps|oscillator|price_trend|pullback_drawdown|range_breakout|split=robustness|year=2025|family_count=5|risk=na,robustness,2025,T+3,entry_valid_and_no_minus5_before_or_at_checkpoint_v1,106,73,33,0.6886792452830188,36,0.4722222222222222,0.5,0.027777777777777776,,7,0.0,1.0,0.0,,0.0768733850129199,-0.08139534883720934,too_sparse_use_fallback
momentum_rps|oscillator|price_trend|pullback_drawdown|range_breakout,5,bundle=momentum_rps|oscillator|price_trend|pullback_drawdown|range_breakout|split=train|year=2017|family_count=5|risk=na,train,2017,T+3,entry_valid_and_no_minus5_before_or_at_checkpoint_v1,13,8,5,0.6153846153846154,8,0.75,0.25,0.0,,5,0.0,1.0,0.0,,0.28846153846153844,-0.28846153846153844,too_sparse_use_fallback
momentum_rps|oscillator|price_trend|pullback_drawdown|range_breakout,5,bundle=momentum_rps|oscillator|price_trend|pullback_drawdown|range_breakout|split=train|year=2018|family_count=5|risk=na,train,2018,T+3,entry_valid_and_no_minus5_before_or_at_checkpoint_v1,49,34,15,0.6938775510204082,34,0.20588235294117646,0.7941176470588235,0.0,,15,0.0,1.0,0.0,,0.06302521008403361,-0.06302521008403361,too_sparse_use_fallback
momentum_rps|oscillator|price_trend|pullback_drawdown|range_breakout,5,bundle=momentum_rps|oscillator|price_trend|pullback_drawdown|range_breakout|split=train|year=2019|family_count=5|risk=na,train,2019,T+3,entry_valid_and_no_minus5_before_or_at_checkpoint_v1,79,62,17,0.7848101265822784,62,0.532258064516129,0.45161290322580644,0.016129032258064516,,17,0.0,1.0,0.0,,0.11453654552878723,-0.11800734993875056,thin_bucket_report_only
momentum_rps|oscillator|price_trend|pullback_drawdown|range_breakout,5,bundle=momentum_rps|oscillator|price_trend|pullback_drawdown|range_breakout|split=train|year=2020|family_count=5|risk=na,train,2020,T+3,entry_valid_and_no_minus5_before_or_at_checkpoint_v1,168,118,50,0.7023809523809523,118,0.576271186440678,0.423728813559322,0.0,,48,0.0,1.0,0.0,,0.16663263222381053,-0.16663263222381053,thin_bucket_report_only
momentum_rps|oscillator|price_trend|pullback_drawdown|range_breakout,5,bundle=momentum_rps|oscillator|price_trend|pullback_drawdown|range_breakout|split=train|year=2021|family_count=5|risk=na,train,2021,T+3,entry_valid_and_no_minus5_before_or_at_checkpoint_v1,301,172,129,0.5714285714285714,91,0.5604395604395604,0.43956043956043955,0.0,,57,0.0,1.0,0.0,,0.21584496584496587,-0.21584496584496582,thin_bucket_report_only
momentum_rps|oscillator|price_trend|pullback_drawdown|range_breakout,5,bundle=momentum_rps|oscillator|price_trend|pullback_drawdown|range_breakout|split=validation|year=2022|family_count=5|risk=na,validation,2022,T+3,entry_valid_and_no_minus5_before_or_at_checkpoint_v1,167,113,54,0.6766467065868264,113,0.4336283185840708,0.5663716814159292,0.0,,53,0.0,1.0,0.0,,0.13844759569250453,-0.13844759569250453,thin_bucket_report_only
momentum_rps|oscillator|price_trend|pullback_drawdown|range_breakout,5,bundle=momentum_rps|oscillator|price_trend|pullback_drawdown|range_breakout|split=validation|year=2023|family_count=5|risk=na,validation,2023,T+3,entry_valid_and_no_minus5_before_or_at_checkpoint_v1,101,76,25,0.7524752475247525,55,0.45454545454545453,0.509090909090909,0.03636363636363636,,17,0.0,1.0,0.0,,0.10732323232323232,-0.11590909090909096,thin_bucket_report_only
momentum_rps|oscillator|price_trend|pullback_drawdown|range_breakout|volatility_band,6,bundle=momentum_rps|oscillator|price_trend|pullback_drawdown|range_breakout|volatility_band|split=robustness|year=2024|family_count=6|risk=na,robustness,2024,T+3,entry_valid_and_no_minus5_before_or_at_checkpoint_v1,518,379,139,0.7316602316602316,379,0.45382585751978893,0.5197889182058048,0.026385224274406333,,139,0.0,1.0,0.0,,0.12177952547345688,-0.12885973044284393,sufficient
