original_bucket_key,original_sample_count,fallback_level,fallback_bucket_key,fallback_sample_count,fallback_reason
bundle=momentum_rps|oscillator|price_trend|pullback_drawdown|range_breakout|split=robustness|year=2024|family_count=5|risk=na,72,same_day_family_count,family_count=5|split=robustness|year=2024,72,bucket_below_n_min
bundle=momentum_rps|oscillator|price_trend|pullback_drawdown|range_breakout|split=robustness|year=2025|family_count=5|risk=na,43,same_day_family_count,family_count=5|split=robustness|year=2025,43,bucket_below_n_min
bundle=momentum_rps|oscillator|price_trend|pullback_drawdown|range_breakout|split=train|year=2017|family_count=5|risk=na,13,same_day_family_count,family_count=5|split=train|year=2017,13,bucket_below_n_min
bundle=momentum_rps|oscillator|price_trend|pullback_drawdown|range_breakout|split=train|year=2018|family_count=5|risk=na,49,same_day_family_count,family_count=5|split=train|year=2018,49,bucket_below_n_min
bundle=momentum_rps|oscillator|price_trend|pullback_drawdown|range_breakout|split=train|year=2019|family_count=5|risk=na,79,same_day_family_count,family_count=5|split=train|year=2019,79,bucket_below_n_min
bundle=momentum_rps|oscillator|price_trend|pullback_drawdown|range_breakout|split=train|year=2020|family_count=5|risk=na,166,same_day_family_count,family_count=5|split=train|year=2020,166,bucket_below_n_min
bundle=momentum_rps|oscillator|price_trend|pullback_drawdown|range_breakout|split=train|year=2021|family_count=5|risk=na,148,same_day_family_count,family_count=5|split=train|year=2021,148,bucket_below_n_min
bundle=momentum_rps|oscillator|price_trend|pullback_drawdown|range_breakout|split=validation|year=2022|family_count=5|risk=na,166,same_day_family_count,family_count=5|split=validation|year=2022,166,bucket_below_n_min
bundle=momentum_rps|oscillator|price_trend|pullback_drawdown|range_breakout|split=validation|year=2023|family_count=5|risk=na,72,same_day_family_count,family_count=5|split=validation|year=2023,72,bucket_below_n_min
bundle=momentum_rps|oscillator|price_trend|pullback_drawdown|range_breakout|volatility_band|split=robustness|year=2024|family_count=6|risk=na,518,same_day_bundle_key,bundle=momentum_rps|oscillator|price_trend|pullback_drawdown|range_breakout|volatility_band|split=robustness|year=2024|family_count=6|risk=na,518,sufficient
bundle=momentum_rps|oscillator|price_trend|pullback_drawdown|range_breakout|volatility_band|split=robustness|year=2025|family_count=6|risk=na,171,same_day_family_count,family_count=6|split=robustness|year=2025,171,bucket_below_n_min
bundle=momentum_rps|oscillator|price_trend|pullback_drawdown|range_breakout|volatility_band|split=train|year=2017|family_count=6|risk=na,105,same_day_family_count,family_count=6|split=train|year=2017,105,bucket_below_n_min
bundle=momentum_rps|oscillator|price_trend|pullback_drawdown|range_breakout|volatility_band|split=train|year=2018|family_count=6|risk=na,219,same_day_bundle_key,bundle=momentum_rps|oscillator|price_trend|pullback_drawdown|range_breakout|volatility_band|split=train|year=2018|family_count=6|risk=na,219,sufficient
bundle=momentum_rps|oscillator|price_trend|pullback_drawdown|range_breakout|volatility_band|split=train|year=2019|family_count=6|risk=na,343,same_day_bundle_key,bundle=momentum_rps|oscillator|price_trend|pullback_drawdown|range_breakout|volatility_band|split=train|year=2019|family_count=6|risk=na,343,sufficient
bundle=momentum_rps|oscillator|price_trend|pullback_drawdown|range_breakout|volatility_band|split=train|year=2020|family_count=6|risk=na,675,same_day_bundle_key,bundle=momentum_rps|oscillator|price_trend|pullback_drawdown|range_breakout|volatility_band|split=train|year=2020|family_count=6|risk=na,675,sufficient
bundle=momentum_rps|oscillator|price_trend|pullback_drawdown|range_breakout|volatility_band|split=train|year=2021|family_count=6|risk=na,356,same_day_bundle_key,bundle=momentum_rps|oscillator|price_trend|pullback_drawdown|range_breakout|volatility_band|split=train|year=2021|family_count=6|risk=na,356,sufficient
bundle=momentum_rps|oscillator|price_trend|pullback_drawdown|range_breakout|volatility_band|split=validation|year=2022|family_count=6|risk=na,467,same_day_bundle_key,bundle=momentum_rps|oscillator|price_trend|pullback_drawdown|range_breakout|volatility_band|split=validation|year=2022|family_count=6|risk=na,467,sufficient
bundle=momentum_rps|oscillator|price_trend|pullback_drawdown|range_breakout|volatility_band|split=validation|year=2023|family_count=6|risk=na,297,same_day_bundle_key,bundle=momentum_rps|oscillator|price_trend|pullback_drawdown|range_breakout|volatility_band|split=validation|year=2023|family_count=6|risk=na,297,sufficient
bundle=momentum_rps|oscillator|price_trend|pullback_drawdown|range_breakout|volatility_band|volume_money|split=robustness|year=2024|family_count=7|risk=na,529,same_day_bundle_key,bundle=momentum_rps|oscillator|price_trend|pullback_drawdown|range_breakout|volatility_band|volume_money|split=robustness|year=2024|family_count=7|risk=na,529,sufficient
bundle=momentum_rps|oscillator|price_trend|pullback_drawdown|range_breakout|volatility_band|volume_money|split=robustness|year=2025|family_count=7|risk=na,241,same_day_bundle_key,bundle=momentum_rps|oscillator|price_trend|pullback_drawdown|range_breakout|volatility_band|volume_money|split=robustness|year=2025|family_count=7|risk=na,241,sufficient
bundle=momentum_rps|oscillator|price_trend|pullback_drawdown|range_breakout|volatility_band|volume_money|split=train|year=2017|family_count=7|risk=na,108,same_day_family_count,family_count=7|split=train|year=2017,108,bucket_below_n_min
