fresh_evidence_status,fresh_family_id,fresh_offset_bucket,seed_same_day_bundle_key,seed_same_day_family_count,seed_pre_fresh_state,survival_checkpoint_state,split,year,row_count,label_denominator_count,posterior_denominator_policy,P_good,P_bad,P_neutral,EV_R_diagnostic,fresh_before_observable_failure_rate,fresh_without_prior_observable_failure_rate,median_fresh_offset,sample_sufficiency_status
ambiguous_same_offset,momentum_rps,T3_T5,oscillator|price_trend|pullback_drawdown|range_breakout|volatility_band,5,ambiguous_same_offset,survived_t3,train,2020,1,0,audit_only_exclude,,,,,0.0,0.0,3.0,unusable
ambiguous_same_offset,momentum_rps,T3_T5,oscillator|price_trend|range_breakout,3,ambiguous_same_offset,survived_t3,train,2021,1,0,audit_only_exclude,,,,,0.0,0.0,3.0,unusable
ambiguous_same_offset,momentum_rps,T3_T5,price_trend,1,ambiguous_same_offset,survived_t3,robustness,2025,1,0,audit_only_exclude,,,,,0.0,0.0,3.0,unusable
ambiguous_same_offset,momentum_rps,T3_T5,price_trend,1,ambiguous_same_offset,survived_t3,train,2018,1,0,audit_only_exclude,,,,,0.0,0.0,3.0,unusable
ambiguous_same_offset,momentum_rps,T3_T5,price_trend,1,ambiguous_same_offset,survived_t3,train,2020,1,0,audit_only_exclude,,,,,0.0,0.0,3.0,unusable
ambiguous_same_offset,momentum_rps,T3_T5,price_trend,1,ambiguous_same_offset,survived_t3,validation,2022,1,0,audit_only_exclude,,,,,0.0,0.0,3.0,unusable
ambiguous_same_offset,momentum_rps,T3_T5,price_trend|pullback_drawdown|range_breakout|volatility_band,4,ambiguous_same_offset,survived_t3,train,2020,1,0,audit_only_exclude,,,,,0.0,0.0,3.0,unusable
ambiguous_same_offset,momentum_rps,T3_T5,price_trend|pullback_drawdown|range_breakout|volatility_band,4,ambiguous_same_offset,survived_t3,train,2021,1,0,audit_only_exclude,,,,,0.0,0.0,3.0,unusable
ambiguous_same_offset,momentum_rps,T3_T5,price_trend|range_breakout,2,ambiguous_same_offset,survived_t3,train,2018,1,0,audit_only_exclude,,,,,0.0,0.0,3.0,unusable
ambiguous_same_offset,momentum_rps,T3_T5,price_trend|range_breakout|volatility_band|volume_money,4,ambiguous_same_offset,survived_t3,train,2020,1,0,audit_only_exclude,,,,,0.0,0.0,3.0,unusable
ambiguous_same_offset,momentum_rps,T3_T5,price_trend|range_breakout|volume_money,3,ambiguous_same_offset,survived_t3,train,2021,1,0,audit_only_exclude,,,,,0.0,0.0,3.0,unusable
ambiguous_same_offset,momentum_rps,T3_T5,price_trend|volatility_band,2,ambiguous_same_offset,survived_t3,train,2021,1,0,audit_only_exclude,,,,,0.0,0.0,3.0,unusable
