global_prior_row_type,split,year,global_prior_status,row_count,label_denominator_count,good_count,bad_count,neutral_count,censored_or_invalid_count,P_good,P_bad,P_neutral,EV_R_diagnostic,sample_sufficiency_status
all,all,all,unavailable_background_path_not_materialized,0,0,0,0,0,0,,,,,unusable
split,train,all,unavailable_background_path_not_materialized,0,0,0,0,0,0,,,,,unusable
split,validation,all,unavailable_background_path_not_materialized,0,0,0,0,0,0,,,,,unusable
split,robustness,all,unavailable_background_path_not_materialized,0,0,0,0,0,0,,,,,unusable
year,all,all,unavailable_background_path_not_materialized,0,0,0,0,0,0,,,,,unusable
split x year,all,all,unavailable_background_path_not_materialized,0,0,0,0,0,0,,,,,unusable
