grouping_type,grouping_key,train_P_good,train_P_bad,train_EV_R_diagnostic,validation_P_good,validation_P_bad,validation_EV_R_diagnostic,robustness_P_good,robustness_P_bad,robustness_EV_R_diagnostic,max_abs_P_good_drift,max_abs_P_bad_drift,stability_status
single_family_prior,family_id=momentum_rps|signal_id=single_momentum_rps,0.3406977399537846,0.650904582088711,,0.2882716719106,0.7009873060648801,,0.3281047632752914,0.6541948481795942,,0.052426068043184615,0.050082723976169086,stable_enough_for_requirement_input
single_family_prior,family_id=oscillator|signal_id=single_oscillator,0.34254941150344215,0.6329113924050633,,0.330887411144233,0.6349461132767714,,0.3972797401542834,0.572675598863175,,0.06639232901005043,0.062270514413596434,stable_enough_for_requirement_input
single_family_prior,family_id=price_trend|signal_id=single_price_trend,0.3285320051154338,0.6627852190886451,,0.2931244295710374,0.697292363857621,,0.3463789319678127,0.6378931967812729,,0.053254502396775316,0.05939916707634807,stable_enough_for_requirement_input
single_family_prior,family_id=pullback_drawdown|signal_id=single_pullback_drawdown,0.3336506622516556,0.6579056291390728,,0.2925507900677201,0.6961625282167043,,0.3474426807760141,0.6331569664902998,,0.05489189070829398,0.06300556172640448,stable_enough_for_requirement_input
single_family_prior,family_id=range_breakout|signal_id=single_range_breakout,0.3362377122430742,0.6374366994340185,,0.3414504627522379,0.6225155515096343,,0.40039911624260566,0.5676003135913334,,0.06416140399953146,0.06983638584268503,stable_enough_for_requirement_input
single_family_prior,family_id=volatility_band|signal_id=single_volatility_band,0.3293326059283506,0.6531187488634297,,0.3207766990291262,0.6466019417475728,,0.40714893617021275,0.566468085106383,,0.08637223714108655,0.08665066375704666,stable_enough_for_requirement_input
single_family_prior,family_id=volume_money|signal_id=single_volume_money,0.34837147887323944,0.6259903169014085,,0.34146887595163455,0.6274070756829377,,0.3916244822825587,0.5842153704555914,,0.05015560633092414,0.04319170522734639,stable_enough_for_requirement_input
same_day_bundle_prior,same_day_bundle_key=momentum_rps|same_day_family_count=1,0.3343065693430657,0.6583941605839416,,0.28,0.7093333333333334,,0.2730627306273063,0.7195571955719557,,0.06124383871575939,0.06116303498801412,stable_enough_for_requirement_input
same_day_bundle_prior,same_day_bundle_key=momentum_rps|oscillator|same_day_family_count=2,,,,0.0,1.0,,,,,,,missing_split
same_day_bundle_prior,same_day_bundle_key=momentum_rps|oscillator|price_trend|same_day_family_count=3,0.3333333333333333,0.6666666666666666,,,,,,,,,,missing_split
same_day_bundle_prior,same_day_bundle_key=momentum_rps|oscillator|price_trend|pullback_drawdown|same_day_family_count=4,0.3879310344827586,0.603448275862069,,0.288135593220339,0.711864406779661,,0.20689655172413793,0.7931034482758621,,0.1810344827586207,0.18965517241379315,insufficient_sample
