context_bucket_id,same_day_bundle_key,split,year,same_day_family_count,entry_risk_pct_bucket,row_count,label_denominator_count,good_count,bad_count,neutral_count,censored_or_invalid_count,censored_or_invalid_rate,P_good,P_bad,P_neutral,P_good_plus_P_bad_plus_P_neutral,EV_R_diagnostic,sample_sufficiency_status,context_bucket_definition,context_source_fields,context_field_status,fallback_level
bundle=momentum_rps|oscillator|price_trend|pullback_drawdown|range_breakout|split=robustness|year=2024|family_count=5|risk=na,momentum_rps|oscillator|price_trend|pullback_drawdown|range_breakout,robustness,2024,5,na,73,72,21,50,1,1,0.0136986301369863,0.2916666666666667,0.6944444444444444,0.013888888888888888,1.0,,thin_bucket_report_only,bundle=momentum_rps|oscillator|price_trend|pullback_drawdown|range_breakout|split=robustness|year=2024|family_count=5|risk=na,split|year|same_day_family_count|same_day_bundle_key|entry_risk_pct_bucket,entry_risk_pct_bucket_unavailable_missing_ev_r,same_day_family_count
bundle=momentum_rps|oscillator|price_trend|pullback_drawdown|range_breakout|split=robustness|year=2025|family_count=5|risk=na,momentum_rps|oscillator|price_trend|pullback_drawdown|range_breakout,robustness,2025,5,na,106,43,17,25,1,63,0.5943396226415094,0.3953488372093023,0.5813953488372093,0.023255813953488372,1.0,,too_sparse_use_fallback,bundle=momentum_rps|oscillator|price_trend|pullback_drawdown|range_breakout|split=robustness|year=2025|family_count=5|risk=na,split|year|same_day_family_count|same_day_bundle_key|entry_risk_pct_bucket,entry_risk_pct_bucket_unavailable_missing_ev_r,same_day_family_count
bundle=momentum_rps|oscillator|price_trend|pullback_drawdown|range_breakout|split=train|year=2017|family_count=5|risk=na,momentum_rps|oscillator|price_trend|pullback_drawdown|range_breakout,train,2017,5,na,13,13,6,7,0,0,0.0,0.46153846153846156,0.5384615384615384,0.0,1.0,,too_sparse_use_fallback,bundle=momentum_rps|oscillator|price_trend|pullback_drawdown|range_breakout|split=train|year=2017|family_count=5|risk=na,split|year|same_day_family_count|same_day_bundle_key|entry_risk_pct_bucket,entry_risk_pct_bucket_unavailable_missing_ev_r,same_day_family_count
bundle=momentum_rps|oscillator|price_trend|pullback_drawdown|range_breakout|split=train|year=2018|family_count=5|risk=na,momentum_rps|oscillator|price_trend|pullback_drawdown|range_breakout,train,2018,5,na,49,49,7,42,0,0,0.0,0.14285714285714285,0.8571428571428571,0.0,1.0,,too_sparse_use_fallback,bundle=momentum_rps|oscillator|price_trend|pullback_drawdown|range_breakout|split=train|year=2018|family_count=5|risk=na,split|year|same_day_family_count|same_day_bundle_key|entry_risk_pct_bucket,entry_risk_pct_bucket_unavailable_missing_ev_r,same_day_family_count
bundle=momentum_rps|oscillator|price_trend|pullback_drawdown|range_breakout|split=train|year=2019|family_count=5|risk=na,momentum_rps|oscillator|price_trend|pullback_drawdown|range_breakout,train,2019,5,na,79,79,33,45,1,0,0.0,0.4177215189873418,0.569620253164557,0.012658227848101266,1.0,,thin_bucket_report_only,bundle=momentum_rps|oscillator|price_trend|pullback_drawdown|range_breakout|split=train|year=2019|family_count=5|risk=na,split|year|same_day_family_count|same_day_bundle_key|entry_risk_pct_bucket,entry_risk_pct_bucket_unavailable_missing_ev_r,same_day_family_count
bundle=momentum_rps|oscillator|price_trend|pullback_drawdown|range_breakout|split=train|year=2020|family_count=5|risk=na,momentum_rps|oscillator|price_trend|pullback_drawdown|range_breakout,train,2020,5,na,168,166,68,98,0,2,0.011904761904761904,0.40963855421686746,0.5903614457831325,0.0,1.0,,thin_bucket_report_only,bundle=momentum_rps|oscillator|price_trend|pullback_drawdown|range_breakout|split=train|year=2020|family_count=5|risk=na,split|year|same_day_family_count|same_day_bundle_key|entry_risk_pct_bucket,entry_risk_pct_bucket_unavailable_missing_ev_r,same_day_family_count
bundle=momentum_rps|oscillator|price_trend|pullback_drawdown|range_breakout|split=train|year=2021|family_count=5|risk=na,momentum_rps|oscillator|price_trend|pullback_drawdown|range_breakout,train,2021,5,na,301,148,51,97,0,153,0.5083056478405316,0.34459459459459457,0.6554054054054054,0.0,1.0,,thin_bucket_report_only,bundle=momentum_rps|oscillator|price_trend|pullback_drawdown|range_breakout|split=train|year=2021|family_count=5|risk=na,split|year|same_day_family_count|same_day_bundle_key|entry_risk_pct_bucket,entry_risk_pct_bucket_unavailable_missing_ev_r,same_day_family_count
bundle=momentum_rps|oscillator|price_trend|pullback_drawdown|range_breakout|split=validation|year=2022|family_count=5|risk=na,momentum_rps|oscillator|price_trend|pullback_drawdown|range_breakout,validation,2022,5,na,167,166,49,117,0,1,0.005988023952095809,0.29518072289156627,0.7048192771084337,0.0,1.0,,thin_bucket_report_only,bundle=momentum_rps|oscillator|price_trend|pullback_drawdown|range_breakout|split=validation|year=2022|family_count=5|risk=na,split|year|same_day_family_count|same_day_bundle_key|entry_risk_pct_bucket,entry_risk_pct_bucket_unavailable_missing_ev_r,same_day_family_count
bundle=momentum_rps|oscillator|price_trend|pullback_drawdown|range_breakout|split=validation|year=2023|family_count=5|risk=na,momentum_rps|oscillator|price_trend|pullback_drawdown|range_breakout,validation,2023,5,na,101,72,25,45,2,29,0.2871287128712871,0.3472222222222222,0.625,0.027777777777777776,1.0,,thin_bucket_report_only,bundle=momentum_rps|oscillator|price_trend|pullback_drawdown|range_breakout|split=validation|year=2023|family_count=5|risk=na,split|year|same_day_family_count|same_day_bundle_key|entry_risk_pct_bucket,entry_risk_pct_bucket_unavailable_missing_ev_r,same_day_family_count
bundle=momentum_rps|oscillator|price_trend|pullback_drawdown|range_breakout|volatility_band|split=robustness|year=2024|family_count=6|risk=na,momentum_rps|oscillator|price_trend|pullback_drawdown|range_breakout|volatility_band,robustness,2024,6,na,518,518,172,336,10,0,0.0,0.33204633204633205,0.6486486486486487,0.019305019305019305,1.0,,sufficient,bundle=momentum_rps|oscillator|price_trend|pullback_drawdown|range_breakout|volatility_band|split=robustness|year=2024|family_count=6|risk=na,split|year|same_day_family_count|same_day_bundle_key|entry_risk_pct_bucket,entry_risk_pct_bucket_unavailable_missing_ev_r,same_day_bundle_key
bundle=momentum_rps|oscillator|price_trend|pullback_drawdown|range_breakout|volatility_band|split=robustness|year=2025|family_count=6|risk=na,momentum_rps|oscillator|price_trend|pullback_drawdown|range_breakout|volatility_band,robustness,2025,6,na,616,171,55,110,6,445,0.7224025974025974,0.3216374269005848,0.6432748538011696,0.03508771929824561,1.0,,thin_bucket_report_only,bundle=momentum_rps|oscillator|price_trend|pullback_drawdown|range_breakout|volatility_band|split=robustness|year=2025|family_count=6|risk=na,split|year|same_day_family_count|same_day_bundle_key|entry_risk_pct_bucket,entry_risk_pct_bucket_unavailable_missing_ev_r,same_day_family_count
bundle=momentum_rps|oscillator|price_trend|pullback_drawdown|range_breakout|volatility_band|split=train|year=2017|family_count=6|risk=na,momentum_rps|oscillator|price_trend|pullback_drawdown|range_breakout|volatility_band,train,2017,6,na,105,105,37,66,2,0,0.0,0.3523809523809524,0.6285714285714286,0.01904761904761905,1.0,,thin_bucket_report_only,bundle=momentum_rps|oscillator|price_trend|pullback_drawdown|range_breakout|volatility_band|split=train|year=2017|family_count=6|risk=na,split|year|same_day_family_count|same_day_bundle_key|entry_risk_pct_bucket,entry_risk_pct_bucket_unavailable_missing_ev_r,same_day_family_count
bundle=momentum_rps|oscillator|price_trend|pullback_drawdown|range_breakout|volatility_band|split=train|year=2018|family_count=6|risk=na,momentum_rps|oscillator|price_trend|pullback_drawdown|range_breakout|volatility_band,train,2018,6,na,219,219,50,163,6,0,0.0,0.228310502283105,0.7442922374429224,0.0273972602739726,1.0,,sufficient,bundle=momentum_rps|oscillator|price_trend|pullback_drawdown|range_breakout|volatility_band|split=train|year=2018|family_count=6|risk=na,split|year|same_day_family_count|same_day_bundle_key|entry_risk_pct_bucket,entry_risk_pct_bucket_unavailable_missing_ev_r,same_day_bundle_key
bundle=momentum_rps|oscillator|price_trend|pullback_drawdown|range_breakout|volatility_band|split=train|year=2019|family_count=6|risk=na,momentum_rps|oscillator|price_trend|pullback_drawdown|range_breakout|volatility_band,train,2019,6,na,344,343,104,232,7,1,0.0029069767441860465,0.3032069970845481,0.6763848396501457,0.02040816326530612,1.0,,sufficient,bundle=momentum_rps|oscillator|price_trend|pullback_drawdown|range_breakout|volatility_band|split=train|year=2019|family_count=6|risk=na,split|year|same_day_family_count|same_day_bundle_key|entry_risk_pct_bucket,entry_risk_pct_bucket_unavailable_missing_ev_r,same_day_bundle_key
bundle=momentum_rps|oscillator|price_trend|pullback_drawdown|range_breakout|volatility_band|split=train|year=2020|family_count=6|risk=na,momentum_rps|oscillator|price_trend|pullback_drawdown|range_breakout|volatility_band,train,2020,6,na,676,675,218,449,8,1,0.0014792899408284023,0.32296296296296295,0.6651851851851852,0.011851851851851851,1.0,,sufficient,bundle=momentum_rps|oscillator|price_trend|pullback_drawdown|range_breakout|volatility_band|split=train|year=2020|family_count=6|risk=na,split|year|same_day_family_count|same_day_bundle_key|entry_risk_pct_bucket,entry_risk_pct_bucket_unavailable_missing_ev_r,same_day_bundle_key
bundle=momentum_rps|oscillator|price_trend|pullback_drawdown|range_breakout|volatility_band|split=train|year=2021|family_count=6|risk=na,momentum_rps|oscillator|price_trend|pullback_drawdown|range_breakout|volatility_band,train,2021,6,na,754,356,78,276,2,398,0.5278514588859416,0.21910112359550563,0.7752808988764045,0.0056179775280898875,1.0,,sufficient,bundle=momentum_rps|oscillator|price_trend|pullback_drawdown|range_breakout|volatility_band|split=train|year=2021|family_count=6|risk=na,split|year|same_day_family_count|same_day_bundle_key|entry_risk_pct_bucket,entry_risk_pct_bucket_unavailable_missing_ev_r,same_day_bundle_key
bundle=momentum_rps|oscillator|price_trend|pullback_drawdown|range_breakout|volatility_band|split=validation|year=2022|family_count=6|risk=na,momentum_rps|oscillator|price_trend|pullback_drawdown|range_breakout|volatility_band,validation,2022,6,na,468,467,109,351,7,1,0.002136752136752137,0.2334047109207709,0.7516059957173448,0.014989293361884369,1.0,,sufficient,bundle=momentum_rps|oscillator|price_trend|pullback_drawdown|range_breakout|volatility_band|split=validation|year=2022|family_count=6|risk=na,split|year|same_day_family_count|same_day_bundle_key|entry_risk_pct_bucket,entry_risk_pct_bucket_unavailable_missing_ev_r,same_day_bundle_key
bundle=momentum_rps|oscillator|price_trend|pullback_drawdown|range_breakout|volatility_band|split=validation|year=2023|family_count=6|risk=na,momentum_rps|oscillator|price_trend|pullback_drawdown|range_breakout|volatility_band,validation,2023,6,na,421,297,70,222,5,124,0.29453681710213775,0.2356902356902357,0.7474747474747475,0.016835016835016835,1.0,,sufficient,bundle=momentum_rps|oscillator|price_trend|pullback_drawdown|range_breakout|volatility_band|split=validation|year=2023|family_count=6|risk=na,split|year|same_day_family_count|same_day_bundle_key|entry_risk_pct_bucket,entry_risk_pct_bucket_unavailable_missing_ev_r,same_day_bundle_key
bundle=momentum_rps|oscillator|price_trend|pullback_drawdown|range_breakout|volatility_band|volume_money|split=robustness|year=2024|family_count=7|risk=na,momentum_rps|oscillator|price_trend|pullback_drawdown|range_breakout|volatility_band|volume_money,robustness,2024,7,na,529,529,167,355,7,0,0.0,0.31568998109640833,0.6710775047258979,0.013232514177693762,1.0,,sufficient,bundle=momentum_rps|oscillator|price_trend|pullback_drawdown|range_breakout|volatility_band|volume_money|split=robustness|year=2024|family_count=7|risk=na,split|year|same_day_family_count|same_day_bundle_key|entry_risk_pct_bucket,entry_risk_pct_bucket_unavailable_missing_ev_r,same_day_bundle_key
bundle=momentum_rps|oscillator|price_trend|pullback_drawdown|range_breakout|volatility_band|volume_money|split=robustness|year=2025|family_count=7|risk=na,momentum_rps|oscillator|price_trend|pullback_drawdown|range_breakout|volatility_band|volume_money,robustness,2025,7,na,692,241,90,147,4,451,0.6517341040462428,0.37344398340248963,0.6099585062240664,0.016597510373443983,1.0,,sufficient,bundle=momentum_rps|oscillator|price_trend|pullback_drawdown|range_breakout|volatility_band|volume_money|split=robustness|year=2025|family_count=7|risk=na,split|year|same_day_family_count|same_day_bundle_key|entry_risk_pct_bucket,entry_risk_pct_bucket_unavailable_missing_ev_r,same_day_bundle_key
bundle=momentum_rps|oscillator|price_trend|pullback_drawdown|range_breakout|volatility_band|volume_money|split=train|year=2017|family_count=7|risk=na,momentum_rps|oscillator|price_trend|pullback_drawdown|range_breakout|volatility_band|volume_money,train,2017,7,na,108,108,36,71,1,0,0.0,0.3333333333333333,0.6574074074074074,0.009259259259259259,1.0,,thin_bucket_report_only,bundle=momentum_rps|oscillator|price_trend|pullback_drawdown|range_breakout|volatility_band|volume_money|split=train|year=2017|family_count=7|risk=na,split|year|same_day_family_count|same_day_bundle_key|entry_risk_pct_bucket,entry_risk_pct_bucket_unavailable_missing_ev_r,same_day_family_count
bundle=momentum_rps|oscillator|price_trend|pullback_drawdown|range_breakout|volatility_band|volume_money|split=train|year=2018|family_count=7|risk=na,momentum_rps|oscillator|price_trend|pullback_drawdown|range_breakout|volatility_band|volume_money,train,2018,7,na,242,242,61,180,1,0,0.0,0.25206611570247933,0.743801652892562,0.004132231404958678,1.0,,sufficient,bundle=momentum_rps|oscillator|price_trend|pullback_drawdown|range_breakout|volatility_band|volume_money|split=train|year=2018|family_count=7|risk=na,split|year|same_day_family_count|same_day_bundle_key|entry_risk_pct_bucket,entry_risk_pct_bucket_unavailable_missing_ev_r,same_day_bundle_key
