baseline_family,family_id,grid_cell_id,split,unmatched_candidate_rate,baseline_reuse_rate,max_standardized_mean_difference_after_matching,decision_month_coverage_delta,instrument_coverage_delta,matched_baseline_primary_row_count,primary_enrichment_denominator_row_count,baseline_matching_quality_gate,residual_alpha_claim_allowed,positive_beta_exposure_claim_allowed,baseline_quality_blocks_residual_alpha_only,cell_eligible_for_selection_under_this_baseline,blocking_reason
calendar_time_random_same_budget,EP07_topn_multichannel_recommended_union,EP07_identity_cell,train,0.0,0.0,0.40927039171170243,0.0,0.0021501172791243157,5116,5116,fail,False,True,True,True,baseline_quality_threshold_failed
instrument_matched_random_same_budget,EP07_topn_multichannel_recommended_union,EP07_identity_cell,train,0.0017591868647380765,0.0001954652071931573,0.49219746948023146,0.03557466770914777,0.00039093041438623924,5116,5116,fail,False,True,True,True,baseline_quality_threshold_failed
liquidity_size_volatility_matched_same_budget,EP07_topn_multichannel_recommended_union,EP07_identity_cell,train,0.15383111806098515,0.06352619233776391,0.0937905081776012,0.0060594214229867036,0.002931978107896794,5116,5116,fail,False,True,True,True,baseline_quality_threshold_failed
calendar_time_random_same_budget,B1_near_120d_high_plus_volume_expansion,B1-near-120d-high-plus-volume-expansion__2fbec781d4f8,train,0.11159737417943107,0.011935548040580835,0.8236915434458922,0.025263576685896162,0.003779590212850607,5027,5027,fail,False,True,True,True,baseline_quality_threshold_failed
instrument_matched_random_same_budget,B1_near_120d_high_plus_volume_expansion,B1-near-120d-high-plus-volume-expansion__2fbec781d4f8,train,0.021285060672369207,0.005172070817585084,0.9431426433138675,0.04555400835488363,0.0007957032027053909,5027,5027,fail,False,True,True,True,baseline_quality_threshold_failed
liquidity_size_volatility_matched_same_budget,B1_near_120d_high_plus_volume_expansion,B1-near-120d-high-plus-volume-expansion__2fbec781d4f8,train,0.28824348518002785,0.08136065247662627,0.40348063863947886,0.025263576685896162,0.0025860354087925207,5027,5027,fail,False,True,True,True,baseline_quality_threshold_failed
calendar_time_random_same_budget,B1_near_120d_high_plus_volume_expansion,B1-near-120d-high-plus-volume-expansion__0db9446cc5e9,train,0.1558515160102012,0.009917823746103727,0.804157323496949,0.035987531878719184,0.004533862283933125,3529,3529,fail,False,True,True,True,baseline_quality_threshold_failed
instrument_matched_random_same_budget,B1_near_120d_high_plus_volume_expansion,B1-near-120d-high-plus-volume-expansion__0db9446cc5e9,train,0.014735052422782658,0.0022669311419665217,0.970045289225587,0.07084159818645508,0.0011334655709832814,3529,3529,fail,False,True,True,True,baseline_quality_threshold_failed
liquidity_size_volatility_matched_same_budget,B1_near_120d_high_plus_volume_expansion,B1-near-120d-high-plus-volume-expansion__0db9446cc5e9,train,0.31283649759138565,0.07112496457920092,0.42304392128151336,0.035987531878719184,0.004817228676678945,3529,3529,fail,False,True,True,True,baseline_quality_threshold_failed
calendar_time_random_same_budget,B1_near_120d_high_plus_volume_expansion,B1-near-120d-high-plus-volume-expansion__df9bf4d825ee,train,0.10630252100840336,0.012815126050420123,0.9104034789331178,0.023109243697478993,0.003991596638655462,4760,4760,fail,False,True,True,True,baseline_quality_threshold_failed
