matching_key,ep07_direct_column,canonical_rebuild_column,compared_row_n,exact_match_rate,rank_correlation,bucket_match_rate,max_abs_delta,diagnostic_only_flag,override_enabled,blocking_reason
market_cap_bucket_asof_decision_date,total_market_cap_cny,match_market_cap,7328,0.9998635371179039,1.0,,0.000244140625,True,False,
rolling_20d_amount_bucket_asof_decision_date,amount_ratio_20d,match_amount20,7328,0.8253275109170306,1.0,,2.9347649199706893e-08,True,False,
rolling_60d_volatility_bucket_asof_decision_date,atr_20_pct,match_vol60,7139,0.0,0.8455215643960935,,0.11043787134473236,True,False,
recent_20d_return_bucket_asof_decision_date,return_20d,match_return20,7328,0.15638646288209607,0.9999999999999998,,9.974659986866641e-17,True,False,
