baseline_family,family_id,grid_cell_id,split,baseline_eligible_universe_row_n,requested_same_budget_row_n,materialized_baseline_row_n,unmatched_candidate_n,baseline_sample_id_n,membership_frozen_before_label_readout,matching_bucket_frozen_before_label_readout,baseline_forward_label_read_after_membership_freeze,baseline_label_anchor_type,ready_made_event_anchored_label_used,baseline_materialization_gate,blocking_reason
calendar_time_random_same_budget,EP07_topn_multichannel_recommended_union,EP07_identity_cell,train,433131,5116,5116,0,5116,True,True,True,executable_next_open_anchored,False,pass,
instrument_matched_random_same_budget,EP07_topn_multichannel_recommended_union,EP07_identity_cell,train,433131,5116,5116,2,5115,True,True,True,executable_next_open_anchored,False,pass,
liquidity_size_volatility_matched_same_budget,EP07_topn_multichannel_recommended_union,EP07_identity_cell,train,433131,5116,5116,136,5111,True,True,True,executable_next_open_anchored,False,pass,
calendar_time_random_same_budget,B1_near_120d_high_plus_volume_expansion,B1-near-120d-high-plus-volume-expansion__2fbec781d4f8,train,433131,5027,5027,561,5024,True,True,True,executable_next_open_anchored,False,pass,
instrument_matched_random_same_budget,B1_near_120d_high_plus_volume_expansion,B1-near-120d-high-plus-volume-expansion__2fbec781d4f8,train,433131,5027,5027,103,5024,True,True,True,executable_next_open_anchored,False,pass,
liquidity_size_volatility_matched_same_budget,B1_near_120d_high_plus_volume_expansion,B1-near-120d-high-plus-volume-expansion__2fbec781d4f8,train,433131,5027,5027,1029,5020,True,True,True,executable_next_open_anchored,False,pass,
calendar_time_random_same_budget,B1_near_120d_high_plus_volume_expansion,B1-near-120d-high-plus-volume-expansion__0db9446cc5e9,train,433131,3529,3529,550,3526,True,True,True,executable_next_open_anchored,False,pass,
instrument_matched_random_same_budget,B1_near_120d_high_plus_volume_expansion,B1-near-120d-high-plus-volume-expansion__0db9446cc5e9,train,433131,3529,3529,52,3529,True,True,True,executable_next_open_anchored,False,pass,
liquidity_size_volatility_matched_same_budget,B1_near_120d_high_plus_volume_expansion,B1-near-120d-high-plus-volume-expansion__0db9446cc5e9,train,433131,3529,3529,806,3526,True,True,True,executable_next_open_anchored,False,pass,
calendar_time_random_same_budget,B1_near_120d_high_plus_volume_expansion,B1-near-120d-high-plus-volume-expansion__df9bf4d825ee,train,433131,4760,4760,506,4755,True,True,True,executable_next_open_anchored,False,pass,
instrument_matched_random_same_budget,B1_near_120d_high_plus_volume_expansion,B1-near-120d-high-plus-volume-expansion__df9bf4d825ee,train,433131,4760,4760,98,4759,True,True,True,executable_next_open_anchored,False,pass,
liquidity_size_volatility_matched_same_budget,B1_near_120d_high_plus_volume_expansion,B1-near-120d-high-plus-volume-expansion__df9bf4d825ee,train,433131,4760,4760,962,4749,True,True,True,executable_next_open_anchored,False,pass,
calendar_time_random_same_budget,B1_near_120d_high_plus_volume_expansion,B1-near-120d-high-plus-volume-expansion__c4a7c88c7377,train,433131,3344,3344,498,3340,True,True,True,executable_next_open_anchored,False,pass,
instrument_matched_random_same_budget,B1_near_120d_high_plus_volume_expansion,B1-near-120d-high-plus-volume-expansion__c4a7c88c7377,train,433131,3344,3344,50,3344,True,True,True,executable_next_open_anchored,False,pass,
liquidity_size_volatility_matched_same_budget,B1_near_120d_high_plus_volume_expansion,B1-near-120d-high-plus-volume-expansion__c4a7c88c7377,train,433131,3344,3344,749,3337,True,True,True,executable_next_open_anchored,False,pass,
calendar_time_random_same_budget,B1_near_120d_high_plus_volume_expansion,B1-near-120d-high-plus-volume-expansion__bbfebb00d125,train,433131,3930,3930,460,3927,True,True,True,executable_next_open_anchored,False,pass,
instrument_matched_random_same_budget,B1_near_120d_high_plus_volume_expansion,B1-near-120d-high-plus-volume-expansion__bbfebb00d125,train,433131,3930,3930,74,3928,True,True,True,executable_next_open_anchored,False,pass,
liquidity_size_volatility_matched_same_budget,B1_near_120d_high_plus_volume_expansion,B1-near-120d-high-plus-volume-expansion__bbfebb00d125,train,433131,3930,3930,792,3924,True,True,True,executable_next_open_anchored,False,pass,
calendar_time_random_same_budget,B1_near_120d_high_plus_volume_expansion,B1-near-120d-high-plus-volume-expansion__06d51c8b5f0a,train,433131,2712,2712,449,2711,True,True,True,executable_next_open_anchored,False,pass,
instrument_matched_random_same_budget,B1_near_120d_high_plus_volume_expansion,B1-near-120d-high-plus-volume-expansion__06d51c8b5f0a,train,433131,2712,2712,37,2712,True,True,True,executable_next_open_anchored,False,pass,
liquidity_size_volatility_matched_same_budget,B1_near_120d_high_plus_volume_expansion,B1-near-120d-high-plus-volume-expansion__06d51c8b5f0a,train,433131,2712,2712,628,2709,True,True,True,executable_next_open_anchored,False,pass,
calendar_time_random_same_budget,B1_near_120d_high_plus_volume_expansion,B1-near-120d-high-plus-volume-expansion__69491bd81d41,train,433131,3728,3728,417,3724,True,True,True,executable_next_open_anchored,False,pass,
instrument_matched_random_same_budget,B1_near_120d_high_plus_volume_expansion,B1-near-120d-high-plus-volume-expansion__69491bd81d41,train,433131,3728,3728,71,3727,True,True,True,executable_next_open_anchored,False,pass,
liquidity_size_volatility_matched_same_budget,B1_near_120d_high_plus_volume_expansion,B1-near-120d-high-plus-volume-expansion__69491bd81d41,train,433131,3728,3728,742,3724,True,True,True,executable_next_open_anchored,False,pass,
calendar_time_random_same_budget,B1_near_120d_high_plus_volume_expansion,B1-near-120d-high-plus-volume-expansion__fe749d056e5e,train,433131,2580,2580,409,2577,True,True,True,executable_next_open_anchored,False,pass,
instrument_matched_random_same_budget,B1_near_120d_high_plus_volume_expansion,B1-near-120d-high-plus-volume-expansion__fe749d056e5e,train,433131,2580,2580,35,2580,True,True,True,executable_next_open_anchored,False,pass,
liquidity_size_volatility_matched_same_budget,B1_near_120d_high_plus_volume_expansion,B1-near-120d-high-plus-volume-expansion__fe749d056e5e,train,433131,2580,2580,584,2577,True,True,True,executable_next_open_anchored,False,pass,
calendar_time_random_same_budget,B1_near_120d_high_plus_volume_expansion,B1-near-120d-high-plus-volume-expansion__2f9c26c9f622,train,433131,2389,2389,285,2388,True,True,True,executable_next_open_anchored,False,pass,
instrument_matched_random_same_budget,B1_near_120d_high_plus_volume_expansion,B1-near-120d-high-plus-volume-expansion__2f9c26c9f622,train,433131,2389,2389,37,2389,True,True,True,executable_next_open_anchored,False,pass,
liquidity_size_volatility_matched_same_budget,B1_near_120d_high_plus_volume_expansion,B1-near-120d-high-plus-volume-expansion__2f9c26c9f622,train,433131,2389,2389,450,2388,True,True,True,executable_next_open_anchored,False,pass,
calendar_time_random_same_budget,B1_near_120d_high_plus_volume_expansion,B1-near-120d-high-plus-volume-expansion__8570f56b69e0,train,433131,1643,1643,275,1640,True,True,True,executable_next_open_anchored,False,pass,
instrument_matched_random_same_budget,B1_near_120d_high_plus_volume_expansion,B1-near-120d-high-plus-volume-expansion__8570f56b69e0,train,433131,1643,1643,17,1643,True,True,True,executable_next_open_anchored,False,pass,
liquidity_size_volatility_matched_same_budget,B1_near_120d_high_plus_volume_expansion,B1-near-120d-high-plus-volume-expansion__8570f56b69e0,train,433131,1643,1643,370,1641,True,True,True,executable_next_open_anchored,False,pass,
calendar_time_random_same_budget,B1_near_120d_high_plus_volume_expansion,B1-near-120d-high-plus-volume-expansion__48d651aca9d1,train,433131,2292,2292,270,2291,True,True,True,executable_next_open_anchored,False,pass,
instrument_matched_random_same_budget,B1_near_120d_high_plus_volume_expansion,B1-near-120d-high-plus-volume-expansion__48d651aca9d1,train,433131,2292,2292,36,2292,True,True,True,executable_next_open_anchored,False,pass,
liquidity_size_volatility_matched_same_budget,B1_near_120d_high_plus_volume_expansion,B1-near-120d-high-plus-volume-expansion__48d651aca9d1,train,433131,2292,2292,431,2286,True,True,True,executable_next_open_anchored,False,pass,
calendar_time_random_same_budget,B1_near_120d_high_plus_volume_expansion,B1-near-120d-high-plus-volume-expansion__d72782df07a8,train,433131,1577,1577,260,1577,True,True,True,executable_next_open_anchored,False,pass,
instrument_matched_random_same_budget,B1_near_120d_high_plus_volume_expansion,B1-near-120d-high-plus-volume-expansion__d72782df07a8,train,433131,1577,1577,17,1576,True,True,True,executable_next_open_anchored,False,pass,
liquidity_size_volatility_matched_same_budget,B1_near_120d_high_plus_volume_expansion,B1-near-120d-high-plus-volume-expansion__d72782df07a8,train,433131,1577,1577,353,1575,True,True,True,executable_next_open_anchored,False,pass,
calendar_time_random_same_budget,B1_near_120d_high_plus_volume_expansion,B1-near-120d-high-plus-volume-expansion__8a99080f1bc1,train,433131,7846,7846,895,7833,True,True,True,executable_next_open_anchored,False,pass,
instrument_matched_random_same_budget,B1_near_120d_high_plus_volume_expansion,B1-near-120d-high-plus-volume-expansion__8a99080f1bc1,train,433131,7846,7846,173,7838,True,True,True,executable_next_open_anchored,False,pass,
liquidity_size_volatility_matched_same_budget,B1_near_120d_high_plus_volume_expansion,B1-near-120d-high-plus-volume-expansion__8a99080f1bc1,train,433131,7846,7846,1602,7828,True,True,True,executable_next_open_anchored,False,pass,
