family_id,grid_cell_id,family_source,ep07_identity_cell_flag,split,source_candidate_train_n,raw_candidate_n,cooldown_entry_n,fill_feasible_candidate_n,entry_anchor_available_n,primary_denominator_n,path_complete_120_n,path_complete_30_n,instrument_n,instrument_month_n,decision_month_n,cell_primary_denominator_n_min,cell_instrument_n_min,cell_effective_sample_ratio,denominator_gate,blocking_reason
EP07_topn_multichannel_recommended_union,EP07_identity_cell,existing_source,True,train,7328,7328,5254,7148,7328,5116,5116,5116,803,4889,48,300,30,0.9556293979671618,pass,
B1_near_120d_high_plus_volume_expansion,B1-near-120d-high-plus-volume-expansion__2fbec781d4f8,simple_rule_grid,False,train,607536,11026,5027,11026,11026,5027,5027,5027,950,4588,54,300,30,0.9126715735030834,pass,
B1_near_120d_high_plus_volume_expansion,B1-near-120d-high-plus-volume-expansion__0db9446cc5e9,simple_rule_grid,False,train,607536,7440,3529,7440,7440,3529,3529,3529,828,3256,45,300,30,0.9226409747803911,pass,
B1_near_120d_high_plus_volume_expansion,B1-near-120d-high-plus-volume-expansion__df9bf4d825ee,simple_rule_grid,False,train,607536,10210,4760,10210,10210,4760,4760,4760,947,4354,54,300,30,0.9147058823529411,pass,
B1_near_120d_high_plus_volume_expansion,B1-near-120d-high-plus-volume-expansion__c4a7c88c7377,simple_rule_grid,False,train,607536,6871,3344,6871,6871,3344,3344,3344,827,3093,45,300,30,0.9249401913875598,pass,
B1_near_120d_high_plus_volume_expansion,B1-near-120d-high-plus-volume-expansion__bbfebb00d125,simple_rule_grid,False,train,607536,7346,3930,7346,7346,3930,3930,3930,907,3714,54,300,30,0.9450381679389313,pass,
B1_near_120d_high_plus_volume_expansion,B1-near-120d-high-plus-volume-expansion__06d51c8b5f0a,simple_rule_grid,False,train,607536,4940,2712,4940,4940,2712,2712,2712,787,2579,45,300,30,0.9509587020648967,pass,
B1_near_120d_high_plus_volume_expansion,B1-near-120d-high-plus-volume-expansion__69491bd81d41,simple_rule_grid,False,train,607536,6889,3728,6889,6889,3728,3728,3728,905,3529,54,300,30,0.9466201716738197,pass,
B1_near_120d_high_plus_volume_expansion,B1-near-120d-high-plus-volume-expansion__fe749d056e5e,simple_rule_grid,False,train,607536,4621,2580,4621,4621,2580,2580,2580,787,2456,45,300,30,0.951937984496124,pass,
B1_near_120d_high_plus_volume_expansion,B1-near-120d-high-plus-volume-expansion__2f9c26c9f622,simple_rule_grid,False,train,607536,3771,2389,3771,3771,2389,2389,2389,796,2325,54,300,30,0.9732105483465885,pass,
B1_near_120d_high_plus_volume_expansion,B1-near-120d-high-plus-volume-expansion__8570f56b69e0,simple_rule_grid,False,train,607536,2563,1643,2563,2563,1643,1643,1643,673,1602,44,300,30,0.9750456482045039,pass,
B1_near_120d_high_plus_volume_expansion,B1-near-120d-high-plus-volume-expansion__48d651aca9d1,simple_rule_grid,False,train,607536,3593,2292,3593,3593,2292,2292,2292,790,2233,54,300,30,0.9742582897033158,pass,
B1_near_120d_high_plus_volume_expansion,B1-near-120d-high-plus-volume-expansion__d72782df07a8,simple_rule_grid,False,train,607536,2437,1577,2437,2437,1577,1577,1577,671,1537,44,300,30,0.9746353836398225,pass,
B1_near_120d_high_plus_volume_expansion,B1-near-120d-high-plus-volume-expansion__8a99080f1bc1,simple_rule_grid,False,train,607536,27374,7846,27374,27374,7846,7846,7846,1043,6725,54,300,30,0.8571246495029314,pass,
B1_near_120d_high_plus_volume_expansion,B1-near-120d-high-plus-volume-expansion__f451e23c2cad,simple_rule_grid,False,train,607536,18375,5624,18375,18375,5624,5624,5624,931,4925,45,300,30,0.8757112375533428,pass,
B1_near_120d_high_plus_volume_expansion,B1-near-120d-high-plus-volume-expansion__c234c2537c98,simple_rule_grid,False,train,607536,23985,7130,23985,23985,7130,7130,7130,1036,6187,54,300,30,0.867741935483871,pass,
B1_near_120d_high_plus_volume_expansion,B1-near-120d-high-plus-volume-expansion__6e73278055d6,simple_rule_grid,False,train,607536,16102,5098,16102,16102,5098,5098,5098,921,4520,45,300,30,0.8866222047861907,pass,
B1_near_120d_high_plus_volume_expansion,B1-near-120d-high-plus-volume-expansion__8bf4289d0b26,simple_rule_grid,False,train,607536,17205,6284,17205,17205,6284,6284,6284,1013,5713,54,300,30,0.9091343093570974,pass,
B1_near_120d_high_plus_volume_expansion,B1-near-120d-high-plus-volume-expansion__88578d197de3,simple_rule_grid,False,train,607536,11656,4418,11656,11656,4418,4418,4418,897,4073,45,300,30,0.9219103666817564,pass,
B1_near_120d_high_plus_volume_expansion,B1-near-120d-high-plus-volume-expansion__19370b2e8696,simple_rule_grid,False,train,607536,15444,5741,15444,15444,5741,5741,5741,1005,5255,54,300,30,0.9153457585786449,pass,
B1_near_120d_high_plus_volume_expansion,B1-near-120d-high-plus-volume-expansion__2a2c8cde859e,simple_rule_grid,False,train,607536,10459,4031,10459,10459,4031,4031,4031,887,3734,45,300,30,0.9263210121557927,pass,
B1_near_120d_high_plus_volume_expansion,B1-near-120d-high-plus-volume-expansion__e6ec9b1cdd19,simple_rule_grid,False,train,607536,8243,3927,8243,8243,3927,3927,3927,915,3770,54,300,30,0.9600203717850777,pass,
B1_near_120d_high_plus_volume_expansion,B1-near-120d-high-plus-volume-expansion__f41161664797,simple_rule_grid,False,train,607536,5637,2700,5637,5637,2700,2700,2700,792,2603,44,300,30,0.9640740740740741,pass,
B1_near_120d_high_plus_volume_expansion,B1-near-120d-high-plus-volume-expansion__21847a6e47c6,simple_rule_grid,False,train,607536,7597,3638,7597,7597,3638,3638,3638,906,3501,54,300,30,0.9623419461242441,pass,
B1_near_120d_high_plus_volume_expansion,B1-near-120d-high-plus-volume-expansion__5bd8bff20be2,simple_rule_grid,False,train,607536,5198,2493,5198,5198,2493,2493,2493,786,2411,44,300,30,0.9671079021259527,pass,
B1_near_120d_high_plus_volume_expansion,B1-near-120d-high-plus-volume-expansion__adbeea5b4a1d,simple_rule_grid,False,train,607536,40790,10257,40790,40790,10257,10257,10257,1080,8535,54,300,30,0.8321146534074291,pass,
B1_near_120d_high_plus_volume_expansion,B1-near-120d-high-plus-volume-expansion__ec8bbfd09c0b,simple_rule_grid,False,train,607536,26812,7336,26812,26812,7336,7336,7336,985,6301,45,300,30,0.8589149400218102,pass,
B1_near_120d_high_plus_volume_expansion,B1-near-120d-high-plus-volume-expansion__29e0d33ff5b8,simple_rule_grid,False,train,607536,33945,8837,33945,33945,8837,8837,8837,1071,7512,54,300,30,0.8500622383161707,pass,
B1_near_120d_high_plus_volume_expansion,B1-near-120d-high-plus-volume-expansion__78b1ad2aec32,simple_rule_grid,False,train,607536,22381,6332,22381,22381,6332,6332,6332,973,5540,45,300,30,0.8749210360075805,pass,
B1_near_120d_high_plus_volume_expansion,B1-near-120d-high-plus-volume-expansion__9b5bcec15340,simple_rule_grid,False,train,607536,24808,8129,24808,24808,8129,8129,8129,1055,7251,54,300,30,0.89199163488744,pass,
B1_near_120d_high_plus_volume_expansion,B1-near-120d-high-plus-volume-expansion__70011ea98696,simple_rule_grid,False,train,607536,16531,5710,16531,16531,5710,5710,5710,945,5177,45,300,30,0.9066549912434326,pass,
B1_near_120d_high_plus_volume_expansion,B1-near-120d-high-plus-volume-expansion__b07c28a6982d,simple_rule_grid,False,train,607536,21314,7067,21314,21314,7067,7067,7067,1047,6380,54,300,30,0.902787604358285,pass,
B1_near_120d_high_plus_volume_expansion,B1-near-120d-high-plus-volume-expansion__0f3866bd844f,simple_rule_grid,False,train,607536,14240,4972,14240,14240,4972,4972,4972,934,4559,45,300,30,0.916934835076428,pass,
B1_near_120d_high_plus_volume_expansion,B1-near-120d-high-plus-volume-expansion__a4ad4a4db78c,simple_rule_grid,False,train,607536,11566,5016,11566,11566,5016,5016,5016,968,4770,54,300,30,0.9509569377990431,pass,
B1_near_120d_high_plus_volume_expansion,B1-near-120d-high-plus-volume-expansion__f3350859dd27,simple_rule_grid,False,train,607536,7833,3469,7833,7833,3469,3469,3469,846,3316,45,300,30,0.9558950706255405,pass,
B1_near_120d_high_plus_volume_expansion,B1-near-120d-high-plus-volume-expansion__126a0d3d0ce3,simple_rule_grid,False,train,607536,10280,4458,10280,10280,4458,4458,4458,958,4259,54,300,30,0.9553611484970839,pass,
B1_near_120d_high_plus_volume_expansion,B1-near-120d-high-plus-volume-expansion__367243113bfc,simple_rule_grid,False,train,607536,6981,3080,6981,6981,3080,3080,3080,838,2960,45,300,30,0.961038961038961,pass,
B2_relative_strength_breakout,B2-relative-strength-breakout__31226d09f5ea,simple_rule_grid,False,train,607536,87850,13114,87850,87850,13114,13114,13114,1192,9986,57,300,30,0.761476284886381,pass,
B2_relative_strength_breakout,B2-relative-strength-breakout__e76f8d277b6e,simple_rule_grid,False,train,607536,40025,7812,40025,40025,7812,7812,7812,1096,6499,48,300,30,0.8319252432155658,pass,
B2_relative_strength_breakout,B2-relative-strength-breakout__57543f0e85fd,simple_rule_grid,False,train,607536,85375,12780,85375,85375,12780,12780,12780,1190,9740,57,300,30,0.7621283255086072,pass,
B2_relative_strength_breakout,B2-relative-strength-breakout__10a231449c89,simple_rule_grid,False,train,607536,39901,7776,39901,39901,7776,7776,7776,1095,6463,48,300,30,0.8311471193415638,pass,
