label_field,selected_anchor_type,selected_source_artifact,selected_source_columns,diagnostic_source_columns,reconstruction_formula,horizon_sessions,path_complete_rule,ready_made_label_allowed_for_primary,ready_made_label_allowed_for_diagnostic,entry_price_column,entry_pos_column,label_materialized_after_train_filter,blocking_reason
forward_mfe_20d,executable_next_open_anchored,qfq path + train anchor metadata,date|high|trade_open_price|trade_open_pos,mfe_20d,max(high[entry_pos:entry_pos+20-1])/entry_price-1,20,entry_pos+20-1 exists and high/low/close complete,False,True,trade_open_price,trade_open_pos,True,
forward_mae_20d,executable_next_open_anchored,qfq path + train anchor metadata,date|low|trade_open_price|trade_open_pos,mae_20d,min(low[entry_pos:entry_pos+20-1])/entry_price-1,20,entry_pos+20-1 exists and high/low/close complete,False,True,trade_open_price,trade_open_pos,True,
forward_return_20d,executable_next_open_anchored,qfq path + train anchor metadata,date|close|trade_open_price|trade_open_pos,,close[entry_pos+20-1]/entry_price-1,20,entry_pos+20-1 exists and high/low/close complete,False,True,trade_open_price,trade_open_pos,True,
forward_big_winner_20d,executable_next_open_anchored,rebuilt forward_mfe,forward_mfe_20d,,forward_mfe_20d >= 0.50,20,path_complete_20d,False,True,trade_open_price,trade_open_pos,True,
path_complete_20d,executable_next_open_anchored,qfq path + train anchor metadata,date|high|low|close|trade_open_pos,horizon_complete_20d,entry_pos+20-1 exists and high/low/close finite,20,path_complete_20d,False,True,trade_open_price,trade_open_pos,True,
forward_mfe_30d,executable_next_open_anchored,qfq path + train anchor metadata,date|high|trade_open_price|trade_open_pos,mfe_30d,max(high[entry_pos:entry_pos+30-1])/entry_price-1,30,entry_pos+30-1 exists and high/low/close complete,False,True,trade_open_price,trade_open_pos,True,
forward_mae_30d,executable_next_open_anchored,qfq path + train anchor metadata,date|low|trade_open_price|trade_open_pos,mae_30d,min(low[entry_pos:entry_pos+30-1])/entry_price-1,30,entry_pos+30-1 exists and high/low/close complete,False,True,trade_open_price,trade_open_pos,True,
forward_return_30d,executable_next_open_anchored,qfq path + train anchor metadata,date|close|trade_open_price|trade_open_pos,,close[entry_pos+30-1]/entry_price-1,30,entry_pos+30-1 exists and high/low/close complete,False,True,trade_open_price,trade_open_pos,True,
forward_big_winner_30d,executable_next_open_anchored,rebuilt forward_mfe,forward_mfe_30d,,forward_mfe_30d >= 0.50,30,path_complete_30d,False,True,trade_open_price,trade_open_pos,True,
path_complete_30d,executable_next_open_anchored,qfq path + train anchor metadata,date|high|low|close|trade_open_pos,horizon_complete_30d,entry_pos+30-1 exists and high/low/close finite,30,path_complete_30d,False,True,trade_open_price,trade_open_pos,True,
forward_mfe_60d,executable_next_open_anchored,qfq path + train anchor metadata,date|high|trade_open_price|trade_open_pos,mfe_60d,max(high[entry_pos:entry_pos+60-1])/entry_price-1,60,entry_pos+60-1 exists and high/low/close complete,False,True,trade_open_price,trade_open_pos,True,
forward_mae_60d,executable_next_open_anchored,qfq path + train anchor metadata,date|low|trade_open_price|trade_open_pos,mae_60d,min(low[entry_pos:entry_pos+60-1])/entry_price-1,60,entry_pos+60-1 exists and high/low/close complete,False,True,trade_open_price,trade_open_pos,True,
forward_return_60d,executable_next_open_anchored,qfq path + train anchor metadata,date|close|trade_open_price|trade_open_pos,,close[entry_pos+60-1]/entry_price-1,60,entry_pos+60-1 exists and high/low/close complete,False,True,trade_open_price,trade_open_pos,True,
forward_big_winner_60d,executable_next_open_anchored,rebuilt forward_mfe,forward_mfe_60d,,forward_mfe_60d >= 0.50,60,path_complete_60d,False,True,trade_open_price,trade_open_pos,True,
path_complete_60d,executable_next_open_anchored,qfq path + train anchor metadata,date|high|low|close|trade_open_pos,horizon_complete_60d,entry_pos+60-1 exists and high/low/close finite,60,path_complete_60d,False,True,trade_open_price,trade_open_pos,True,
forward_mfe_120d,executable_next_open_anchored,qfq path + train anchor metadata,date|high|trade_open_price|trade_open_pos,mfe_120d,max(high[entry_pos:entry_pos+120-1])/entry_price-1,120,entry_pos+120-1 exists and high/low/close complete,False,True,trade_open_price,trade_open_pos,True,
forward_mae_120d,executable_next_open_anchored,qfq path + train anchor metadata,date|low|trade_open_price|trade_open_pos,mae_120d,min(low[entry_pos:entry_pos+120-1])/entry_price-1,120,entry_pos+120-1 exists and high/low/close complete,False,True,trade_open_price,trade_open_pos,True,
forward_return_120d,executable_next_open_anchored,qfq path + train anchor metadata,date|close|trade_open_price|trade_open_pos,,close[entry_pos+120-1]/entry_price-1,120,entry_pos+120-1 exists and high/low/close complete,False,True,trade_open_price,trade_open_pos,True,
forward_big_winner_120d,executable_next_open_anchored,rebuilt forward_mfe,forward_mfe_120d,event_big_winner_120d_label,forward_mfe_120d >= 0.50,120,path_complete_120d,False,True,trade_open_price,trade_open_pos,True,
path_complete_120d,executable_next_open_anchored,qfq path + train anchor metadata,date|high|low|close|trade_open_pos,horizon_complete_120d,entry_pos+120-1 exists and high/low/close finite,120,path_complete_120d,False,True,trade_open_price,trade_open_pos,True,
