family_id,family_source,declared_grid_cell_n,materialized_grid_cell_n,not_materialized_grid_cell_n,dependent_feature_missing_n,source_contract_verified,feature_source_map_verified,materialization_status,materialized_before_label_readout,blocking_reason
B1_near_120d_high_plus_volume_expansion,baseline eligible qfq/universe scan,36,36,0,0,True,True,materialized_before_label_readout,True,
B2_relative_strength_breakout,baseline eligible qfq/universe scan,36,36,0,0,True,True,materialized_before_label_readout,True,
B4_volatility_contraction_then_breakout,baseline eligible qfq/universe scan,36,36,0,0,True,True,materialized_before_label_readout,True,
B5_recent_high_close_plus_amount_expansion,baseline eligible qfq/universe scan,36,36,0,0,True,True,materialized_before_label_readout,True,
B6_low_drawdown_reclaim_or_ema_reclaim,baseline eligible qfq/universe scan,36,18,18,18,True,True,materialized_before_label_readout,True,
EP07_topn_multichannel_recommended_union,EP07 canonical train candidate rows,1,1,0,0,True,True,materialized_before_label_readout,True,
