family_id,grid_cell_id,baseline_family,bootstrap_resample_n,bootstrap_seed,candidate_cluster_key,matched_baseline_rerandomization_n,matched_baseline_rerandomization_seed,se_delta_method,SE_delta_probability,primary_tail_lift_50_train_margin_ratio,SE_delta_probability_candidate_vs_eligible_universe,positive_exposure_absolute_margin_floor_50,positive_exposure_relative_margin_ratio_floor,positive_exposure_relative_margin_floor_50,positive_exposure_margin_50,multiway_cluster_enabled,blocking_reason
EP07_topn_multichannel_recommended_union,EP07_identity_cell,calendar_time_random_same_budget,2000,20260707,instrument_month,2000,20260707,analytic_cluster_proxy_for_registered_bootstrap,0.0075095798833112095,0.1,0.005856277680446147,0.02,0.2,0.03250641152101006,0.03250641152101006,False,
EP07_topn_multichannel_recommended_union,EP07_identity_cell,instrument_matched_random_same_budget,2000,20260707,instrument_month,2000,20260707,analytic_cluster_proxy_for_registered_bootstrap,0.007447462897754921,0.1,0.005856277680446147,0.02,0.2,0.03250641152101006,0.03250641152101006,False,
EP07_topn_multichannel_recommended_union,EP07_identity_cell,liquidity_size_volatility_matched_same_budget,2000,20260707,instrument_month,2000,20260707,analytic_cluster_proxy_for_registered_bootstrap,0.007698588681368657,0.1,0.005856277680446147,0.02,0.2,0.03250641152101006,0.03250641152101006,False,
B1_near_120d_high_plus_volume_expansion,B1-near-120d-high-plus-volume-expansion__2fbec781d4f8,calendar_time_random_same_budget,2000,20260707,instrument_month,2000,20260707,analytic_cluster_proxy_for_registered_bootstrap,0.007727431700606752,0.1,0.006050781362300206,0.02,0.2,0.03250641152101006,0.03250641152101006,False,
B1_near_120d_high_plus_volume_expansion,B1-near-120d-high-plus-volume-expansion__2fbec781d4f8,instrument_matched_random_same_budget,2000,20260707,instrument_month,2000,20260707,analytic_cluster_proxy_for_registered_bootstrap,0.007888091449699134,0.1,0.006050781362300206,0.02,0.2,0.03250641152101006,0.03250641152101006,False,
B1_near_120d_high_plus_volume_expansion,B1-near-120d-high-plus-volume-expansion__2fbec781d4f8,liquidity_size_volatility_matched_same_budget,2000,20260707,instrument_month,2000,20260707,analytic_cluster_proxy_for_registered_bootstrap,0.00806539592077501,0.1,0.006050781362300206,0.02,0.2,0.03250641152101006,0.03250641152101006,False,
B1_near_120d_high_plus_volume_expansion,B1-near-120d-high-plus-volume-expansion__0db9446cc5e9,calendar_time_random_same_budget,2000,20260707,instrument_month,2000,20260707,analytic_cluster_proxy_for_registered_bootstrap,0.009106510432874498,0.11497987591275173,0.006885360870563219,0.02,0.2,0.03250641152101006,0.03250641152101006,False,
B1_near_120d_high_plus_volume_expansion,B1-near-120d-high-plus-volume-expansion__0db9446cc5e9,instrument_matched_random_same_budget,2000,20260707,instrument_month,2000,20260707,analytic_cluster_proxy_for_registered_bootstrap,0.009137714466995447,0.10713287160806291,0.006885360870563219,0.02,0.2,0.03250641152101006,0.03250641152101006,False,
B1_near_120d_high_plus_volume_expansion,B1-near-120d-high-plus-volume-expansion__0db9446cc5e9,liquidity_size_volatility_matched_same_budget,2000,20260707,instrument_month,2000,20260707,analytic_cluster_proxy_for_registered_bootstrap,0.009433304197671978,0.10601952392861277,0.006885360870563219,0.02,0.2,0.03250641152101006,0.03250641152101006,False,
B1_near_120d_high_plus_volume_expansion,B1-near-120d-high-plus-volume-expansion__df9bf4d825ee,calendar_time_random_same_budget,2000,20260707,instrument_month,2000,20260707,analytic_cluster_proxy_for_registered_bootstrap,0.007915296653080862,0.10210518175789947,0.006206716749583144,0.02,0.2,0.03250641152101006,0.03250641152101006,False,
