source_pool,model_id,threshold_id,keep_fraction,split,denominator_policy,raw_event_n,raw_horizon_complete_n,selected_event_n,selected_horizon_complete_n,rejected_event_n,rejected_horizon_complete_n,raw_incomplete_or_censored_n,selected_incomplete_or_censored_n,excluded_reason_policy,before_after_denominator_status
08_R_core_event_regime_gated,supervised_joint_cost_rejector,supervised_joint_cost_rejector__08_R_core_event_regime_gated__keep_0850,0.85,train,same_source_split_regime_horizon_complete_before_after,16603,16571,14102,14085,2501,2486,32,17,incomplete_or_censored_excluded_from_before_and_after_cost_rates,pass
08_R_core_event_regime_gated,supervised_joint_cost_rejector,supervised_joint_cost_rejector__08_R_core_event_regime_gated__keep_0850,0.85,validation,same_source_split_regime_horizon_complete_before_after,4457,4455,4179,4177,278,278,2,2,incomplete_or_censored_excluded_from_before_and_after_cost_rates,pass
08_R_core_event_regime_gated,supervised_joint_cost_rejector,supervised_joint_cost_rejector__08_R_core_event_regime_gated__keep_0850,0.85,robustness,same_source_split_regime_horizon_complete_before_after,9730,9711,8141,8127,1589,1584,19,14,incomplete_or_censored_excluded_from_before_and_after_cost_rates,pass
08_R_core_event_regime_gated,supervised_joint_cost_rejector,supervised_joint_cost_rejector__08_R_core_event_regime_gated__keep_0825,0.825,train,same_source_split_regime_horizon_complete_before_after,16603,16571,13688,13671,2915,2900,32,17,incomplete_or_censored_excluded_from_before_and_after_cost_rates,pass
08_R_core_event_regime_gated,supervised_joint_cost_rejector,supervised_joint_cost_rejector__08_R_core_event_regime_gated__keep_0825,0.825,validation,same_source_split_regime_horizon_complete_before_after,4457,4455,4129,4127,328,328,2,2,incomplete_or_censored_excluded_from_before_and_after_cost_rates,pass
08_R_core_event_regime_gated,supervised_joint_cost_rejector,supervised_joint_cost_rejector__08_R_core_event_regime_gated__keep_0825,0.825,robustness,same_source_split_regime_horizon_complete_before_after,9730,9711,7943,7929,1787,1782,19,14,incomplete_or_censored_excluded_from_before_and_after_cost_rates,pass
08_R_core_event_regime_gated,supervised_joint_cost_rejector,supervised_joint_cost_rejector__08_R_core_event_regime_gated__keep_0800,0.8,train,same_source_split_regime_horizon_complete_before_after,16603,16571,13274,13257,3329,3314,32,17,incomplete_or_censored_excluded_from_before_and_after_cost_rates,pass
08_R_core_event_regime_gated,supervised_joint_cost_rejector,supervised_joint_cost_rejector__08_R_core_event_regime_gated__keep_0800,0.8,validation,same_source_split_regime_horizon_complete_before_after,4457,4455,4066,4064,391,391,2,2,incomplete_or_censored_excluded_from_before_and_after_cost_rates,pass
08_R_core_event_regime_gated,supervised_joint_cost_rejector,supervised_joint_cost_rejector__08_R_core_event_regime_gated__keep_0800,0.8,robustness,same_source_split_regime_horizon_complete_before_after,9730,9711,7725,7711,2005,2000,19,14,incomplete_or_censored_excluded_from_before_and_after_cost_rates,pass
08_R_core_event_regime_gated,supervised_joint_cost_rejector,supervised_joint_cost_rejector__08_R_core_event_regime_gated__keep_0775,0.775,train,same_source_split_regime_horizon_complete_before_after,16603,16571,12857,12842,3746,3729,32,15,incomplete_or_censored_excluded_from_before_and_after_cost_rates,pass
08_R_core_event_regime_gated,supervised_joint_cost_rejector,supervised_joint_cost_rejector__08_R_core_event_regime_gated__keep_0775,0.775,validation,same_source_split_regime_horizon_complete_before_after,4457,4455,4004,4002,453,453,2,2,incomplete_or_censored_excluded_from_before_and_after_cost_rates,pass
08_R_core_event_regime_gated,supervised_joint_cost_rejector,supervised_joint_cost_rejector__08_R_core_event_regime_gated__keep_0775,0.775,robustness,same_source_split_regime_horizon_complete_before_after,9730,9711,7530,7516,2200,2195,19,14,incomplete_or_censored_excluded_from_before_and_after_cost_rates,pass
08_R_core_event_regime_gated,supervised_joint_cost_rejector,supervised_joint_cost_rejector__08_R_core_event_regime_gated__keep_0750,0.75,train,same_source_split_regime_horizon_complete_before_after,16603,16571,12443,12428,4160,4143,32,15,incomplete_or_censored_excluded_from_before_and_after_cost_rates,pass
08_R_core_event_regime_gated,supervised_joint_cost_rejector,supervised_joint_cost_rejector__08_R_core_event_regime_gated__keep_0750,0.75,validation,same_source_split_regime_horizon_complete_before_after,4457,4455,3939,3937,518,518,2,2,incomplete_or_censored_excluded_from_before_and_after_cost_rates,pass
08_R_core_event_regime_gated,supervised_joint_cost_rejector,supervised_joint_cost_rejector__08_R_core_event_regime_gated__keep_0750,0.75,robustness,same_source_split_regime_horizon_complete_before_after,9730,9711,7347,7333,2383,2378,19,14,incomplete_or_censored_excluded_from_before_and_after_cost_rates,pass
08_R_core_event_regime_gated,supervised_joint_cost_rejector,supervised_joint_cost_rejector__08_R_core_event_regime_gated__keep_0725,0.725,train,same_source_split_regime_horizon_complete_before_after,16603,16571,12029,12014,4574,4557,32,15,incomplete_or_censored_excluded_from_before_and_after_cost_rates,pass
08_R_core_event_regime_gated,supervised_joint_cost_rejector,supervised_joint_cost_rejector__08_R_core_event_regime_gated__keep_0725,0.725,validation,same_source_split_regime_horizon_complete_before_after,4457,4455,3871,3869,586,586,2,2,incomplete_or_censored_excluded_from_before_and_after_cost_rates,pass
08_R_core_event_regime_gated,supervised_joint_cost_rejector,supervised_joint_cost_rejector__08_R_core_event_regime_gated__keep_0725,0.725,robustness,same_source_split_regime_horizon_complete_before_after,9730,9711,7132,7118,2598,2593,19,14,incomplete_or_censored_excluded_from_before_and_after_cost_rates,pass
08_R_core_event_regime_gated,supervised_joint_cost_rejector,supervised_joint_cost_rejector__08_R_core_event_regime_gated__keep_0700,0.7,train,same_source_split_regime_horizon_complete_before_after,16603,16571,11615,11600,4988,4971,32,15,incomplete_or_censored_excluded_from_before_and_after_cost_rates,pass
08_R_core_event_regime_gated,supervised_joint_cost_rejector,supervised_joint_cost_rejector__08_R_core_event_regime_gated__keep_0700,0.7,validation,same_source_split_regime_horizon_complete_before_after,4457,4455,3814,3812,643,643,2,2,incomplete_or_censored_excluded_from_before_and_after_cost_rates,pass
08_R_core_event_regime_gated,supervised_joint_cost_rejector,supervised_joint_cost_rejector__08_R_core_event_regime_gated__keep_0700,0.7,robustness,same_source_split_regime_horizon_complete_before_after,9730,9711,6958,6945,2772,2766,19,13,incomplete_or_censored_excluded_from_before_and_after_cost_rates,pass
