feature_name,e_allowed_as_t0_feature,e_missing_rate_train,e_missing_rate_validation,e_missing_rate_robustness,h_allowed_as_t0_feature,h_missing_rate_train,h_missing_rate_validation,h_missing_rate_robustness,h_blocked_reason,feature_delta_action,feature_delta_reason
amount_ratio_20d,True,0.0,0.0,0.0,True,0.0,0.0,0.0,,retained,
amount_ratio_60d,True,0.0,0.0,0.0,True,0.0,0.0,0.0,,retained,
atr_pct_rank_60d,True,0.0,0.0,0.0,True,0.0,0.0,0.0,,retained,
board_bucket,True,0.0,0.0,0.0,True,0.0,0.0,0.0,,retained,
board_relative_cusum_20d,True,0.0239506979784303,0.0,0.0,True,0.023950697978430364,0.0,0.0,,retained,
channel_count,True,0.0,0.0,0.0,True,0.0,0.0,0.0,,retained,
close_to_high_120,True,0.0,0.0,0.0,True,0.0,0.0,0.0,,retained,
close_to_high_60,True,0.0,0.0,0.0,True,0.0,0.0,0.0,,retained,
direction_entropy_20d,True,0.0,0.0,0.0,True,0.0,0.0,0.0,,retained,
ema60_positive_run,True,0.0,0.0,0.0,True,0.0,0.0,0.0,,retained,
event_big_winner_120d_label,False,,,,False,,,,not_allowed_as_t0_feature,retained,
event_false_repair_20d_label,False,,,,False,,,,not_allowed_as_t0_feature,retained,
event_regime_bucket,True,0.0,0.0,0.0,True,0.0,0.0,0.0,,retained,
failure_10_label,False,,,,False,,,,not_allowed_as_t0_feature,retained,
family_count,True,0.0,0.0,0.0,True,0.0,0.0,0.0,,retained,
momentum_percentile_20d,True,0.0,0.0,0.0,True,0.0,0.0,0.0,,retained,
momentum_percentile_20d_lag20,True,0.0669965918110089,0.0278060359443879,0.0251315479462813,False,0.06699659181100892,0.02780603594438793,0.025131547946281318,dropped_by_feature_fix_policy_low_coverage_lag20,dropped_by_h_primary_policy,E coverage below 95pct on train; H primary replay removes this feature before refit
panel_board_relative_1d,True,0.0,0.0,0.0,True,0.0,0.0,0.0,,retained,
panel_board_relative_cusum_20d,True,0.0239506979784303,0.0,0.0,True,0.023950697978430364,0.0,0.0,,retained,
panel_board_return_20d,True,0.0239506979784303,0.0,0.0,True,0.023950697978430364,0.0,0.0,,retained,
panel_close_to_high_60,True,0.0,0.0,0.0,True,0.0,0.0,0.0,,retained,
panel_momentum_percentile_20d,True,0.0,0.0,0.0,True,0.0,0.0,0.0,,retained,
panel_momentum_percentile_60d,True,0.0,0.0,0.0,True,0.0,0.0,0.0,,retained,
panel_return_1d,True,0.0,0.0,0.0,True,0.0,0.0,0.0,,retained,
panel_return_20d,True,0.0,0.0,0.0,True,0.0,0.0,0.0,,retained,
panel_return_5d,True,0.0,0.0,0.0,True,0.0,0.0,0.0,,retained,
panel_return_60d,True,0.0,0.0,0.0,True,0.0,0.0,0.0,,retained,
panel_stock_vs_board_20d,True,0.0239506979784303,0.0,0.0,True,0.023950697978430364,0.0,0.0,,retained,
panel_stock_vs_market_20d,True,0.0,0.0,0.0,True,0.0,0.0,0.0,,retained,
panel_universe_new_high_60_share,True,0.0,0.0,0.0,True,0.0,0.0,0.0,,retained,
panel_universe_up_share,True,0.0,0.0,0.0,True,0.0,0.0,0.0,,retained,
panel_universe_up_share_change_5d,True,0.0071431906251458,0.0,0.0,True,0.007143190625145898,0.0,0.0,,retained,
panel_universe_up_share_z,True,0.024464260703114,0.0,0.0,True,0.024464260703114058,0.0,0.0,,retained,
primary_family_id,True,0.0,0.0,0.0,True,0.0,0.0,0.0,,retained,
range_width_ratio_20d_60d,True,0.0,0.0,0.0,True,0.0,0.0,0.0,,retained,
relative_cusum_20d,True,0.0,0.0,0.0,True,0.0,0.0,0.0,,retained,
return_10d,True,0.0,0.0,0.0,True,0.0,0.0,0.0,,retained,
return_20d,True,0.0,0.0,0.0,True,0.0,0.0,0.0,,retained,
return_5d,True,0.0,0.0,0.0,True,0.0,0.0,0.0,,retained,
return_60d,True,0.0,0.0,0.0,True,0.0,0.0,0.0,,retained,
source_pool,True,0.0,0.0,0.0,True,0.0,0.0,0.0,,retained,
stock_vs_board_20d,True,0.0239506979784303,0.0,0.0,True,0.023950697978430364,0.0,0.0,,retained,
stock_vs_market_10d,True,0.0,0.0,0.0,True,0.0,0.0,0.0,,retained,
stock_vs_market_20d,True,0.0,0.0,0.0,True,0.0,0.0,0.0,,retained,
stock_vs_market_5d,True,0.0,0.0,0.0,True,0.0,0.0,0.0,,retained,
target_episode_id,False,,,,False,,,,not_allowed_as_t0_feature,retained,
turnover_ratio_20d,True,0.0,0.0,0.0,True,0.0,0.0,0.0,,retained,
turnover_ratio_60d,True,0.0,0.0,0.0,True,0.0,0.0,0.0,,retained,
universe_up_share,True,0.0,0.0,0.0,True,0.0,0.0,0.0,,retained,
universe_up_share_change_5d,True,0.0071431906251458,0.0,0.0,True,0.007143190625145898,0.0,0.0,,retained,
universe_up_share_z,True,0.024464260703114,0.0,0.0,True,0.024464260703114058,0.0,0.0,,retained,
