input_id,path,required,status,sha256,row_count,loaded_in_full_run,loaded_row_count,loaded_column_count,loaded_schema_fingerprint
requirement,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/08_risk_on_transition_recall_exploration_v0/requirement_experiment_h_risk_on_cost_rejector_research_entry_hardening.md,True,available,c749c6aece1132fcfaa9ee1f79aead86fbc5c37b8ab9996d99ce14de9864bc51,1,False,,,
experiment_a_manifest,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/08_risk_on_transition_recall_exploration_v0/outputs/manifests/density_fast_fail_audit/density_fast_fail_audit_manifest.json,True,available,5890db114330f848de4a6b9a37307540dc69e7dcd32b2214c42a3b8bfa18c3a2,1,False,,,
experiment_b_manifest,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/08_risk_on_transition_recall_exploration_v0/outputs/manifests/regime_family_matrix/regime_family_matrix_manifest.json,True,available,ebbe5513702fcd7dab7937651ad15154bc5149e54148cbf29460e0a805e381c6,1,False,,,
experiment_c_manifest,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/08_risk_on_transition_recall_exploration_v0/outputs/manifests/risk_on_r_series_bridge_ranker/risk_on_r_series_bridge_ranker_manifest.json,True,available,e0851f5d2f521d9c81be6399782099d79d63a97c087ada86fbf723c39f94399f,1,False,,,
experiment_d_manifest,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/08_risk_on_transition_recall_exploration_v0/outputs/manifests/post_replay_event_to_episode_retention_source/post_replay_event_to_episode_retention_source_manifest.json,True,available,f267861517e7fb0ee9918721ccd7469a68856da76e7001aaffb597e6df6a85f3,1,False,,,
experiment_e_manifest,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/08_risk_on_transition_recall_exploration_v0/outputs/manifests/risk_on_post_filter_cost_rejector/risk_on_post_filter_cost_rejector_manifest.json,True,available,4426dc5d3fbf2922bc86f05ec05b88fbba1e7f3f39f1899f49e63c01d5ba249a,1,False,,,
density_fast_fail_contract,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/08_risk_on_transition_recall_exploration_v0/outputs/publishable/reports/density_fast_fail_audit/density_fast_fail_caliber_contract.md,True,available,b2a483a46a6f1511ede5fd0b58d8696935a3edf7151a7be9785440f8ff9745b6,1,False,,,
candidate_scope_mapping_contract,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/08_risk_on_transition_recall_exploration_v0/outputs/publishable/tables/density_fast_fail_audit/candidate_scope_mapping_contract.csv,True,available,c99625e0ca82e717aa03aa497e652a47c2dcda7f17c41512575bf299de994d16,36,False,,,
candidate_scope_reconstructability_audit,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/08_risk_on_transition_recall_exploration_v0/outputs/publishable/tables/density_fast_fail_audit/candidate_scope_reconstructability_audit.csv,True,available,6e706b765288e5323d42d0b2cd26efd8be5a59a1ffcc0aba3e82f70fb0146dd1,36,False,,,
candidate_10d_density_summary,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/08_risk_on_transition_recall_exploration_v0/outputs/publishable/tables/density_fast_fail_audit/candidate_10d_density_summary.csv,True,available,da237dd93551fd9fefb957ed1bf33bb9dc1bb70cb2455d1e06fb37d8bc40bfba,36,False,,,
candidate_family_canonical_events,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/08_risk_on_transition_recall_exploration_v0/outputs/publishable/tables/candidate_family_canonical_events.csv.gz,True,available,1bb1c445d494cb59c57a9fbb5057dfc8b61e34e8f0f8187c27bd9ce209273cb8,90576,False,,,
candidate_family_event_instances,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/08_risk_on_transition_recall_exploration_v0/outputs/publishable/tables/candidate_family_event_instances.csv.gz,True,available,9a289c80732260602a291b7f75908408b832180c28e760847f83212be5b5df12,238679,True,238679.0,105.0,6dc8e24616bd253654112d616352936152cc8ab833300fdd37b1325fa94454a7
candidate_family_event_labels,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/08_risk_on_transition_recall_exploration_v0/outputs/local_cache/candidate_family_event_labels.parquet,True,available,a6fbb17753e2f6c7bf54bfeccc2aff03419a9891bd87bb4f75e1667a1f0bd5b8,331318,False,,,
cross_section_feature_panel,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/08_risk_on_transition_recall_exploration_v0/outputs/local_cache/cross_section_feature_panel.parquet,True,available,0780c31e1852c90bc7fb453678a8738d64d6de33e3429b22454cc87f6b929d88,912586,False,,,
