source_pool,model_id,threshold_id,readout_status,failure_reason,split,episode_regime_bucket,e1_missed_capture_n_definition,post_filter_e1_missed_captured_episode_n,e1_missed_capture_retention
08_R_core_event_regime_gated,supervised_joint_cost_rejector,,not_evaluable_no_selected_threshold,risk_on_research_entry_hardening_train_threshold_not_found,train,risk_on,not_evaluable_no_selected_threshold,0,
08_R_core_event_regime_gated,supervised_joint_cost_rejector,,not_evaluable_no_selected_threshold,risk_on_research_entry_hardening_train_threshold_not_found,validation,risk_on,not_evaluable_no_selected_threshold,0,
08_R_core_event_regime_gated,supervised_joint_cost_rejector,,not_evaluable_no_selected_threshold,risk_on_research_entry_hardening_train_threshold_not_found,robustness,risk_on,not_evaluable_no_selected_threshold,0,
