gate_name,gate_status,selected_model_id,selected_threshold_id,final_decision,failure_reason
selected_threshold_train_only,fail,,,risk_on_cost_rejector_diagnostic_only_or_no_candidate,risk_on_research_entry_hardening_train_threshold_not_found
train_cost_reduction_ge_15pct,fail,,,risk_on_cost_rejector_diagnostic_only_or_no_candidate,risk_on_research_entry_hardening_train_threshold_not_found
robustness_cost_reduction_ge_15pct,fail,,,risk_on_cost_rejector_diagnostic_only_or_no_candidate,risk_on_research_entry_hardening_train_threshold_not_found
train_any_recall_ge_90pct,fail,,,risk_on_cost_rejector_diagnostic_only_or_no_candidate,risk_on_research_entry_hardening_train_threshold_not_found
robustness_any_recall_ge_80pct,fail,,,risk_on_cost_rejector_diagnostic_only_or_no_candidate,risk_on_research_entry_hardening_train_threshold_not_found
train_e1_missed_retention_ge_85pct,fail,,,risk_on_cost_rejector_diagnostic_only_or_no_candidate,risk_on_research_entry_hardening_train_threshold_not_found
robustness_e1_missed_retention_ge_75pct,fail,,,risk_on_cost_rejector_diagnostic_only_or_no_candidate,risk_on_research_entry_hardening_train_threshold_not_found
robustness_e1_missed_capture_n_ge_60,fail,,,risk_on_cost_rejector_diagnostic_only_or_no_candidate,risk_on_research_entry_hardening_train_threshold_not_found
density_caps_pass,fail,,,risk_on_cost_rejector_diagnostic_only_or_no_candidate,risk_on_research_entry_hardening_train_threshold_not_found
