scope_id,split,upper_barrier_pct,lower_barrier_pct,horizon_sessions,complete_executable_event_n,same_bar_conflict_n,same_bar_conflict_rate,conflict_counted_as
all_c0,all,0.3,-0.15,120,28679,0,0.0,lower_first
all_c0,all,0.3,-0.12,10,28691,0,0.0,lower_first
all_c0,all,0.3,-0.12,20,28691,0,0.0,lower_first
all_c0,all,0.3,-0.12,40,28691,0,0.0,lower_first
all_c0,all,0.3,-0.12,60,28691,0,0.0,lower_first
all_c0,all,0.3,-0.12,80,28691,0,0.0,lower_first
all_c0,all,0.3,-0.12,120,28679,0,0.0,lower_first
all_c0,all,0.3,-0.1,10,28691,0,0.0,lower_first
all_c0,all,0.3,-0.1,20,28691,0,0.0,lower_first
all_c0,all,0.3,-0.1,40,28691,0,0.0,lower_first
all_c0,all,0.3,-0.1,60,28691,0,0.0,lower_first
all_c0,all,0.3,-0.1,80,28691,0,0.0,lower_first
all_c0,all,0.3,-0.1,120,28679,0,0.0,lower_first
all_c0,all,0.3,-0.08,10,28691,0,0.0,lower_first
all_c0,all,0.3,-0.08,20,28691,0,0.0,lower_first
all_c0,all,0.3,-0.08,40,28691,0,0.0,lower_first
all_c0,all,0.3,-0.08,60,28691,0,0.0,lower_first
all_c0,all,0.3,-0.08,80,28691,0,0.0,lower_first
all_c0,all,0.3,-0.08,120,28679,0,0.0,lower_first
all_c0,all,0.3,-0.06,10,28691,0,0.0,lower_first
all_c0,all,0.3,-0.06,20,28691,0,0.0,lower_first
all_c0,all,0.3,-0.06,40,28691,0,0.0,lower_first
all_c0,all,0.3,-0.06,60,28691,0,0.0,lower_first
all_c0,all,0.3,-0.06,80,28691,0,0.0,lower_first
all_c0,all,0.3,-0.06,120,28679,0,0.0,lower_first
all_c0,all,0.4,-0.2,10,28691,0,0.0,lower_first
all_c0,all,0.4,-0.2,20,28691,0,0.0,lower_first
all_c0,all,0.4,-0.2,40,28691,0,0.0,lower_first
all_c0,all,0.4,-0.2,60,28691,0,0.0,lower_first
all_c0,all,0.4,-0.2,80,28691,0,0.0,lower_first
all_c0,all,0.4,-0.2,120,28679,0,0.0,lower_first
all_c0,all,0.4,-0.15,10,28691,0,0.0,lower_first
all_c0,all,0.4,-0.15,20,28691,0,0.0,lower_first
all_c0,all,0.4,-0.15,40,28691,0,0.0,lower_first
all_c0,all,0.4,-0.15,60,28691,0,0.0,lower_first
all_c0,all,0.4,-0.15,80,28691,0,0.0,lower_first
all_c0,all,0.4,-0.15,120,28679,0,0.0,lower_first
all_c0,all,0.4,-0.12,10,28691,0,0.0,lower_first
all_c0,all,0.4,-0.12,20,28691,0,0.0,lower_first
all_c0,all,0.4,-0.12,40,28691,0,0.0,lower_first
all_c0,all,0.4,-0.12,60,28691,0,0.0,lower_first
all_c0,all,0.4,-0.12,80,28691,0,0.0,lower_first
all_c0,all,0.4,-0.12,120,28679,0,0.0,lower_first
all_c0,all,0.4,-0.1,10,28691,0,0.0,lower_first
all_c0,all,0.4,-0.1,20,28691,0,0.0,lower_first
all_c0,all,0.4,-0.1,40,28691,0,0.0,lower_first
all_c0,all,0.4,-0.1,60,28691,0,0.0,lower_first
all_c0,all,0.4,-0.1,80,28691,0,0.0,lower_first
all_c0,all,0.4,-0.1,120,28679,0,0.0,lower_first
all_c0,all,0.4,-0.08,10,28691,0,0.0,lower_first
all_c0,all,0.4,-0.08,20,28691,0,0.0,lower_first
all_c0,all,0.4,-0.08,40,28691,0,0.0,lower_first
all_c0,all,0.4,-0.08,60,28691,0,0.0,lower_first
all_c0,all,0.4,-0.08,80,28691,0,0.0,lower_first
all_c0,all,0.4,-0.08,120,28679,0,0.0,lower_first
all_c0,all,0.4,-0.06,10,28691,0,0.0,lower_first
all_c0,all,0.4,-0.06,20,28691,0,0.0,lower_first
all_c0,all,0.4,-0.06,40,28691,0,0.0,lower_first
all_c0,all,0.4,-0.06,60,28691,0,0.0,lower_first
all_c0,all,0.4,-0.06,80,28691,0,0.0,lower_first
all_c0,all,0.4,-0.06,120,28679,0,0.0,lower_first
all_c0,train,0.1,-0.2,10,14560,0,0.0,lower_first
all_c0,train,0.1,-0.2,20,14560,0,0.0,lower_first
all_c0,train,0.1,-0.2,40,14560,0,0.0,lower_first
all_c0,train,0.1,-0.2,60,14560,0,0.0,lower_first
all_c0,train,0.1,-0.2,80,14560,0,0.0,lower_first
all_c0,train,0.1,-0.2,120,14560,0,0.0,lower_first
all_c0,train,0.1,-0.15,10,14560,0,0.0,lower_first
all_c0,train,0.1,-0.15,20,14560,0,0.0,lower_first
all_c0,train,0.1,-0.15,40,14560,0,0.0,lower_first
all_c0,train,0.1,-0.15,60,14560,0,0.0,lower_first
all_c0,train,0.1,-0.15,80,14560,0,0.0,lower_first
all_c0,train,0.1,-0.15,120,14560,0,0.0,lower_first
all_c0,train,0.1,-0.12,10,14560,2,0.00013736263736263736,lower_first
all_c0,train,0.1,-0.12,20,14560,2,0.00013736263736263736,lower_first
all_c0,train,0.1,-0.12,40,14560,2,0.00013736263736263736,lower_first
all_c0,train,0.1,-0.12,60,14560,2,0.00013736263736263736,lower_first
all_c0,train,0.1,-0.12,80,14560,2,0.00013736263736263736,lower_first
all_c0,train,0.1,-0.12,120,14560,2,0.00013736263736263736,lower_first
all_c0,train,0.1,-0.1,10,14560,2,0.00013736263736263736,lower_first
all_c0,train,0.1,-0.1,20,14560,2,0.00013736263736263736,lower_first
all_c0,train,0.1,-0.1,40,14560,2,0.00013736263736263736,lower_first
all_c0,train,0.1,-0.1,60,14560,2,0.00013736263736263736,lower_first
all_c0,train,0.1,-0.1,80,14560,2,0.00013736263736263736,lower_first
all_c0,train,0.1,-0.1,120,14560,2,0.00013736263736263736,lower_first
all_c0,train,0.1,-0.08,10,14560,4,0.0002747252747252747,lower_first
all_c0,train,0.1,-0.08,20,14560,4,0.0002747252747252747,lower_first
all_c0,train,0.1,-0.08,40,14560,4,0.0002747252747252747,lower_first
all_c0,train,0.1,-0.08,60,14560,4,0.0002747252747252747,lower_first
all_c0,train,0.1,-0.08,80,14560,4,0.0002747252747252747,lower_first
all_c0,train,0.1,-0.08,120,14560,4,0.0002747252747252747,lower_first
all_c0,train,0.1,-0.06,10,14560,8,0.0005494505494505495,lower_first
all_c0,train,0.1,-0.06,20,14560,8,0.0005494505494505495,lower_first
all_c0,train,0.1,-0.06,40,14560,8,0.0005494505494505495,lower_first
all_c0,train,0.1,-0.06,60,14560,8,0.0005494505494505495,lower_first
all_c0,train,0.1,-0.06,80,14560,8,0.0005494505494505495,lower_first
all_c0,train,0.1,-0.06,120,14560,8,0.0005494505494505495,lower_first
all_c0,train,0.15,-0.2,10,14560,0,0.0,lower_first
all_c0,train,0.15,-0.2,20,14560,0,0.0,lower_first
all_c0,train,0.15,-0.2,40,14560,0,0.0,lower_first
all_c0,train,0.15,-0.2,60,14560,0,0.0,lower_first
all_c0,train,0.15,-0.2,80,14560,0,0.0,lower_first
all_c0,train,0.15,-0.2,120,14560,0,0.0,lower_first
all_c0,train,0.15,-0.15,10,14560,0,0.0,lower_first
all_c0,train,0.15,-0.15,20,14560,0,0.0,lower_first
all_c0,train,0.15,-0.15,40,14560,0,0.0,lower_first
all_c0,train,0.15,-0.15,60,14560,0,0.0,lower_first
all_c0,train,0.15,-0.15,80,14560,0,0.0,lower_first
all_c0,train,0.15,-0.15,120,14560,0,0.0,lower_first
all_c0,train,0.15,-0.12,10,14560,1,6.868131868131868e-05,lower_first
all_c0,train,0.15,-0.12,20,14560,1,6.868131868131868e-05,lower_first
all_c0,train,0.15,-0.12,40,14560,1,6.868131868131868e-05,lower_first
all_c0,train,0.15,-0.12,60,14560,1,6.868131868131868e-05,lower_first
all_c0,train,0.15,-0.12,80,14560,1,6.868131868131868e-05,lower_first
all_c0,train,0.15,-0.12,120,14560,1,6.868131868131868e-05,lower_first
all_c0,train,0.15,-0.1,10,14560,1,6.868131868131868e-05,lower_first
all_c0,train,0.15,-0.1,20,14560,1,6.868131868131868e-05,lower_first
all_c0,train,0.15,-0.1,40,14560,1,6.868131868131868e-05,lower_first
all_c0,train,0.15,-0.1,60,14560,1,6.868131868131868e-05,lower_first
all_c0,train,0.15,-0.1,80,14560,1,6.868131868131868e-05,lower_first
all_c0,train,0.15,-0.1,120,14560,1,6.868131868131868e-05,lower_first
all_c0,train,0.15,-0.08,10,14560,1,6.868131868131868e-05,lower_first
all_c0,train,0.15,-0.08,20,14560,1,6.868131868131868e-05,lower_first
all_c0,train,0.15,-0.08,40,14560,1,6.868131868131868e-05,lower_first
all_c0,train,0.15,-0.08,60,14560,1,6.868131868131868e-05,lower_first
all_c0,train,0.15,-0.08,80,14560,1,6.868131868131868e-05,lower_first
all_c0,train,0.15,-0.08,120,14560,1,6.868131868131868e-05,lower_first
all_c0,train,0.15,-0.06,10,14560,2,0.00013736263736263736,lower_first
all_c0,train,0.15,-0.06,20,14560,2,0.00013736263736263736,lower_first
all_c0,train,0.15,-0.06,40,14560,2,0.00013736263736263736,lower_first
all_c0,train,0.15,-0.06,60,14560,2,0.00013736263736263736,lower_first
all_c0,train,0.15,-0.06,80,14560,2,0.00013736263736263736,lower_first
all_c0,train,0.15,-0.06,120,14560,2,0.00013736263736263736,lower_first
