late_stage_bucket,scope_id,split,market_regime_bucket,event_n,selected_survival_candidate_label,selected_upper_barrier_pct,selected_lower_barrier_pct,selected_horizon_sessions,selected_upper_first_n,selected_upper_first_rate,selected_lower_first_n,selected_lower_first_rate,selected_neutral_n,selected_neutral_rate,expected_r_multiple_proxy,bigwinner_enrichment_ratio,late_stage_feature_policy_status
near_60d_high,all_c0,all,all,11875,survival_U0.10_L0.20_H120,0.1,-0.2,120,7687,0.6473263157894736,3099,0.26096842105263157,1086,0.09145263157894737,0.03441883163213377,1.3123629681092166,pass
near_60d_high,regime_risk_on,all,risk_on,7571,survival_U0.10_L0.20_H120,0.1,-0.2,120,4904,0.6477347774402324,2035,0.26878879936600186,631,0.08334434024567429,0.027867694450170673,1.290428853308316,pass
near_60d_high,regime_transition,all,transition,2584,survival_U0.10_L0.20_H120,0.1,-0.2,120,1574,0.6091331269349846,705,0.2728328173374613,303,0.11726006191950464,-0.004292965997276488,1.4665650148242269,pass
near_60d_high,regime_risk_off,all,risk_off,1720,survival_U0.10_L0.20_H120,0.1,-0.2,120,1209,0.702906976744186,359,0.20872093023255814,152,0.08837209302325581,0.12136416299643488,1.2425793887615038,pass
near_60d_high,all_c0,train,all,5846,survival_U0.10_L0.20_H120,0.1,-0.2,120,3841,0.6570304481696887,1622,0.27745466985973316,383,0.06551488197057817,0.02759770456349832,1.2636432651686034,pass
near_60d_high,regime_risk_on,train,risk_on,4099,survival_U0.10_L0.20_H120,0.1,-0.2,120,2645,0.645279336423518,1196,0.2917784825567212,258,0.06294218101976091,0.007236846856277847,1.239082860041849,pass
near_60d_high,regime_transition,train,transition,998,survival_U0.10_L0.20_H120,0.1,-0.2,120,695,0.6963927855711423,237,0.2374749498997996,66,0.06613226452905811,0.08407642384699728,1.3229026227836629,pass
near_60d_high,regime_risk_off,train,risk_off,749,survival_U0.10_L0.20_H120,0.1,-0.2,120,501,0.6688918558077437,189,0.2523364485981308,59,0.0787716955941255,0.06377046010016692,1.4163252442483454,pass
near_60d_high,all_c0,validation,all,2699,survival_U0.10_L0.20_H120,0.1,-0.2,120,1457,0.5398295665061134,847,0.31381993330863284,395,0.1463505001852538,-0.08378401207590529,1.5710537518570324,pass
near_60d_high,regime_risk_on,validation,risk_on,1077,survival_U0.10_L0.20_H120,0.1,-0.2,120,589,0.5468895078922934,331,0.3073351903435469,157,0.1457753017641597,-0.07391839694830164,1.5673053601746303,pass
near_60d_high,regime_transition,validation,transition,1106,survival_U0.10_L0.20_H120,0.1,-0.2,120,531,0.48010849909584086,390,0.352622061482821,185,0.16726943942133815,-0.15898183679569383,1.7357187696170746,pass
near_60d_high,regime_risk_off,validation,risk_off,516,survival_U0.10_L0.20_H120,0.1,-0.2,120,337,0.6531007751937985,126,0.2441860465116279,53,0.10271317829457365,0.056804217861414506,1.3270029673590504,pass
near_60d_high,all_c0,robustness,all,3330,survival_U0.10_L0.20_H120,0.1,-0.2,120,2389,0.7174174174174174,630,0.1891891891891892,308,0.09249249249249249,0.1422955325672826,1.2171583972553137,pass
near_60d_high,regime_risk_on,robustness,risk_on,2395,survival_U0.10_L0.20_H120,0.1,-0.2,120,1670,0.697286012526096,508,0.21210855949895616,216,0.09018789144050104,0.10898275907987885,1.2576809731322696,pass
