artifact_id,relative_path,resolved_path,required_flag,read_status,schema_status,exists,row_count,column_count,sha256,mtime_utc,notes
requirement,requirement_12a6_c0_local_survival_episode_audit.md,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/12_multi_k_winner_failure_path_morphology_research_v0/requirement_12a6_c0_local_survival_episode_audit.md,True,pass,not_applicable,True,,,44eda4dad1f7aecc0005c86551ae492cb81963790e14b611751d10093ca18a1b,2026-06-20T11:38:41.096702+00:00,
state_change_generation_decision,outputs/publishable/tables/12A2_state_change_backbone_candidate_generator/state_change_generation_decision.csv,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/12_multi_k_winner_failure_path_morphology_research_v0/outputs/publishable/tables/12A2_state_change_backbone_candidate_generator/state_change_generation_decision.csv,True,pass,pass,True,1.0,26.0,b63d37534cef28efccd89f67a23f60fff2b6e4153c36b9d309a24a2955da2f22,2026-06-18T16:22:15.339254+00:00,
state_change_candidate_event_canonical,outputs/publishable/tables/12A2_state_change_backbone_candidate_generator/state_change_candidate_event_canonical.csv.gz,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/12_multi_k_winner_failure_path_morphology_research_v0/outputs/publishable/tables/12A2_state_change_backbone_candidate_generator/state_change_candidate_event_canonical.csv.gz,True,pass,pass,True,28691.0,31.0,4035524801cfc0b21f499e5840fa110794885f7236525c4af0afa59f1b043048,2026-06-18T16:22:15.325939+00:00,
state_change_candidate_event_instances,outputs/publishable/tables/12A2_state_change_backbone_candidate_generator/state_change_candidate_event_instances.csv.gz,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/12_multi_k_winner_failure_path_morphology_research_v0/outputs/publishable/tables/12A2_state_change_backbone_candidate_generator/state_change_candidate_event_instances.csv.gz,True,pass,pass,True,301629.0,34.0,93203f41882e8ae3d85853a3d8cc0183888d58610f7640d9ca737fd93303f2ed,2026-06-18T16:22:14.922201+00:00,
state_change_canonicalization_spec,outputs/publishable/tables/12A2_state_change_backbone_candidate_generator/state_change_canonicalization_spec.csv,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/12_multi_k_winner_failure_path_morphology_research_v0/outputs/publishable/tables/12A2_state_change_backbone_candidate_generator/state_change_canonicalization_spec.csv,True,pass,not_applicable,True,6.0,17.0,9136f9c78c93ffd9d3dfc1b8926da6b5d6155df4508794aa7b121b27afe51178,2026-06-18T16:22:15.337551+00:00,
state_change_density_audit,outputs/publishable/tables/12A2_state_change_backbone_candidate_generator/state_change_density_audit.csv,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/12_multi_k_winner_failure_path_morphology_research_v0/outputs/publishable/tables/12A2_state_change_backbone_candidate_generator/state_change_density_audit.csv,True,pass,not_applicable,True,4.0,24.0,da6be37909f181118eb05211feeb18960797e3e4db552c16124a8b19bdda4990,2026-06-18T16:22:15.338456+00:00,
manifest_12a2,outputs/manifests/12A2_state_change_backbone_candidate_generator_manifest.json,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/12_multi_k_winner_failure_path_morphology_research_v0/outputs/manifests/12A2_state_change_backbone_candidate_generator_manifest.json,True,pass,file,True,,,707d33c38f2cacc5192a3e98c6b869a2288ef75d97dcd531f67ff07433ee96b7,2026-06-18T16:30:27.557477+00:00,
labels_yaml,topics/02_AFML_BIG_WINNER/configs/labels.yaml,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/configs/labels.yaml,True,pass,file,True,,,aa35d5050c9700f32bc5622b812160e7a83056cf8b46173a7d3c7d8ad12b28f3,2026-06-08T08:01:12.732781+00:00,
stock_daily_csv_dir,topics/02_AFML_BIG_WINNER/data/raw/akshare/day/qfq,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/data/raw/akshare/day/qfq,True,pass,directory,True,,,,2026-06-08T10:08:45.895136+00:00,
pit_executable_daily,topics/02_AFML_BIG_WINNER/data/processed/universe/pit_topn_400_100_executable_daily.csv,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/data/processed/universe/pit_topn_400_100_executable_daily.csv,True,pass,pass,True,1140000.0,33.0,e73968ddf54b646ab2d831467a0e2882970e5f96880df12c41bd01a39c243965,2026-06-10T06:48:09.406593+00:00,
episode_target_registry_06,outputs/publishable/tables/12A0_12A1_winner_registry_lineage_and_r_core_backbone_demotion_audit/episode_target_registry_06_risk_on_428.csv,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/12_multi_k_winner_failure_path_morphology_research_v0/outputs/publishable/tables/12A0_12A1_winner_registry_lineage_and_r_core_backbone_demotion_audit/episode_target_registry_06_risk_on_428.csv,True,pass,pass,True,428.0,21.0,beb4003b17d7dcfbd194c9e367f2dc72ecd3a973c7648f3d0d6ae7b214090c35,2026-06-18T12:32:00.305774+00:00,
pit_candidate_winner_registry_11a2,outputs/publishable/tables/12A0_12A1_winner_registry_lineage_and_r_core_backbone_demotion_audit/pit_candidate_winner_registry_11a2_446.csv,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/12_multi_k_winner_failure_path_morphology_research_v0/outputs/publishable/tables/12A0_12A1_winner_registry_lineage_and_r_core_backbone_demotion_audit/pit_candidate_winner_registry_11a2_446.csv,True,pass,pass,True,446.0,14.0,f2a09284fb30c7dcdf76bf04bb2566fa38ba827f51adf03c1aaccee6197275ae,2026-06-18T12:32:00.309260+00:00,
meta_label_event_targets_12a4,outputs/publishable/tables/12A4_state_change_meta_label_filter_feasibility/meta_label_event_targets.csv.gz,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/12_multi_k_winner_failure_path_morphology_research_v0/outputs/publishable/tables/12A4_state_change_meta_label_filter_feasibility/meta_label_event_targets.csv.gz,True,pass,pass,True,45903.0,16.0,049d8122637352ce73573d20e500d89b42850c07acde999ae6d207759b05c92c,2026-06-19T07:39:02.896825+00:00,
