overlap_source,overlap_window,scope_id,split,registry_scope_id,baseline_scope_id,selected_survival_candidate_label,selected_upper_first_survival_event_n,selected_upper_first_overlap_n,selected_upper_first_overlap_rate,baseline_event_n,baseline_overlap_n,baseline_overlap_rate,bigwinner_enrichment_ratio,enrichment_status,headline_enrichment_flag,diagnostic_only_flag
06_registry,low_to_high,regime_risk_on,all,regime_risk_on,regime_risk_on,survival_U0.10_L0.20_H120,9572,901,0.09412870873380694,15112,1016,0.06723133933298041,1.4000718960485143,ok,True,False
06_registry,low_to_high,all_c0,all,regime_risk_on,all_c0,survival_U0.10_L0.20_H120,18433,1370,0.07432322465144035,28679,1524,0.0531399281704383,1.398632388306206,ok,False,True
06_registry,low_to_high,regime_risk_on,train,regime_risk_on,regime_risk_on,survival_U0.10_L0.20_H120,5314,529,0.09954836281520511,8303,602,0.07250391424786222,1.3730067382967575,ok,True,False
06_registry,low_to_high,all_c0,train,regime_risk_on,all_c0,survival_U0.10_L0.20_H120,9536,761,0.07980285234899329,14560,849,0.05831043956043956,1.368586019082853,ok,False,True
06_registry,low_to_high,regime_risk_on,validation,regime_risk_on,regime_risk_on,survival_U0.10_L0.20_H120,1128,39,0.034574468085106384,2151,44,0.020455602045560205,1.6902200193423598,ok,True,False
06_registry,low_to_high,all_c0,validation,regime_risk_on,all_c0,survival_U0.10_L0.20_H120,3743,115,0.030724018167245525,6860,130,0.018950437317784258,1.6212828048254175,ok,False,True
06_registry,low_to_high,regime_risk_on,robustness,regime_risk_on,regime_risk_on,survival_U0.10_L0.20_H120,3130,333,0.10638977635782748,4658,370,0.0794332331472735,1.3393610223642174,ok,True,False
06_registry,low_to_high,all_c0,robustness,regime_risk_on,all_c0,survival_U0.10_L0.20_H120,5154,494,0.09584788513775708,7259,545,0.07507921201267392,1.2766234829632634,ok,False,True
06_registry,pre120_to_high,regime_risk_on,all,regime_risk_on,regime_risk_on,survival_U0.10_L0.20_H120,9572,1339,0.13988717091516925,15112,1602,0.1060084700899947,1.3195848482334818,ok,True,False
06_registry,pre120_to_high,all_c0,all,regime_risk_on,all_c0,survival_U0.10_L0.20_H120,18433,2051,0.1112678348613899,28679,2413,0.08413821960319398,1.322441042681227,ok,False,True
06_registry,pre120_to_high,regime_risk_on,train,regime_risk_on,regime_risk_on,survival_U0.10_L0.20_H120,5314,724,0.13624388407978924,8303,882,0.10622666506082139,1.2825770629415987,ok,True,False
06_registry,pre120_to_high,all_c0,train,regime_risk_on,all_c0,survival_U0.10_L0.20_H120,9536,1089,0.11419882550335571,14560,1283,0.08811813186813187,1.2959742005680897,ok,False,True
06_registry,pre120_to_high,regime_risk_on,validation,regime_risk_on,regime_risk_on,survival_U0.10_L0.20_H120,1128,53,0.04698581560283688,2151,60,0.02789400278940028,1.6844414893617021,ok,True,False
06_registry,pre120_to_high,all_c0,validation,regime_risk_on,all_c0,survival_U0.10_L0.20_H120,3743,151,0.04034197168047021,6860,178,0.025947521865889212,1.5547523917304813,ok,False,True
06_registry,pre120_to_high,regime_risk_on,robustness,regime_risk_on,regime_risk_on,survival_U0.10_L0.20_H120,3130,562,0.17955271565495207,4658,660,0.14169171318162302,1.267206893213283,ok,True,False
06_registry,pre120_to_high,all_c0,robustness,regime_risk_on,all_c0,survival_U0.10_L0.20_H120,5154,811,0.15735351183546759,7259,952,0.13114754098360656,1.1998205277454403,ok,False,True
11a2_registry,pre120_to_high,regime_risk_on,all,regime_risk_on,regime_risk_on,survival_U0.10_L0.20_H120,9572,103,0.010760551608859173,15112,111,0.007345156167284277,1.4649860893070255,ok,True,False
11a2_registry,pre120_to_high,all_c0,all,regime_risk_on,all_c0,survival_U0.10_L0.20_H120,18433,103,0.005587804481093691,28679,111,0.003870427839185467,1.4437175199395131,ok,False,True
11a2_registry,pre120_to_high,regime_risk_on,train,regime_risk_on,regime_risk_on,survival_U0.10_L0.20_H120,5314,31,0.005833646970267219,8303,34,0.004094905455859328,1.424610905709668,ok,True,False
11a2_registry,pre120_to_high,all_c0,train,regime_risk_on,all_c0,survival_U0.10_L0.20_H120,9536,31,0.0032508389261744967,14560,34,0.002335164835164835,1.3921239636794316,ok,False,True
11a2_registry,pre120_to_high,regime_risk_on,validation,regime_risk_on,regime_risk_on,survival_U0.10_L0.20_H120,1128,3,0.0026595744680851063,2151,3,0.001394700139470014,1.9069148936170213,ok,True,False
11a2_registry,pre120_to_high,all_c0,validation,regime_risk_on,all_c0,survival_U0.10_L0.20_H120,3743,3,0.0008014961261020571,6860,3,0.00043731778425655976,1.8327544750200373,ok,False,True
11a2_registry,pre120_to_high,regime_risk_on,robustness,regime_risk_on,regime_risk_on,survival_U0.10_L0.20_H120,3130,69,0.022044728434504793,4658,74,0.0158866466294547,1.3876262844313962,ok,True,False
11a2_registry,pre120_to_high,all_c0,robustness,regime_risk_on,all_c0,survival_U0.10_L0.20_H120,5154,69,0.01338766006984866,7259,74,0.010194241631078661,1.3132570871220464,ok,False,True
12a4_risk_on_sanity,risk_on_sanity_winner_120,regime_risk_on,all,regime_risk_on,regime_risk_on,survival_U0.10_L0.20_H120,9572,2380,0.2486418721270372,15112,2516,0.16649020645844362,1.4934324211382297,ok,False,True
12a4_risk_on_sanity,risk_on_sanity_winner_120,all_c0,all,regime_risk_on,all_c0,survival_U0.10_L0.20_H120,18433,2380,0.12911625888352413,28679,2516,0.0877296976882039,1.4717508698412514,ok,False,True
12a4_risk_on_sanity,risk_on_sanity_winner_120,regime_risk_on,train,regime_risk_on,regime_risk_on,survival_U0.10_L0.20_H120,5314,1334,0.2510350018818216,8303,1416,0.17054076839696494,1.471994082362122,ok,False,True
12a4_risk_on_sanity,risk_on_sanity_winner_120,all_c0,train,regime_risk_on,all_c0,survival_U0.10_L0.20_H120,9536,1334,0.13989093959731544,14560,1416,0.09725274725274725,1.4384266105486672,ok,False,True
