scope_id,split,horizon_sessions,event_n,complete_executable_event_n,mfe_p25,mfe_p50,mfe_p75,mfe_p90,mfe_p95,mae_p25,mae_p50,mae_p75,mae_p90,mae_p95,close_return_p25,close_return_p50,close_return_p75,close_return_p90,close_return_p95
all_c0,all,10,28691,28691,0.022770398481973375,0.05423728813559303,0.10658123862846614,0.1868917576961271,0.25716095559845564,-0.09181141439205953,-0.050287907869481896,-0.023158448835131906,-0.009633911368015502,-0.005036939813812591,-0.05496404042783415,-0.005504587155963359,0.04673090450901729,0.11232876712328776,0.17231689053167198
all_c0,all,20,28691,28691,0.031725150892513154,0.07491289198606288,0.14870985360135336,0.2618510158013545,0.3607376070050181,-0.12625915138725263,-0.07119741100323618,-0.0333140704419993,-0.01354741595584541,-0.007026584005490277,-0.0778380695176707,-0.011576135351736516,0.06281994941925284,0.15864661654135337,0.23454558640580636
all_c0,all,40,28691,28691,0.043905154637569166,0.10488505747126453,0.2106004234984783,0.3691099476439792,0.4993842494555153,-0.17266560609411952,-0.10195646183521623,-0.047875978694297994,-0.019036697247706402,-0.0096551724137931,-0.10969349052990507,-0.022514721163838014,0.08517008298071116,0.22140921409214087,0.3315083617293466
all_c0,all,60,28691,28691,0.05394711495910498,0.12897196261682242,0.25961807172799256,0.4547908232118758,0.6225842451172394,-0.20573253792405227,-0.12524983344437035,-0.05999999999999994,-0.023346303501945553,-0.011939812108504144,-0.1318412929360389,-0.029906542056074792,0.0956211024560214,0.2585278276481149,0.3971015957943198
all_c0,all,80,28691,28691,0.06266970327165378,0.14937012597480503,0.3021428449200302,0.5265993265993267,0.7218938619239988,-0.23076923076923084,-0.1427104722792608,-0.06972792206180684,-0.02749999999999997,-0.013703445121217184,-0.1459309432585295,-0.030122476001324117,0.11111111111111094,0.29740134744947055,0.4521544326833369
all_c0,all,120,28691,28679,0.0793178082966206,0.18602150537634388,0.3701017898530373,0.6536050182592683,0.9074536148432495,-0.2700456578165557,-0.17142857142857149,-0.08495938828605881,-0.03381370347689997,-0.01657441287545044,-0.16828478964401294,-0.034610630407911014,0.13282574347937193,0.36255768400783506,0.5688486037636653
all_c0,train,10,14560,14560,0.024961054909226565,0.05963627688468032,0.11368892139449027,0.19220371099733055,0.2585046226749226,-0.09670851346073855,-0.053795285901353074,-0.024903060517933756,-0.010370199692780335,-0.005681013391707502,-0.05776078553415537,-0.0056464702107145714,0.05057703138351588,0.11980597538536443,0.17922662718175097
all_c0,train,20,14560,14560,0.03437643876611429,0.08163265306122436,0.15722655593772888,0.2731039242518253,0.36693445738205976,-0.1344637360734032,-0.07692307692307687,-0.03615478864610991,-0.015254723563258419,-0.008049514233616425,-0.08281649842384983,-0.013333333333333308,0.06847696387139562,0.17048545601659174,0.24658423768012785
all_c0,train,40,14560,14560,0.04766862989490439,0.11322041751396439,0.22687601030981586,0.38970718534088666,0.5218622060057899,-0.17978726306897644,-0.10997515394401275,-0.05322777027460021,-0.021285859864743868,-0.010912563952878856,-0.11463335204346403,-0.02537791392299521,0.0917579604618936,0.238400769903762,0.35065864922666795
all_c0,train,60,14560,14560,0.057210250522535366,0.137479541734861,0.27909334242481376,0.4789427456247023,0.6480798394582369,-0.2143611067237105,-0.13549579712930276,-0.06848223618643359,-0.027487366080452786,-0.014097981646171159,-0.14197270039993046,-0.04041765362520072,0.09577530022827291,0.26994609127745456,0.4091850222738694
