calendar_month_id,month_end,previous_month_end,pit_member_count
2017-01,2017-01-26,,0
2017-02,2017-02-28,2017-01-26,0
2017-03,2017-03-31,2017-02-28,0
2017-04,2017-04-28,2017-03-31,0
2017-05,2017-05-31,2017-04-28,0
2017-06,2017-06-30,2017-05-31,0
2017-07,2017-07-31,2017-06-30,143
2017-08,2017-08-31,2017-07-31,149
2017-09,2017-09-29,2017-08-31,152
2017-10,2017-10-31,2017-09-29,156
2017-11,2017-11-30,2017-10-31,155
2017-12,2017-12-29,2017-11-30,154
2018-01,2018-01-31,2017-12-29,152
2018-02,2018-02-28,2018-01-31,155
2018-03,2018-03-30,2018-02-28,152
2018-04,2018-04-27,2018-03-30,147
2018-05,2018-05-31,2018-04-27,145
2018-06,2018-06-29,2018-05-31,137
2018-07,2018-07-31,2018-06-29,139
2018-08,2018-08-31,2018-07-31,131
2018-09,2018-09-28,2018-08-31,131
2018-10,2018-10-31,2018-09-28,117
2018-11,2018-11-30,2018-10-31,122
2018-12,2018-12-28,2018-11-30,120
2019-01,2019-01-31,2018-12-28,126
2019-02,2019-02-28,2019-01-31,144
2019-03,2019-03-29,2019-02-28,155
2019-04,2019-04-30,2019-03-29,156
2019-05,2019-05-31,2019-04-30,151
2019-06,2019-06-28,2019-05-31,152
2019-07,2019-07-31,2019-06-28,154
2019-08,2019-08-30,2019-07-31,154
2019-09,2019-09-30,2019-08-30,151
2019-10,2019-10-31,2019-09-30,156
2019-11,2019-11-29,2019-10-31,156
2019-12,2019-12-31,2019-11-29,169
2020-01,2020-01-23,2019-12-31,171
2020-02,2020-02-28,2020-01-23,174
2020-03,2020-03-31,2020-02-28,167
2020-04,2020-04-30,2020-03-31,172
2020-05,2020-05-29,2020-04-30,176
2020-06,2020-06-30,2020-05-29,184
2020-07,2020-07-31,2020-06-30,222
2020-08,2020-08-31,2020-07-31,230
2020-09,2020-09-30,2020-08-31,209
2020-10,2020-10-30,2020-09-30,211
2020-11,2020-11-30,2020-10-30,221
2020-12,2020-12-31,2020-11-30,227
2021-01,2021-01-29,2020-12-31,229
2021-02,2021-02-26,2021-01-29,232
2021-03,2021-03-31,2021-02-26,230
2021-04,2021-04-30,2021-03-31,231
2021-05,2021-05-31,2021-04-30,246
2021-06,2021-06-30,2021-05-31,239
2021-07,2021-07-30,2021-06-30,237
2021-08,2021-08-31,2021-07-30,251
2021-09,2021-09-30,2021-08-31,249
2021-10,2021-10-29,2021-09-30,251
2021-11,2021-11-30,2021-10-29,256
2021-12,2021-12-31,2021-11-30,270
2022-01,2022-01-28,2021-12-31,236
2022-02,2022-02-28,2022-01-28,244
2022-03,2022-03-31,2022-02-28,225
2022-04,2022-04-29,2022-03-31,212
2022-05,2022-05-31,2022-04-29,221
2022-06,2022-06-30,2022-05-31,239
2022-07,2022-07-29,2022-06-30,233
2022-08,2022-08-31,2022-07-29,228
2022-09,2022-09-30,2022-08-31,220
2022-10,2022-10-31,2022-09-30,215
2022-11,2022-11-30,2022-10-31,227
2022-12,2022-12-30,2022-11-30,220
2023-01,2023-01-31,2022-12-30,229
2023-02,2023-02-28,2023-01-31,240
2023-03,2023-03-31,2023-02-28,237
2023-04,2023-04-28,2023-03-31,232
2023-05,2023-05-31,2023-04-28,223
2023-06,2023-06-30,2023-05-31,227
2023-07,2023-07-31,2023-06-30,231
2023-08,2023-08-31,2023-07-31,223
2023-09,2023-09-28,2023-08-31,226
2023-10,2023-10-31,2023-09-28,212
2023-11,2023-11-30,2023-10-31,214
2023-12,2023-12-29,2023-11-30,207
2024-01,2024-01-31,2023-12-29,189
2024-02,2024-02-29,2024-01-31,210
2024-03,2024-03-29,2024-02-29,213
2024-04,2024-04-30,2024-03-29,222
2024-05,2024-05-31,2024-04-30,225
2024-06,2024-06-28,2024-05-31,212
2024-07,2024-07-31,2024-06-28,210
2024-08,2024-08-30,2024-07-31,196
2024-09,2024-09-30,2024-08-30,234
2024-10,2024-10-31,2024-09-30,237
2024-11,2024-11-29,2024-10-31,225
2024-12,2024-12-31,2024-11-29,222
2025-01,2025-01-27,2024-12-31,222
2025-02,2025-02-28,2025-01-27,226
2025-03,2025-03-31,2025-02-28,228
2025-04,2025-04-30,2025-03-31,216
2025-05,2025-05-30,2025-04-30,220
2025-06,2025-06-30,2025-05-30,223
2025-07,2025-07-31,2025-06-30,232
2025-08,2025-08-29,2025-07-31,259
2025-09,2025-09-30,2025-08-29,268
2025-10,2025-10-31,2025-09-30,276
2025-11,2025-11-28,2025-10-31,262
2025-12,2025-12-31,2025-11-28,275
2026-01,2026-01-30,2025-12-31,301
2026-02,2026-02-27,2026-01-30,308
2026-03,2026-03-31,2026-02-27,287
2026-04,2026-04-30,2026-03-31,296
