split,horizon,date_weighted_net_return,date_weighted_matched_delta,date_weighted_baseline_lift,date_count,year_min_date_count
train,H5,-0.006951748162042128,0.001421435181112705,0.001182274474658031,84,34
train,H10,-0.001549186790034201,0.0031611895797832696,0.0029290678749928174,83,34
train,H20,0.005947669996865571,0.001187722492219627,0.0016433363665929207,81,34
validation,H5,-0.01201511168336899,0.00045706419127567306,8.726551877915395e-05,97,48
validation,H10,-0.01314240437357401,0.0010422049602381593,0.0005816472783792162,96,47
validation,H20,-0.017521177625451523,0.00111754751486604,0.00010330904904504419,94,45
robustness,H5,-0.006200200915220404,0.0007634059150530736,0.000495445672154603,102,51
robustness,H10,-0.001565985965732048,0.0001518238004475946,-4.913810849467615e-05,101,50
robustness,H20,0.00730350889536979,0.0009281218709710407,0.0003759287221737288,99,48
