split,horizon,score_raw,count,mean
robustness,H10,"(0.0556, 0.0899]",939,-0.004021502504218459
robustness,H10,"(0.0899, 0.106]",934,-0.00014105161763239223
robustness,H10,"(0.106, 0.127]",893,-0.0051815821163603976
robustness,H10,"(0.127, 0.157]",921,-0.0017865297857161927
robustness,H10,"(0.157, 0.322]",816,-0.0003175405118842507
robustness,H20,"(0.0556, 0.0899]",923,0.004491239889911241
robustness,H20,"(0.0899, 0.106]",896,0.004484843134071769
robustness,H20,"(0.106, 0.127]",868,0.006929629908010229
robustness,H20,"(0.127, 0.157]",891,0.009377319434962013
robustness,H20,"(0.157, 0.322]",789,0.006753296531973855
robustness,H5,"(0.0556, 0.0899]",951,-0.0060277760021620235
robustness,H5,"(0.0899, 0.106]",955,-0.005462084559931523
robustness,H5,"(0.106, 0.127]",901,-0.008482787634650511
robustness,H5,"(0.127, 0.157]",938,-0.006804489076930552
robustness,H5,"(0.157, 0.322]",837,-0.0055289104565429984
train,H10,"(0.0556, 0.0899]",702,-0.00817771977385592
train,H10,"(0.0899, 0.106]",752,0.00139777664173804
train,H10,"(0.106, 0.127]",748,-0.0029224214885251666
train,H10,"(0.127, 0.157]",698,0.0003709239630469636
train,H10,"(0.157, 0.322]",816,-0.0017871541480084035
train,H20,"(0.0556, 0.0899]",671,-0.0060735541162420794
train,H20,"(0.0899, 0.106]",723,0.014116281265043787
train,H20,"(0.106, 0.127]",727,0.005098861143821712
train,H20,"(0.127, 0.157]",676,0.0041777901128442685
train,H20,"(0.157, 0.322]",780,0.006434720556479169
train,H5,"(0.0556, 0.0899]",708,-0.008700857676079908
train,H5,"(0.0899, 0.106]",767,-0.0075875539625797
train,H5,"(0.106, 0.127]",769,-0.006072026916631401
train,H5,"(0.127, 0.157]",713,-0.007076973757684277
train,H5,"(0.157, 0.322]",840,-0.007577571938607583
validation,H10,"(0.0556, 0.0899]",858,-0.016079525189888165
validation,H10,"(0.0899, 0.106]",817,-0.011362021389759938
validation,H10,"(0.106, 0.127]",859,-0.014803205859526351
validation,H10,"(0.127, 0.157]",880,-0.009504950539089865
validation,H10,"(0.157, 0.322]",865,-0.014469171332125587
validation,H20,"(0.0556, 0.0899]",842,-0.020123840666766715
validation,H20,"(0.0899, 0.106]",790,-0.013557659626817415
validation,H20,"(0.106, 0.127]",831,-0.01929311624997044
validation,H20,"(0.127, 0.157]",856,-0.014154337389235288
validation,H20,"(0.157, 0.322]",837,-0.02149384623192561
validation,H5,"(0.0556, 0.0899]",874,-0.014805960567321514
validation,H5,"(0.0899, 0.106]",833,-0.010487736071974351
validation,H5,"(0.106, 0.127]",871,-0.01132366638070224
validation,H5,"(0.127, 0.157]",892,-0.010313191243712291
validation,H5,"(0.157, 0.322]",887,-0.013387047237385449
