split,horizon,count,mean,max
robustness,H10,4503,-0.002318363953493623,0.49882321368822424
robustness,H20,4367,0.006380191254167114,0.6093303698087105
robustness,H5,4582,-0.006460498951963803,0.46051851336797833
train,H10,3716,-0.0021730396605610203,0.5202133062739425
train,H20,3577,0.004942928919352274,0.7639452449893822
train,H5,3797,-0.007390121817358971,0.3566974198658792
validation,H10,4279,-0.013244951530352598,0.4224140717357443
validation,H20,4156,-0.017755983313675627,0.8511369898574006
validation,H5,4357,-0.012075575990437813,0.307573340091694
