split,horizon,market_state,beta_bucket,count,mean
robustness,H10,mixed,high_beta,208,0.0007418432241340602
robustness,H10,mixed,low_beta,287,-0.009179166674525688
robustness,H10,mixed,mid_beta,224,-0.007309624692777412
robustness,H10,risk_off,high_beta,469,0.022931922208663507
robustness,H10,risk_off,low_beta,566,-0.0009234651285912859
robustness,H10,risk_off,mid_beta,384,0.013105256989465191
robustness,H10,risk_on,high_beta,724,-0.004850832110812891
robustness,H10,risk_on,low_beta,947,-0.008330238694897112
robustness,H10,risk_on,mid_beta,694,-0.014677507134250298
robustness,H20,mixed,high_beta,189,-0.0013540731378884855
robustness,H20,mixed,low_beta,260,0.0002628366298427088
robustness,H20,mixed,mid_beta,211,0.0008353380250701569
robustness,H20,risk_off,high_beta,448,0.04619511921002969
robustness,H20,risk_off,low_beta,534,0.008002471756705766
robustness,H20,risk_off,mid_beta,379,0.025858046530621973
robustness,H20,risk_on,high_beta,710,0.00844257596834725
robustness,H20,risk_on,low_beta,944,-0.005354203858688549
robustness,H20,risk_on,mid_beta,692,-0.011322503282145464
robustness,H5,mixed,high_beta,229,0.004759828922038604
robustness,H5,mixed,low_beta,313,-0.010187315258183801
robustness,H5,mixed,mid_beta,235,-0.004834338584336886
robustness,H5,risk_off,high_beta,477,0.005031066823212752
robustness,H5,risk_off,low_beta,570,-0.003400180324880381
robustness,H5,risk_off,mid_beta,389,0.0023070682022133236
robustness,H5,risk_on,high_beta,721,-0.010889558843253837
robustness,H5,risk_on,low_beta,949,-0.010243118662232311
robustness,H5,risk_on,mid_beta,699,-0.014527012677570037
train,H10,mixed,high_beta,250,-0.002147344770259131
train,H10,mixed,low_beta,295,-0.005114037897214164
train,H10,mixed,mid_beta,193,0.006948929964522726
train,H10,risk_off,high_beta,373,0.0025862132170202867
train,H10,risk_off,low_beta,437,-0.011074381406074522
train,H10,risk_off,mid_beta,302,0.01092335403075358
train,H10,risk_on,high_beta,639,-0.001856552546900606
train,H10,risk_on,low_beta,580,-0.010391036190478434
train,H10,risk_on,mid_beta,647,0.0006467554955343452
train,H20,mixed,high_beta,246,0.004971777961308244
train,H20,mixed,low_beta,295,-0.004568958761525669
train,H20,mixed,mid_beta,191,0.01978806016181261
train,H20,risk_off,high_beta,370,0.008176134441861433
train,H20,risk_off,low_beta,428,-0.00454534641127355
train,H20,risk_off,mid_beta,298,0.017149920205671552
train,H20,risk_on,high_beta,616,-0.0020774106248117076
train,H20,risk_on,low_beta,522,-0.006050240226475649
train,H20,risk_on,mid_beta,611,0.02008771743393723
train,H5,mixed,high_beta,249,-0.0018806867656223458
train,H5,mixed,low_beta,302,-0.013612274038208605
train,H5,mixed,mid_beta,194,0.000473999075567223
train,H5,risk_off,high_beta,376,0.0024659787426558337
train,H5,risk_off,low_beta,438,-0.005235635235962898
train,H5,risk_off,mid_beta,303,0.006104005270467112
train,H5,risk_on,high_beta,657,-0.011703153116942575
train,H5,risk_on,low_beta,606,-0.015756562535679867
train,H5,risk_on,mid_beta,672,-0.010147493263955653
validation,H10,mixed,high_beta,221,-0.015319078285901346
validation,H10,mixed,low_beta,284,-0.009760666186309202
validation,H10,mixed,mid_beta,296,-0.0188702397012619
validation,H10,risk_off,high_beta,782,-0.014296189545714752
validation,H10,risk_off,low_beta,918,-0.013336698893046124
validation,H10,risk_off,mid_beta,921,-0.011741081077892356
validation,H10,risk_on,high_beta,246,-0.010729856217006313
validation,H10,risk_on,low_beta,314,-0.015875611071002847
validation,H10,risk_on,mid_beta,297,-0.010341007278540888
validation,H20,mixed,high_beta,222,-0.006706713111165432
validation,H20,mixed,low_beta,284,-0.008726130911005162
validation,H20,mixed,mid_beta,295,-0.005442638612841606
validation,H20,risk_off,high_beta,744,-0.030829636387053154
validation,H20,risk_off,low_beta,882,-0.02001407932613178
validation,H20,risk_off,mid_beta,875,-0.023112685621799623
validation,H20,risk_on,high_beta,244,-0.007395738481027833
validation,H20,risk_on,low_beta,312,-0.007090118310761602
validation,H20,risk_on,mid_beta,298,-0.011379974202767072
validation,H5,mixed,high_beta,223,-0.0189992746089985
validation,H5,mixed,low_beta,289,-0.009547731253979336
validation,H5,mixed,mid_beta,296,-0.014308228564429098
validation,H5,risk_off,high_beta,805,-0.012968536930686088
validation,H5,risk_off,low_beta,939,-0.011777461455984871
validation,H5,risk_off,mid_beta,940,-0.010466402383517
validation,H5,risk_on,high_beta,248,-0.010811991020671777
validation,H5,risk_on,low_beta,318,-0.014553746444672298
validation,H5,risk_on,mid_beta,299,-0.009148242293141711
