source_board_ts_code,reference_member_n,minimum_member_pass,duplicate_group_id,retained_board_id,retained,synthetic,board_member_sha256,run_id,contract_version
BK0490.DC,56,True,fb617ddef52900d27774d7acf9b0f5e08287c0ca5cd20f4b60792a5983f5bef3,BK0490.DC,True,False,fb617ddef52900d27774d7acf9b0f5e08287c0ca5cd20f4b60792a5983f5bef3,20B_P4_d8_d10_sector_crowding_cost_stoploss_sensitivity_v6,20B_P4_PORTSENS_v6
BK0492.DC,4,False,9e1c6dca69f3029fd01ec50673730b8e7c5dff10e656666c3268ac36db85fd53,,False,False,9e1c6dca69f3029fd01ec50673730b8e7c5dff10e656666c3268ac36db85fd53,20B_P4_d8_d10_sector_crowding_cost_stoploss_sensitivity_v6,20B_P4_PORTSENS_v6
BK0493.DC,33,True,62f4f457691485720a47f5f25925e095a978e15e1135754fe8c7ef0306855573,BK0493.DC,True,False,62f4f457691485720a47f5f25925e095a978e15e1135754fe8c7ef0306855573,20B_P4_d8_d10_sector_crowding_cost_stoploss_sensitivity_v6,20B_P4_PORTSENS_v6
BK0494.DC,30,True,f2704485dec216ca167a27132f1e49372894b738bb5511ece0bf8a4ec080c8bc,BK0494.DC,True,False,f2704485dec216ca167a27132f1e49372894b738bb5511ece0bf8a4ec080c8bc,20B_P4_d8_d10_sector_crowding_cost_stoploss_sensitivity_v6,20B_P4_PORTSENS_v6
BK0498.DC,15,True,1106937c03fe701b89887b5b1a8e5bac613ff1557bafa6e657fd10d06f2b999d,BK0498.DC,True,False,1106937c03fe701b89887b5b1a8e5bac613ff1557bafa6e657fd10d06f2b999d,20B_P4_d8_d10_sector_crowding_cost_stoploss_sensitivity_v6,20B_P4_PORTSENS_v6
BK0499.DC,68,True,f0c13ae704263d916a698c3e2e60f6116d47801d2fb64008018ee7b29161f0d9,BK0499.DC,True,False,f0c13ae704263d916a698c3e2e60f6116d47801d2fb64008018ee7b29161f0d9,20B_P4_d8_d10_sector_crowding_cost_stoploss_sensitivity_v6,20B_P4_PORTSENS_v6
BK0500.DC,226,True,bdbde7ccb4395210ade84b09f6126d2ee019f233b9d6e875d8ce6ad8b1abffd6,BK0500.DC,True,False,bdbde7ccb4395210ade84b09f6126d2ee019f233b9d6e875d8ce6ad8b1abffd6,20B_P4_d8_d10_sector_crowding_cost_stoploss_sensitivity_v6,20B_P4_PORTSENS_v6
BK0505.DC,2,False,421490e8af664fb619620be05febdd0a13992a70939ceaa3970adcf4d4edd96f,,False,False,421490e8af664fb619620be05febdd0a13992a70939ceaa3970adcf4d4edd96f,20B_P4_d8_d10_sector_crowding_cost_stoploss_sensitivity_v6,20B_P4_PORTSENS_v6
BK0506.DC,49,True,ea16390797cf495ecb8428cdd87c9b994d837a6ba9bbc055aa8db602e3429b70,BK0506.DC,True,False,ea16390797cf495ecb8428cdd87c9b994d837a6ba9bbc055aa8db602e3429b70,20B_P4_d8_d10_sector_crowding_cost_stoploss_sensitivity_v6,20B_P4_PORTSENS_v6
BK0509.DC,16,True,30699674fd037e545a59341167e391da50ee873ae85c7d4844f79d5723a8b79f,BK0509.DC,True,False,30699674fd037e545a59341167e391da50ee873ae85c7d4844f79d5723a8b79f,20B_P4_d8_d10_sector_crowding_cost_stoploss_sensitivity_v6,20B_P4_PORTSENS_v6
