artifact_role,artifact_path,expected_sha256_or_root_hash,observed_sha256_or_root_hash,byte_size,mtime_utc,hash_match,schema_match,status,blocking_reason,run_id,contract_version
MLRANK_REGISTRY,topics/02_AFML_BIG_WINNER/experiments/pending/20_ohlcv_positive_beta_exposure_research/outputs/20B_P4_learned_monotonic_return_ranking_diagnostic_v1/output_hashes_20b_p4_mlrank.json,c535431f2f71cb6a87a738b495266662b3a8d002c173f8673defe23f855453c8,c535431f2f71cb6a87a738b495266662b3a8d002c173f8673defe23f855453c8,7173,2026-07-14T14:50:38.620524Z,True,True,pass,,20B_P4_d8_d10_sector_crowding_cost_stoploss_sensitivity_v6,20B_P4_PORTSENS_v6
MLRANK_MANIFEST,topics/02_AFML_BIG_WINNER/experiments/pending/20_ohlcv_positive_beta_exposure_research/outputs/20B_P4_learned_monotonic_return_ranking_diagnostic_v1/manifest_20b_p4_mlrank.json,052531faec928e0e2d4266dd65db60becf9803b90e105099fd943173d1982ab1,052531faec928e0e2d4266dd65db60becf9803b90e105099fd943173d1982ab1,2849,2026-07-14T14:50:38.616666Z,True,True,pass,,20B_P4_d8_d10_sector_crowding_cost_stoploss_sensitivity_v6,20B_P4_PORTSENS_v6
MLRANK_DECISION,topics/02_AFML_BIG_WINNER/experiments/pending/20_ohlcv_positive_beta_exposure_research/outputs/20B_P4_learned_monotonic_return_ranking_diagnostic_v1/20B_P4_learned_monotonic_return_ranking_diagnostic_decision.csv,b1758469b0b43cc21543d7e469a7d531ea08cbe5c9c08110ac345df2fac5c1cf,b1758469b0b43cc21543d7e469a7d531ea08cbe5c9c08110ac345df2fac5c1cf,2879,2026-07-14T14:50:38.616176Z,True,True,pass,,20B_P4_d8_d10_sector_crowding_cost_stoploss_sensitivity_v6,20B_P4_PORTSENS_v6
BUCKET_ASSIGNMENT,topics/02_AFML_BIG_WINNER/experiments/pending/20_ohlcv_positive_beta_exposure_research/outputs/20B_P4_learned_monotonic_return_ranking_diagnostic_v1/scores/robustness_model_bucket_assignment.parquet,9611aad6cd4b8933c882a8d3ae0e04561e8c360820f9c474a9de3a5840e5e846,9611aad6cd4b8933c882a8d3ae0e04561e8c360820f9c474a9de3a5840e5e846,467930,2026-07-14T14:50:30.107661Z,True,True,pass,,20B_P4_d8_d10_sector_crowding_cost_stoploss_sensitivity_v6,20B_P4_PORTSENS_v6
CONTRACT20A_REGISTRY,topics/02_AFML_BIG_WINNER/experiments/pending/20_ohlcv_positive_beta_exposure_research/outputs/20A_paper_lineage_data_and_replication_contract/output_hashes_20a_paper_lineage_data_and_replication_contract.json,cbd05bc7bf39c084ce488fafb40d3362b805e4065fc252e67e21964f64d27f6b,cbd05bc7bf39c084ce488fafb40d3362b805e4065fc252e67e21964f64d27f6b,379,2026-07-10T15:21:08.511582Z,True,True,pass,,20B_P4_d8_d10_sector_crowding_cost_stoploss_sensitivity_v6,20B_P4_PORTSENS_v6
CONTRACT20A_MANIFEST,topics/02_AFML_BIG_WINNER/experiments/pending/20_ohlcv_positive_beta_exposure_research/outputs/20A_paper_lineage_data_and_replication_contract/manifest_20a_paper_lineage_data_and_replication_contract.json,5af3b27b0189dfc935b3622cf004a250de793b5e1aef07917866cb3b8245eda4,5af3b27b0189dfc935b3622cf004a250de793b5e1aef07917866cb3b8245eda4,602,2026-07-10T15:21:08.511313Z,True,True,pass,,20B_P4_d8_d10_sector_crowding_cost_stoploss_sensitivity_v6,20B_P4_PORTSENS_v6
CONTRACT20A_FREEZE_REGISTRY,topics/02_AFML_BIG_WINNER/experiments/pending/20_ohlcv_positive_beta_exposure_research/outputs/20A_paper_lineage_data_and_replication_contract/freeze/freeze_output_hashes_20a.json,da5902ac7a987ec061cdffc33e8735ad34c22f1ae771a43540fe005fd77acb05,da5902ac7a987ec061cdffc33e8735ad34c22f1ae771a43540fe005fd77acb05,3895,2026-07-10T15:21:02.425198Z,True,True,pass,,20B_P4_d8_d10_sector_crowding_cost_stoploss_sensitivity_v6,20B_P4_PORTSENS_v6
BOARD_MEMBER,topics/02_AFML_BIG_WINNER/experiments/pending/19_entry_universe_pit_tradability_preflight/outputs/tushare_dc_yearly_board_snapshot/by_year/2025/dc_member_2025_20250102.csv,e7da98e4f1e38d2f547e3c2e8a99a02aca82345e0201766a4d63e51bd43f0905,e7da98e4f1e38d2f547e3c2e8a99a02aca82345e0201766a4d63e51bd43f0905,8205149,2026-07-07T07:37:54.757429Z,True,True,pass,,20B_P4_d8_d10_sector_crowding_cost_stoploss_sensitivity_v6,20B_P4_PORTSENS_v6
RAW_OHLCV_ROOT,topics/02_AFML_BIG_WINNER/data/raw/akshare/day/raw,a3dc107d3cc2ec5e3d0e75b67deefd9fd369917107670d2053cc191ef31f7968,a3dc107d3cc2ec5e3d0e75b67deefd9fd369917107670d2053cc191ef31f7968,985866364,2026-06-08T10:08:44.789708Z,True,True,pass,,20B_P4_d8_d10_sector_crowding_cost_stoploss_sensitivity_v6,20B_P4_PORTSENS_v6
QFQ_ROOT,topics/02_AFML_BIG_WINNER/data/raw/akshare/day/qfq,51ebde5a59a3afe1044ae97f7f777525eba74cf9b5b4b4be56e1323c51d46854,51ebde5a59a3afe1044ae97f7f777525eba74cf9b5b4b4be56e1323c51d46854,985335294,2026-06-08T10:08:45.895136Z,True,True,pass,,20B_P4_d8_d10_sector_crowding_cost_stoploss_sensitivity_v6,20B_P4_PORTSENS_v6
TRADING_CALENDAR_FILE,topics/02_AFML_BIG_WINNER/data/raw/akshare/status/trading_calendar.csv,1d5ff82a6718fc4e19b95c98456813043b30aeaa1b452d591376b1d427c2b60d,1d5ff82a6718fc4e19b95c98456813043b30aeaa1b452d591376b1d427c2b60d,96778,2026-06-08T09:19:13.382076Z,True,True,pass,,20B_P4_d8_d10_sector_crowding_cost_stoploss_sensitivity_v6,20B_P4_PORTSENS_v6
PROJECT_UNIVERSE_FILE,topics/02_AFML_BIG_WINNER/data/processed/universe/pit_topn_400_100_executable_daily.csv,e73968ddf54b646ab2d831467a0e2882970e5f96880df12c41bd01a39c243965,e73968ddf54b646ab2d831467a0e2882970e5f96880df12c41bd01a39c243965,495306944,2026-06-10T06:48:09.406593Z,True,True,pass,,20B_P4_d8_d10_sector_crowding_cost_stoploss_sensitivity_v6,20B_P4_PORTSENS_v6
SECURITY_MASTER_FILE,topics/02_AFML_BIG_WINNER/data/raw/akshare/status/instrument_metadata_target_universe.csv,3175ae478bbfe9729d2b45cc0c8ca373fe903ee8d9acc9a96fed111441452601,3175ae478bbfe9729d2b45cc0c8ca373fe903ee8d9acc9a96fed111441452601,412496,2026-06-08T11:00:03.109573Z,True,True,pass,,20B_P4_d8_d10_sector_crowding_cost_stoploss_sensitivity_v6,20B_P4_PORTSENS_v6
SH_NAME_HISTORY_ROOT,topics/02_AFML_BIG_WINNER/data/raw/akshare/status/sh_name_history,20879d674fe5def485776188c65c916fbfca9cc03f925822ff974f19c6de3159,20879d674fe5def485776188c65c916fbfca9cc03f925822ff974f19c6de3159,224497,2026-06-08T09:45:42.984351Z,True,True,pass,,20B_P4_d8_d10_sector_crowding_cost_stoploss_sensitivity_v6,20B_P4_PORTSENS_v6
SZ_NAME_HISTORY_FILE,topics/02_AFML_BIG_WINNER/data/raw/akshare/status/stock_info_sz_change_name_short.csv,10b869499050656f356f91bea9fe22760bfe6ea1964368112595073cd15041b7,10b869499050656f356f91bea9fe22760bfe6ea1964368112595073cd15041b7,390237,2026-06-08T09:19:17.587574Z,True,True,pass,,20B_P4_d8_d10_sector_crowding_cost_stoploss_sensitivity_v6,20B_P4_PORTSENS_v6
MARKET_RULE_REGISTRY_FILE,topics/02_AFML_BIG_WINNER/experiments/pending/20_ohlcv_positive_beta_exposure_research/references/market_rules/a_share_price_limit_rules_v2.csv,eab9e78aeb5191542426afb33f03decde073e90adb369b5eaddbf3a286d0b097,eab9e78aeb5191542426afb33f03decde073e90adb369b5eaddbf3a286d0b097,5915,2026-07-16T13:59:50.582407Z,True,True,pass,,20B_P4_d8_d10_sector_crowding_cost_stoploss_sensitivity_v6,20B_P4_PORTSENS_v6
